Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_40.cpp,xczu7ev-ffvc1156-2-e,10,835.5853,82.5,1,1,7,9,pipeline_1,pipeline_1,pipeline_1,8,4.5,0.921177241228,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10,835.5853,83.5,1,1,7,9,pipeline_1,pipeline_1,unroll_16,4,4.5,0.921177241228,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10,835.58531,77,1,1,7,9,pipeline_1,pipeline_1,unroll_2,4,4.5,0.921177239991,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10,835.58531,76.5,1,1,8,10,pipeline_1,pipeline_1,unroll_34,4,5,0.903009609551,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10,835.5853,82.5,1,1,7,9,pipeline_1,pipeline_1,unroll_4,4,4.5,0.921177241228,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10,835.5853,82.5,1,1,7,9,pipeline_1,pipeline_1,unroll_8,4,4.5,0.921177241228,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10,139.26709,74,1,2,8,10,pipeline_1,unroll_5,pipeline_1,4,5.25,1,True
workload_110.cpp,xczu7ev-ffvc1156-2-e,10,139.26709,70,1,2,8,10,pipeline_1,unroll_5,unroll_16,2,5.25,1,True
workload_23.cpp,xczu7ev-ffvc1156-2-e,10,139.26709,73.5,1,2,8,10,pipeline_1,unroll_5,unroll_2,2,5.25,1,True
workload_108.cpp,xczu7ev-ffvc1156-2-e,10,557.05906,73,1,1,5,6,pipeline_1,unroll_5,unroll_34,2,3.25,1,True
workload_12.cpp,xczu7ev-ffvc1156-2-e,10,139.26709,90.5,1,2,8,10,pipeline_1,unroll_5,unroll_4,2,5.25,1,True
workload_21.cpp,xczu7ev-ffvc1156-2-e,10,139.26709,74.5,1,2,8,10,pipeline_1,unroll_5,unroll_8,2,5.25,1,True
workload_68.cpp,xczu7ev-ffvc1156-2-e,10,1401.08801,137,1,1,18,15,unroll_16,pipeline_1,pipeline_1,1,8.75,0.722228032415,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10,1401.08801,134.5,1,1,18,15,unroll_16,pipeline_1,unroll_16,2,8.75,0.722228032415,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10,1401.08801,136,1,1,18,15,unroll_16,pipeline_1,unroll_2,1,8.75,0.722228032415,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10,1372.41601,130,1,1,18,14,unroll_16,pipeline_1,unroll_34,1,8.5,0.732839263837,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10,1401.08801,140,1,1,18,15,unroll_16,pipeline_1,unroll_8,2,8.75,0.722228032415,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10,2551.80801,139,1,1,7,22,unroll_16,unroll_5,pipeline_1,1,7.75,0.651407372697,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10,4530.43201,2269,1,1,57,92,unroll_16,unroll_5,unroll_16,1,37.75,0.1,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10,9117.95201,130,1,1,9,19,unroll_16,unroll_5,unroll_2,1,7.5,0.111783220342,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10,1550.33607,1477,1,1,20,13,unroll_16,unroll_5,unroll_34,1,8.75,0.713341501071,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10,5882.11201,964,1,1,30,51,unroll_16,unroll_5,unroll_8,1,20.75,0.174334053121,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10,1402.88001,57.5,1,1,2,2,unroll_2,pipeline_1,pipeline_1,4,1.5,0.907722328334,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10,1402.88001,57,1,1,2,2,unroll_2,pipeline_1,unroll_16,2,1.5,0.907722328334,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10,1402.88001,56.5,1,1,2,2,unroll_2,pipeline_1,unroll_2,2,1.5,0.907722328334,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10,1374.20801,56,1,1,2,2,unroll_2,pipeline_1,unroll_34,2,1.5,1,True
workload_0.cpp,xczu7ev-ffvc1156-2-e,10,1402.88001,83,1,1,2,2,unroll_2,pipeline_1,unroll_4,2,1.5,0.907722328334,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10,1402.88001,57.5,1,1,2,2,unroll_2,pipeline_1,unroll_8,2,1.5,0.907722328334,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10,2551.80801,54.5,1,1,1,3,unroll_2,unroll_5,pipeline_1,2,1.5,0.715397332906,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10,4532.22401,88,1,1,7,14,unroll_2,unroll_5,unroll_16,1,5.75,0.433089214586,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10,9119.74401,51,1,1,1,3,unroll_2,unroll_5,unroll_2,1,1.5,0.113496018139,False
workload_114.cpp,xczu7ev-ffvc1156-2-e,10,1019.90753,108,1,1,4,5,unroll_2,unroll_5,unroll_34,1,2.75,1,True
workload_35.cpp,xczu7ev-ffvc1156-2-e,10,8587.26401,62,1,1,2,5,unroll_2,unroll_5,unroll_4,1,2.25,0.129172408224,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10,5883.90401,108,1,1,4,8,unroll_2,unroll_5,unroll_8,1,3.5,0.299328586366,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10,1400.96001,250,1,1,36,29,unroll_32,pipeline_1,pipeline_1,1,16.75,0.476711096606,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10,1400.96001,236,1,1,36,29,unroll_32,pipeline_1,unroll_16,1,16.75,0.476711096606,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10,1401.85601,67.5,1,1,4,4,unroll_4,pipeline_1,pipeline_1,4,2.5,0.915578604062,False
workload_36.cpp,xczu7ev-ffvc1156-2-e,10,1401.85601,69.5,1,1,4,4,unroll_4,pipeline_1,unroll_16,2,2.5,0.915578604062,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10,1401.85601,87.5,1,1,4,4,unroll_4,pipeline_1,unroll_2,2,2.5,0.915578604062,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10,1373.18401,62.5,1,1,4,4,unroll_4,pipeline_1,unroll_34,2,2.5,1,True
workload_4.cpp,xczu7ev-ffvc1156-2-e,10,1401.85601,84.5,1,1,4,4,unroll_4,pipeline_1,unroll_4,2,2.5,0.915578604062,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10,1401.85601,86.5,1,1,4,4,unroll_4,pipeline_1,unroll_8,2,2.5,0.915578604062,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10,2551.80801,85.5,1,1,2,6,unroll_4,unroll_5,pipeline_1,2,2.5,0.718355154319,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10,4531.20001,157,1,1,14,26,unroll_4,unroll_5,unroll_16,1,10.5,0.387296253282,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10,9118.72001,66,1,1,2,6,unroll_4,unroll_5,unroll_2,1,2.5,0.113614526928,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10,933.89493,344,1,1,7,7,unroll_4,unroll_5,unroll_34,1,4,0.929654704201,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10,8586.24001,77,1,1,4,9,unroll_4,unroll_5,unroll_4,1,3.75,0.129146876985,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10,5882.88001,102,1,1,7,15,unroll_4,unroll_5,unroll_8,1,6,0.294043989781,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10,2551.80801,635.5,1,1,29,83,unroll_64,unroll_5,pipeline_1,2,28.5,0.187124113945,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10,1401.34401,107,1,1,9,8,unroll_8,pipeline_1,pipeline_1,4,4.75,0.862396738298,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10,1401.34401,97.5,1,1,9,8,unroll_8,pipeline_1,unroll_16,2,4.75,0.862396738298,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10,1401.34401,88.5,1,1,9,8,unroll_8,pipeline_1,unroll_2,2,4.75,0.862396738298,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10,1372.67201,84,1,1,9,8,unroll_8,pipeline_1,unroll_34,2,4.75,0.864793150118,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10,1401.34401,79,1,1,9,8,unroll_8,pipeline_1,unroll_4,2,4.75,0.862396738298,False
workload_118.cpp,xczu7ev-ffvc1156-2-e,10,1401.34401,80.5,1,1,9,8,unroll_8,pipeline_1,unroll_8,2,4.75,0.862396738298,False
