Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_182.cpp,xczu7ev-ffvc1156-2-e,10,201.01386,162.5,47,7,20,35,block_16_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_4,2,27.25,0.787719868438,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10,213.2808,166,47,7,19,33,block_16_1,block_4_1,block_64_1,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_34,pipeline_1,unroll_5,unroll_34,1,26.5,0.7998906064,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10,211.3553,154,47,7,19,33,block_16_1,block_4_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_34,unroll_4,pipeline_1,unroll_8,1,26.5,0.799919469899,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10,210.25509,149,47,7,19,33,block_16_1,block_4_1,cyclic_8_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_4,pipeline_1,unroll_2,1,26.5,0.799935822346,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10,283.22642,528,47,7,20,52,block_16_1,cyclic_128_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_16,pipeline_1,unroll_5,unroll_34,1,31.5,0.713791771261,False
workload_496.cpp,xczu7ev-ffvc1156-2-e,10,201.85461,158,47,7,19,32,block_16_1,cyclic_2_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_8,pipeline_1,unroll_4,pipeline_1,unroll_8,1,26.25,0.800465800258,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10,20033.58085,1169,46,11,21,92,block_16_1,cyclic_32_1,cyclic_128_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_4,unroll_2,unroll_4,unroll_5,unroll_2,1,42.5,0.175988117654,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10,29348.36685,1081,46,37,22,93,block_16_1,cyclic_32_1,cyclic_128_1,pipeline_1,unroll_8,unroll_16,unroll_2,unroll_4,unroll_2,unroll_4,unroll_5,unroll_2,1,49.5,0.1,False
workload_197.cpp,xczu7ev-ffvc1156-2-e,10,211.31343,135,48,7,21,34,block_16_1,cyclic_4_1,block_2_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,27.5,0.784465681651,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10,283.11629,266,46,7,21,44,block_16_1,cyclic_64_1,block_16_1,unroll_5,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,unroll_5,unroll_34,1,29.5,0.750084601595,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10,211.13904,158,46,7,20,32,block_16_1,cyclic_64_1,block_16_1,unroll_5,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_34,pipeline_1,unroll_5,unroll_34,1,26.25,0.800390785673,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10,283.22642,303,47,7,20,44,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,29.5,0.750083987324,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10,201.01386,205,47,7,20,47,block_16_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_4,1,30.25,0.732081497093,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10,201.01404,147,48,7,19,33,block_16_1,cyclic_8_1,cyclic_8_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_32,pipeline_1,unroll_4,pipeline_1,unroll_2,1,26.75,0.798404199684,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10,210.25509,158,48,7,19,32,block_16_1,cyclic_8_1,cyclic_8_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_4,pipeline_1,unroll_2,1,26.5,0.799935822346,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10,1016.74602,105,42,7,14,24,block_4_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_4,1,21.75,0.84290441511,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10,13046.26322,195,62,49,26,48,block_4_1,block_2_1,cyclic_4_1,unroll_5,unroll_8,unroll_4,unroll_2,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_34,1,46.25,0.287882264717,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10,13140.6344,171,42,40,23,43,block_4_1,block_2_1,cyclic_8_1,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_34,1,37,0.338306435575,False
workload_188.cpp,xczu7ev-ffvc1156-2-e,10,201.08629,195,41,13,35,59,block_4_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_16,unroll_2,pipeline_1,pipeline_1,1,37,0.644031193999,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10,201.08629,198,41,13,35,59,block_4_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_16,unroll_2,pipeline_1,unroll_2,1,37,0.644031193999,False
workload_183.cpp,xczu7ev-ffvc1156-2-e,10,201.08629,198,41,13,35,59,block_4_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_16,unroll_8,pipeline_1,unroll_2,1,37,0.644031193999,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10,201.10367,142,41,14,28,49,block_4_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_2,2,33,0.713746140276,False
workload_307.cpp,xczu7ev-ffvc1156-2-e,10,133.90891,95,41,7,20,31,block_4_1,block_4_1,block_16_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,pipeline_1,unroll_2,unroll_5,unroll_2,1,24.75,0.816902427125,False
workload_184.cpp,xczu7ev-ffvc1156-2-e,10,133.91211,97,41,7,20,31,block_4_1,block_4_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,pipeline_1,unroll_2,unroll_5,unroll_2,1,24.75,0.816902427413,False
workload_240.cpp,xczu7ev-ffvc1156-2-e,10,133.91211,96,41,7,20,31,block_4_1,block_4_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,pipeline_1,unroll_2,unroll_5,unroll_8,1,24.75,0.816902427413,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10,133.91211,94,41,7,20,31,block_4_1,block_4_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,pipeline_1,unroll_4,unroll_5,unroll_2,1,24.75,0.816902427413,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10,134.00659,190,41,13,35,52,block_4_1,block_4_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_16,unroll_2,unroll_5,unroll_2,1,35.25,0.684323685413,False
workload_213.cpp,xczu7ev-ffvc1156-2-e,10,134.02067,208,42,51,36,54,block_4_1,block_8_1,block_16_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_16,unroll_2,unroll_5,unroll_2,1,45.75,0.52427712652,False
workload_264.cpp,xczu7ev-ffvc1156-2-e,10,202.69558,113,41,7,21,35,block_4_1,cyclic_128_1,cyclic_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_8,pipeline_1,unroll_16,pipeline_1,unroll_8,1,26,0.800616793234,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10,1237.16243,88,42,6,18,26,block_4_1,cyclic_4_1,block_2_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,23,0.819977744758,False
