Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_41.cpp,xczu7ev-ffvc1156-2-e,10,278.12179,372,46,7,21,42,block_16_1,block_16_1,cyclic_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29,0.772861899845,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10,274.18963,454,46,7,23,56,block_16_1,block_16_1,cyclic_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_8,unroll_4,pipeline_1,pipeline_1,1,33,0.733518615708,False
workload_818.cpp,xczu7ev-ffvc1156-2-e,10,133.9081,334,47,7,20,35,block_16_1,block_4_1,cyclic_16_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_4,unroll_16,pipeline_1,unroll_34,1,27.25,0.803883326805,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10,278.12043,663,46,7,22,67,block_16_1,block_64_1,cyclic_16_1,unroll_5,pipeline_1,pipeline_1,unroll_2,unroll_64,unroll_34,unroll_34,unroll_5,unroll_34,1,35.5,0.698719220746,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10,201.82389,320,48,7,20,34,block_16_1,block_8_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_8,unroll_34,pipeline_1,pipeline_1,unroll_34,1,27.25,0.803738528287,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10,283.22642,500,47,7,20,44,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,29.5,0.760767420639,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10,990.73341,406,50,6,38,62,block_2_1,block_16_1,block_32_1,unroll_5,unroll_32,unroll_8,unroll_16,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_2,1,39,0.619738566695,False
workload_610.cpp,xczu7ev-ffvc1156-2-e,10,133.96314,182,41,4,19,29,block_2_1,block_2_1,block_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_64,unroll_4,unroll_16,unroll_5,unroll_34,1,23.25,0.851458391169,False
workload_351.cpp,xczu7ev-ffvc1156-2-e,10,226.05659,175,41,4,19,28,block_2_1,block_2_1,block_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_8,pipeline_1,pipeline_1,unroll_2,1,23,0.857692269479,False
workload_539.cpp,xczu7ev-ffvc1156-2-e,10,677.75258,162,42,1,13,22,block_2_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,unroll_64,unroll_64,unroll_8,unroll_16,pipeline_1,unroll_2,1,19.5,0.894561815691,False
