Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_1.cpp,xczu7ev-ffvc1156-2-e,10,41.94334,48,1,1,1,1,pipeline_1,pipeline_1,4,1,0.909036925843,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10,20.97183,50,1,1,1,1,pipeline_1,unroll_2,2,1,1,True
workload_21.cpp,xczu7ev-ffvc1156-2-e,10,304.74241,65.5,1,1,2,9.5,unroll_16,pipeline_1,2,3.375,0.171925007467,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10,36.70031,51,1,1,1,1,unroll_16,unroll_2,1,1,0.931324135678,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10,309.32993,50,1,1,1,1,unroll_2,pipeline_1,2,1,0.173945558704,False
workload_0.cpp,xczu7ev-ffvc1156-2-e,10,104.85775,50,1,1,1,1,unroll_2,unroll_2,1,1,0.665217653832,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10,304.41473,84,1,1,5,19,unroll_32,pipeline_1,2,6.5,0.143640576547,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10,31.45743,51,1,1,1,1,unroll_32,unroll_2,1,1,0.953913520082,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10,306.70849,50,1,1,1,2.5,unroll_4,pipeline_1,2,1.375,0.177127639553,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10,62.91471,52,1,1,1,1,unroll_4,unroll_2,1,1,0.822919331581,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10,304.25089,158,1,1,10.5,37.5,unroll_64,pipeline_1,2,12.5,0.1,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10,30.63823,64,1,1,1,1,unroll_64,unroll_2,1,1,0.957470464644,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10,305.39777,55.5,1,1,1,5,unroll_8,pipeline_1,2,2,0.177600593805,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10,47.18607,53,1,1,1,1,unroll_8,unroll_2,1,1,0.887053790454,False
