Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_289.cpp,xczu7ev-ffvc1156-2-e,10,32.1537,421,5,17,10,31,block_128_1,block_16_1,complete_1,unroll_32,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,15.75,0.409791309003,False
workload_612.cpp,xczu7ev-ffvc1156-2-e,10,21.64746,433,1,1,3,14,block_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,4.75,0.868581074666,False
workload_190.cpp,xczu7ev-ffvc1156-2-e,10,42.69066,61,1,1,15,5,block_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,1,5.5,0.80462067885,False
workload_533.cpp,xczu7ev-ffvc1156-2-e,10,27.38186,474,1,1,4,14,block_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,1,5,0.85565787863,False
workload_466.cpp,xczu7ev-ffvc1156-2-e,10,27.38186,473,1,1,3,14,block_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,4.75,0.867584362114,False
workload_810.cpp,xczu7ev-ffvc1156-2-e,10,21.64746,417,1,1,3,14,block_128_1,block_2_1,complete_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_2,1,4.75,0.868581074666,False
workload_298.cpp,xczu7ev-ffvc1156-2-e,10,53.39786,136,1,1,2,6,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,pipeline_1,unroll_32,pipeline_1,1,2.5,0.862996604651,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10,79.32938,67,1,1,16,7,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_2,1,6.25,0.659134510611,False
workload_76.cpp,xczu7ev-ffvc1156-2-e,10,172.20109,426,1,1,7,74,block_128_1,block_2_1,complete_1,unroll_32,unroll_64,unroll_4,unroll_4,pipeline_1,1,20.75,0.160488071592,False
workload_767.cpp,xczu7ev-ffvc1156-2-e,10,21.62698,445,1,1,4,14,block_128_1,block_32_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,3,5,0.856055582307,False
workload_638.cpp,xczu7ev-ffvc1156-2-e,10,21.62698,448,1,1,4,14,block_128_1,block_32_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,5,0.856055582307,False
workload_439.cpp,xczu7ev-ffvc1156-2-e,10,21.62698,451,1,1,3,14,block_128_1,block_32_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,4.75,0.868564816932,False
workload_823.cpp,xczu7ev-ffvc1156-2-e,10,26.2145,500,1,1,4,14,block_128_1,block_32_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,1,5,0.856457161015,False
workload_452.cpp,xczu7ev-ffvc1156-2-e,10,32.29994,167,1,1,3,7,block_128_1,block_32_1,complete_1,pipeline_1,pipeline_1,unroll_8,unroll_64,pipeline_1,1,3,0.929483533641,False
workload_651.cpp,xczu7ev-ffvc1156-2-e,10,145.98474,1415,1,4,33,55,block_128_1,block_32_1,complete_1,pipeline_1,unroll_64,pipeline_1,unroll_64,unroll_2,1,23.25,0.154751889482,False
workload_613.cpp,xczu7ev-ffvc1156-2-e,10,21.62698,440,1,1,4,14,block_128_1,block_32_1,complete_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,5,0.856055582307,False
workload_532.cpp,xczu7ev-ffvc1156-2-e,10,21.62698,446,1,1,4,14,block_128_1,block_32_1,complete_1,unroll_4,pipeline_1,unroll_8,pipeline_1,unroll_2,1,5,0.856055582307,False
workload_36.cpp,xczu7ev-ffvc1156-2-e,10,43.34093,95,1,1,16,10,block_128_1,block_4_1,complete_1,pipeline_1,pipeline_1,unroll_32,unroll_4,pipeline_1,1,7,0.741603401884,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10,45.30701,96,1,1,16,10,block_128_1,block_4_1,complete_1,pipeline_1,pipeline_1,unroll_8,unroll_4,pipeline_1,1,7,0.737691025411,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10,45.34797,94,1,1,2,19,block_128_1,block_4_1,complete_1,unroll_16,pipeline_1,unroll_32,unroll_4,pipeline_1,1,5.75,0.787769278525,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10,79.329395,66.5,1,1,16,7,block_128_1,block_4_1,complete_1,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,2,6.25,0.659134458185,False
workload_862.cpp,xczu7ev-ffvc1156-2-e,10,21.64746,419,1,1,3,14,block_128_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,4.75,0.868581074666,False
workload_803.cpp,xczu7ev-ffvc1156-2-e,10,32.5281,92,1,1,2,5,block_128_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_2,1,2.25,0.957314085556,False
workload_462.cpp,xczu7ev-ffvc1156-2-e,10,21.62698,512,1,1,4,14,block_128_1,cyclic_32_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,5,0.856055582307,False
workload_770.cpp,xczu7ev-ffvc1156-2-e,10,21.62698,438,1,1,4,14,block_128_1,cyclic_32_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,5,0.856055582307,False
workload_497.cpp,xczu7ev-ffvc1156-2-e,10,32.2593,144,1,1,3,6,block_128_1,cyclic_32_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,pipeline_1,1,2.75,0.941291048585,False
workload_811.cpp,xczu7ev-ffvc1156-2-e,10,21.62701,433,1,1,3,14,block_128_1,cyclic_32_1,complete_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,4.75,0.868564840856,False
workload_402.cpp,xczu7ev-ffvc1156-2-e,10,21.64746,434,1,1,3,14,block_128_1,cyclic_4_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,4.75,0.868581074666,False
