Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4087.cpp,xcu200-fsgd2104-2-e,3.33,24.65031834,78,0,0,0,1,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,1,0.25,0.803472970446,False
workload_3998.cpp,xcu200-fsgd2104-2-e,3.33,22.9044393,107,0,0,0,1,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_2,1,0.25,0.821037485715,False
workload_4047.cpp,xcu200-fsgd2104-2-e,3.33,10.78249338,199,0,0,0,1,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,unroll_64,unroll_2,1,0.25,0.936260639532,False
workload_4031.cpp,xcu200-fsgd2104-2-e,3.33,14.29610625,138,0,0,0,2,block_128_1,block_4_1,complete_1,pipeline_1,pipeline_1,unroll_32,unroll_4,pipeline_1,1,0.5,0.874165667828,False
workload_4080.cpp,xcu200-fsgd2104-2-e,3.33,81.24136065,114,0,0,0,3,block_128_1,cyclic_16_1,complete_1,unroll_16,unroll_4,pipeline_1,unroll_2,pipeline_1,1,0.75,0.336042198875,False
workload_4084.cpp,xcu200-fsgd2104-2-e,3.33,21.27280257,138,0,0,0,2,block_128_1,cyclic_32_1,complete_1,unroll_2,pipeline_1,unroll_32,unroll_4,pipeline_1,1,0.5,0.818031694694,False
workload_4107.cpp,xcu200-fsgd2104-2-e,3.33,15.05480346,79,0,0,0,1,block_128_1,cyclic_8_1,complete_1,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,1,0.25,0.899503954012,False
workload_4043.cpp,xcu200-fsgd2104-2-e,3.33,14.24325249,87,0,0,0,1,block_128_1,cyclic_8_1,complete_1,pipeline_1,pipeline_1,unroll_64,unroll_2,pipeline_1,1,0.25,0.907194034417,False
workload_4303.cpp,xcu200-fsgd2104-2-e,3.33,3.76455834,485,0,1,1,7,block_16_1,block_128_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,1,2.25,0.697238139527,False
workload_4164.cpp,xcu200-fsgd2104-2-e,3.33,4.63067802,496,0,1,1,6,block_16_1,block_2_1,complete_1,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,1,2,0.739772877421,False
