Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_910.cpp,xczu7ev-ffvc1156-2-e,10,32.11394,125,1,1,2,6,block_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_2,unroll_2,1,2.5,0.890201516593,False
workload_670.cpp,xczu7ev-ffvc1156-2-e,10,32.0957,169,1,1,2,12,block_128_1,block_2_1,complete_1,unroll_4,pipeline_1,unroll_64,unroll_64,unroll_2,unroll_2,1,4,0.858227476399,False
workload_669.cpp,xczu7ev-ffvc1156-2-e,10,30.12738,605,1,1,2,28,block_128_1,block_2_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,2,8,0.809856468878,False
workload_928.cpp,xczu7ev-ffvc1156-2-e,10,30.12738,644,1,1,2,28,block_128_1,block_2_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_64,pipeline_1,unroll_2,1,8,0.809856468878,False
workload_784.cpp,xczu7ev-ffvc1156-2-e,10,30.12962,589,1,1,2,30,block_128_1,block_2_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_64,pipeline_1,pipeline_1,1,8.5,0.799570173146,False
workload_743.cpp,xczu7ev-ffvc1156-2-e,10,30.12962,580,1,1,2,30,block_128_1,block_2_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_64,unroll_2,pipeline_1,1,8.5,0.799570173146,False
workload_894.cpp,xczu7ev-ffvc1156-2-e,10,125.46178,597,1,1,3,32,block_128_1,block_2_1,complete_1,unroll_64,unroll_4,pipeline_1,unroll_64,pipeline_1,pipeline_1,1,9.25,0.396294157143,False
workload_449.cpp,xczu7ev-ffvc1156-2-e,10,125.9661,559,1,1,2,32,block_128_1,block_2_1,complete_1,unroll_64,unroll_4,unroll_64,unroll_16,pipeline_1,pipeline_1,1,9,0.395999973508,False
workload_421.cpp,xczu7ev-ffvc1156-2-e,10,30.6317,574,1,1,2,29,block_128_1,block_4_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_16,pipeline_1,pipeline_1,1,8.25,0.802827483127,False
workload_568.cpp,xczu7ev-ffvc1156-2-e,10,32.56837,152,1,1,3,18,block_128_1,block_64_1,complete_1,unroll_16,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,1,5.75,0.840424553915,False
workload_530.cpp,xczu7ev-ffvc1156-2-e,10,30.60738,598,1,1,7,39,block_128_1,block_64_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_16,pipeline_1,pipeline_1,1,12,0.736022705817,False
workload_930.cpp,xczu7ev-ffvc1156-2-e,10,30.78274,272,2,1,2,20,block_128_1,cyclic_16_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,1,6.25,0.839443217254,False
workload_917.cpp,xczu7ev-ffvc1156-2-e,10,30.78501,295,2,1,2,21,block_128_1,cyclic_16_1,complete_1,unroll_32,pipeline_1,unroll_64,unroll_64,pipeline_1,pipeline_1,1,6.5,0.83433560003,False
workload_871.cpp,xczu7ev-ffvc1156-2-e,10,30.78501,318,2,1,2,21,block_128_1,cyclic_16_1,complete_1,unroll_32,pipeline_1,unroll_64,unroll_64,unroll_2,pipeline_1,1,6.5,0.83433560003,False
workload_630.cpp,xczu7ev-ffvc1156-2-e,10,30.62274,525,1,1,2,28,block_128_1,cyclic_2_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,3,8,0.808007770526,False
workload_816.cpp,xczu7ev-ffvc1156-2-e,10,30.12738,614,1,1,2,28,block_128_1,cyclic_2_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,1,8,0.809856468878,False
workload_705.cpp,xczu7ev-ffvc1156-2-e,10,30.12741,585,1,1,2,28,block_128_1,cyclic_2_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_64,pipeline_1,unroll_2,1,8,0.809856357352,False
workload_529.cpp,xczu7ev-ffvc1156-2-e,10,30.66242,511,1,1,2,28,block_128_1,cyclic_2_1,complete_1,unroll_64,pipeline_1,unroll_16,unroll_16,pipeline_1,pipeline_1,1,8,0.807859068665,False
workload_592.cpp,xczu7ev-ffvc1156-2-e,10,30.6317,499,1,1,2,28,block_128_1,cyclic_2_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_16,pipeline_1,pipeline_1,1,8,0.807974200585,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10,128.08965,480,1,1,2,28,block_128_1,cyclic_2_1,complete_1,unroll_64,unroll_2,unroll_8,unroll_8,pipeline_1,pipeline_1,1,8,0.393574423107,False
workload_691.cpp,xczu7ev-ffvc1156-2-e,10,32.09346,132,1,1,2,7,block_128_1,cyclic_32_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,pipeline_1,unroll_2,1,2.75,0.885521355141,False
workload_851.cpp,xczu7ev-ffvc1156-2-e,10,32.09349,171,1,1,2,7,block_128_1,cyclic_32_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_2,pipeline_1,1,2.75,0.885521196945,False
workload_808.cpp,xczu7ev-ffvc1156-2-e,10,32.568355,122.5,1,1,2,17,block_128_1,cyclic_32_1,complete_1,unroll_16,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,2,5.25,0.847045537357,False
workload_761.cpp,xczu7ev-ffvc1156-2-e,10,31.25765,187,1,1,2,20,block_128_1,cyclic_32_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,1,6,0.842038919224,False
workload_914.cpp,xczu7ev-ffvc1156-2-e,10,30.92741,274,1,1,3,20,block_128_1,cyclic_32_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,6.25,0.838843468853,False
workload_883.cpp,xczu7ev-ffvc1156-2-e,10,30.927395,248,1,1,2.5,20,block_128_1,cyclic_32_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_2,2,6.125,0.841203407168,False
workload_736.cpp,xczu7ev-ffvc1156-2-e,10,30.76229,279,1,1,3,21,block_128_1,cyclic_32_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,1,6.5,0.834427276304,False
workload_872.cpp,xczu7ev-ffvc1156-2-e,10,30.76229,322,1,1,3,21,block_128_1,cyclic_32_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_64,pipeline_1,unroll_2,1,6.5,0.834427276304,False
workload_852.cpp,xczu7ev-ffvc1156-2-e,10,31.27685,241,1,1,2,20,block_128_1,cyclic_32_1,complete_1,unroll_32,pipeline_1,unroll_32,unroll_16,pipeline_1,unroll_2,1,6,0.84195734103,False
workload_889.cpp,xczu7ev-ffvc1156-2-e,10,30.93701,234,1,1,3,20,block_128_1,cyclic_32_1,complete_1,unroll_32,pipeline_1,unroll_32,unroll_32,pipeline_1,pipeline_1,1,6.25,0.838803623672,False
workload_842.cpp,xczu7ev-ffvc1156-2-e,10,30.93701,298,1,1,3,20,block_128_1,cyclic_32_1,complete_1,unroll_32,pipeline_1,unroll_32,unroll_32,unroll_2,unroll_2,1,6.25,0.838803623672,False
workload_799.cpp,xczu7ev-ffvc1156-2-e,10,32.07298,191,1,1,2,12,block_128_1,cyclic_32_1,complete_1,unroll_4,pipeline_1,pipeline_1,unroll_64,unroll_2,pipeline_1,1,4,0.858325503356,False
workload_934.cpp,xczu7ev-ffvc1156-2-e,10,16.54786,2477,1,51,43,85,block_128_1,cyclic_32_1,complete_1,unroll_64,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,45,0.128853943675,False
workload_659.cpp,xczu7ev-ffvc1156-2-e,10,30.1069,642,1,1,3,29,block_128_1,cyclic_32_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,3,8.5,0.799652952748,False
workload_747.cpp,xczu7ev-ffvc1156-2-e,10,30.10693,586,1,1,3,29,block_128_1,cyclic_32_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_64,pipeline_1,unroll_2,1,8.5,0.799652843463,False
workload_819.cpp,xczu7ev-ffvc1156-2-e,10,30.10693,598,1,1,3,29,block_128_1,cyclic_32_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_64,unroll_2,pipeline_1,1,8.5,0.799652843463,False
workload_615.cpp,xczu7ev-ffvc1156-2-e,10,30.2765,585,1,1,3,29,block_128_1,cyclic_32_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_32,pipeline_1,pipeline_1,1,8.5,0.799034338532,False
workload_594.cpp,xczu7ev-ffvc1156-2-e,10,30.109155,595.5,1,1,3,30,block_128_1,cyclic_32_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_64,pipeline_1,pipeline_1,2,8.75,0.794279557862,False
workload_288.cpp,xczu7ev-ffvc1156-2-e,10,127.63909,153,1,1,3,34,block_128_1,cyclic_4_1,complete_1,unroll_16,unroll_16,unroll_32,unroll_8,pipeline_1,unroll_2,2,9.75,0.385269067142,False
workload_875.cpp,xczu7ev-ffvc1156-2-e,10,30.76709,373,1,1,3,22,block_128_1,cyclic_64_1,complete_1,unroll_32,pipeline_1,unroll_32,unroll_64,unroll_2,pipeline_1,1,6.75,0.828845302657,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10,32.09829,169,1,1,2,12,block_128_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_32,unroll_64,pipeline_1,pipeline_1,1,4,0.858216297653,False
workload_723.cpp,xczu7ev-ffvc1156-2-e,10,32.09829,69,5,1,1,8,block_16_1,block_2_1,complete_1,unroll_64,pipeline_1,unroll_32,unroll_64,pipeline_1,pipeline_1,1,3.75,0.861153245416,False
workload_759.cpp,xczu7ev-ffvc1156-2-e,10,32.0957,77,5,1,1,8,block_16_1,block_2_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_64,pipeline_1,unroll_2,1,3.75,0.861164261626,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10,128.82021,77,6,1,1,5,block_16_1,block_4_1,complete_1,unroll_32,unroll_2,unroll_2,unroll_64,pipeline_1,pipeline_1,1,3.25,0.40729814181,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10,126.65026,64,7,1,1,5,block_16_1,block_8_1,complete_1,pipeline_1,unroll_16,unroll_16,unroll_32,pipeline_1,unroll_2,1,3.5,0.414915159213,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10,200.85762,79,1,1,1,3,block_2_1,block_2_1,complete_1,pipeline_1,unroll_32,pipeline_1,unroll_8,unroll_2,unroll_2,1,1.5,0.19250112211,False
workload_181.cpp,xczu7ev-ffvc1156-2-e,10,26.41925,778,1,1,9,37,block_2_1,block_64_1,complete_1,unroll_16,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,12,0.749617090513,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10,129.40805,81,3,1,2,6,block_2_1,block_8_1,complete_1,unroll_64,unroll_32,unroll_8,unroll_4,pipeline_1,pipeline_1,1,3,0.405742788523,False
workload_904.cpp,xczu7ev-ffvc1156-2-e,10,33.87906,56,1,1,1,2,block_2_1,cyclic_32_1,complete_1,unroll_16,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,1,1.25,0.893710728657,False
workload_845.cpp,xczu7ev-ffvc1156-2-e,10,33.3837,71.5,1,1,1,3,block_2_1,cyclic_32_1,complete_1,unroll_16,pipeline_1,pipeline_1,unroll_64,pipeline_1,pipeline_1,2,1.5,0.895375566468,False
workload_805.cpp,xczu7ev-ffvc1156-2-e,10,33.39362,60,1,1,1,3,block_2_1,cyclic_32_1,complete_1,unroll_16,pipeline_1,unroll_16,unroll_64,pipeline_1,pipeline_1,1,1.5,0.895314540732,False
workload_625.cpp,xczu7ev-ffvc1156-2-e,10,33.38594,62,1,1,1,3,block_2_1,cyclic_32_1,complete_1,unroll_16,pipeline_1,unroll_64,unroll_64,pipeline_1,pipeline_1,1,1.5,0.895361786382,False
