Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_6.cpp,xczu7ev-ffvc1156-2-e,10,0.06155,180,12,1,3,26,block_128_1,block_32_1,cyclic_4_1,block_4_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1,10.5,0.694061219885,False
workload_271.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,89,2,1,4,13,block_128_1,block_4_1,cyclic_128_1,block_4_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_2,pipeline_1,unroll_2,1,5,0.863466253719,False
workload_243.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,69,4,1,2,8,block_128_1,block_4_1,cyclic_4_1,cyclic_16_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_2,pipeline_1,pipeline_1,1,3.75,0.904927202842,False
workload_786.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,59,1,1,2,6,block_128_1,cyclic_2_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,2.5,0.94748437602,False
workload_285.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,71,2,1,9,9,block_128_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_2,1,5.25,0.855305610857,False
workload_742.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,70,1,1,2,9,block_128_1,cyclic_4_1,block_2_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,3.25,0.921818525372,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,118,1,1,4,11,block_128_1,cyclic_4_1,block_4_1,block_128_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_32,pipeline_1,unroll_2,1,4.25,0.888211276302,False
workload_364.cpp,xczu7ev-ffvc1156-2-e,10,0.06155,73,1,1,6,11,block_128_1,cyclic_4_1,cyclic_4_1,block_64_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_2,1,4.75,0.871670745373,False
workload_237.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,479,1,1,7,71,block_128_1,cyclic_64_1,block_2_1,block_4_1,complete_1,unroll_32,unroll_32,unroll_2,unroll_32,pipeline_1,pipeline_1,1,20,0.451440344978,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,268,1,1,8,32,block_128_1,cyclic_64_1,block_32_1,block_4_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_32,pipeline_1,pipeline_1,1,10.5,0.694061219969,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,181,1,1,8,31,block_128_1,cyclic_64_1,block_32_1,block_4_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_8,pipeline_1,pipeline_1,1,10.25,0.701301034648,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,579,1,1,7,72,block_128_1,cyclic_64_1,block_32_1,block_4_1,complete_1,unroll_32,unroll_32,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,20.25,0.44591063992,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,561,3,1,7,71,block_128_1,cyclic_64_1,cyclic_16_1,block_4_1,complete_1,unroll_32,unroll_32,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,20.5,0.440424783828,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,570,1,1,8,72,block_128_1,cyclic_64_1,cyclic_64_1,block_4_1,complete_1,unroll_32,unroll_32,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,20.5,0.440424783828,False
workload_158.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,419,1,1,8,65,block_128_1,cyclic_64_1,cyclic_64_1,block_4_1,complete_1,unroll_8,unroll_32,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,18.75,0.479746604734,False
workload_196.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,439,2,1,8,66,block_128_1,cyclic_64_1,cyclic_64_1,cyclic_16_1,complete_1,unroll_8,unroll_32,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,19.25,0.468292553937,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,93,6,1,4,15,block_16_1,block_4_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_64,unroll_2,unroll_64,unroll_8,pipeline_1,unroll_2,1,6.5,0.815160130636,False
workload_354.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,61,11,1,1,5,block_16_1,cyclic_16_1,cyclic_16_1,block_4_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_4,unroll_2,unroll_2,1,4.5,0.879919086565,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,72,7,1,2,6,block_16_1,cyclic_16_1,cyclic_64_1,cyclic_64_1,complete_1,unroll_8,unroll_4,pipeline_1,unroll_8,unroll_2,unroll_2,1,4,0.896547315091,False
workload_402.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,54,9,1,1,3,block_16_1,cyclic_4_1,cyclic_16_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_4,unroll_2,unroll_2,1,3.5,0.913350939681,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,61,8,1,1,4,block_16_1,cyclic_4_1,cyclic_16_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_4,unroll_2,unroll_2,1,3.5,0.913350939681,False
workload_375.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,62,3,1,1,7,block_16_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_4,unroll_2,pipeline_1,1,3,0.930329960028,False
workload_356.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,58,6,1,1,4,block_16_1,cyclic_4_1,cyclic_64_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,pipeline_1,unroll_2,1,3,0.93032995987,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,86,5,1,6,10,block_16_1,cyclic_64_1,cyclic_64_1,block_64_1,complete_1,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_2,1,5.5,0.847188816817,False
workload_385.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,53,6,1,1,5,block_16_1,cyclic_8_1,cyclic_16_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_4,unroll_2,pipeline_1,1,3.25,0.921818525372,False
workload_317.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,52,6,1,1,5,block_16_1,cyclic_8_1,cyclic_16_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_8,unroll_2,pipeline_1,1,3.25,0.921818525372,False
workload_465.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,67,1,1,2,11,block_2_1,block_128_1,block_4_1,block_4_1,complete_1,unroll_2,unroll_4,pipeline_1,unroll_2,pipeline_1,unroll_2,1,3.75,0.904927202842,False
workload_258.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,65,1,1,2,8,block_2_1,block_128_1,cyclic_4_1,cyclic_4_1,complete_1,unroll_2,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_2,1,3,0.93032995987,False
workload_184.cpp,xczu7ev-ffvc1156-2-e,10,0.06155,147,7,1,7,13,block_2_1,block_4_1,block_16_1,cyclic_128_1,complete_1,unroll_2,unroll_8,unroll_64,unroll_2,pipeline_1,pipeline_1,1,7,0.799408881108,False
workload_348.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,68,2,1,1,7,block_2_1,block_4_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_64,unroll_2,pipeline_1,1,2.75,0.938885243648,False
workload_459.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,51,3,1,1,2,block_2_1,block_4_1,cyclic_4_1,block_4_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_8,pipeline_1,pipeline_1,1,1.75,0.973544867775,False
workload_462.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,52,2,1,1,2,block_2_1,block_4_1,cyclic_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_32,unroll_8,unroll_2,unroll_2,1,1.5,0.982319396219,False
workload_551.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,81,1,1,9,16,block_2_1,cyclic_128_1,block_2_1,block_128_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,pipeline_1,pipeline_1,1,6.75,0.807262581486,False
workload_434.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,97,1,1,4,7,block_2_1,cyclic_128_1,block_4_1,cyclic_128_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,3.25,0.921818525372,False
workload_533.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,59,2,1,2,4,block_2_1,cyclic_128_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,2.25,0.956127357782,False
workload_311.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,72,1,1,3,11,block_2_1,cyclic_128_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_64,unroll_4,unroll_2,pipeline_1,1,4,0.896547315194,False
workload_446.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,65,1,1,2,5,block_2_1,cyclic_128_1,block_4_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_8,unroll_2,unroll_2,1,2.25,0.956127357782,False
workload_669.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,60,1,1,2,4,block_2_1,cyclic_128_1,block_4_1,cyclic_32_1,complete_1,pipeline_1,unroll_2,unroll_4,unroll_4,unroll_2,unroll_2,1,2,0.964814188296,False
