Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_356.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,88,28,25,28,29,block_2_1,block_2_1,block_4_1,complete_1,complete_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,unroll_2,1,27.5,0.662651638326,False
workload_231.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,91,28,25,28,29,block_2_1,block_2_1,block_4_1,complete_1,complete_1,pipeline_1,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,pipeline_1,1,27.5,0.662651638326,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,98,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll_64,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_8,pipeline_1,1,27.75,0.659024412154,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,97,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll_64,pipeline_1,unroll_4,unroll_16,pipeline_1,unroll_16,pipeline_1,1,27.75,0.659024412154,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,88.5,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll_64,pipeline_1,unroll_4,unroll_16,pipeline_1,unroll_8,pipeline_1,2,27.75,0.659024412154,False
workload_194.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,96,28,25,28,30,block_2_1,block_2_1,block_4_1,complete_1,complete_1,unroll_64,pipeline_1,unroll_4,unroll_16,unroll_2,unroll_8,pipeline_1,1,27.75,0.659024412154,False
workload_245.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,86,33,25,10,18,block_2_1,block_2_1,block_4_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_2,1,21.5,0.753223944021,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,96,28,25,28,30,block_2_1,block_2_1,cyclic_4_1,complete_1,complete_1,unroll_64,pipeline_1,unroll_4,unroll_16,unroll_2,unroll_8,unroll_2,1,27.75,0.659024412154,False
workload_256.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,91,60,25,10,17,block_2_1,block_8_1,cyclic_4_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_4,pipeline_1,1,28,0.655408919022,False
workload_281.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,92,70,25,11,18,block_2_1,block_8_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_4,pipeline_1,1,31,0.612937867748,False
workload_319.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,118,14,25,70,45,block_2_1,complete_1,block_2_1,complete_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_8,pipeline_1,1,38.5,0.51414988165,False
workload_494.cpp,xczu7ev-ffvc1156-2-e,10,0.0615,82,9,1,66,91,block_2_1,complete_1,cyclic_2_1,complete_1,complete_1,unroll_32,unroll_2,unroll_4,unroll_32,unroll_2,pipeline_1,pipeline_1,1,41.75,0.474620178453,False
workload_335.cpp,xczu7ev-ffvc1156-2-e,10,0.06155,97,23,12,41,26,block_2_1,complete_1,cyclic_4_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_2,1,25.5,0.692091700902,False
workload_527.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,65,61,1,2,77,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,35.25,0.555661889973,False
workload_462.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,60,61,1,2,77,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,pipeline_1,unroll_2,unroll_4,unroll_4,unroll_2,pipeline_1,pipeline_1,1,35.25,0.555661889973,False
workload_483.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,66,61,1,2,77,block_2_1,cyclic_16_1,block_2_1,block_2_1,complete_1,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,35.25,0.555661889973,False
workload_555.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,70,52,25,28,30,block_2_1,cyclic_16_1,block_2_1,complete_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,33.75,0.575489864358,False
workload_571.cpp,xczu7ev-ffvc1156-2-e,10,0.0615,70,52,1,24,76,block_2_1,cyclic_16_1,block_2_1,complete_1,complete_1,unroll_4,unroll_2,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,38.25,0.517272737106,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,101,66,25,28,30,block_2_1,cyclic_16_1,block_8_1,complete_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_2,unroll_2,pipeline_1,1,37.25,0.529881445938,False
workload_572.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,66,57,11,5,12,block_2_1,cyclic_16_1,cyclic_2_1,block_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_8,unroll_2,1,21.25,0.757144415505,False
workload_619.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,72,57,11,5,12,block_2_1,cyclic_16_1,cyclic_2_1,block_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_32,unroll_2,unroll_8,unroll_2,1,21.25,0.757144415505,False
workload_522.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,66,57,1,2,77,block_2_1,cyclic_16_1,cyclic_2_1,block_2_1,complete_1,pipeline_1,unroll_2,unroll_4,unroll_32,unroll_2,pipeline_1,pipeline_1,1,34.25,0.568833621188,False
workload_557.cpp,xczu7ev-ffvc1156-2-e,10,0.06149,68,57,11,5,12,block_2_1,cyclic_16_1,cyclic_2_1,block_2_1,complete_1,pipeline_1,unroll_2,unroll_4,unroll_32,unroll_2,unroll_8,unroll_2,1,21.25,0.757144415505,False
workload_195.cpp,xczu7ev-ffvc1156-2-e,10,0.06152,92,52,25,28,29,block_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_2,pipeline_1,1,33.5,0.578835577797,False
