Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_12.cpp,xczu7ev-ffvc1156-2-e,10,0.2576,122.5,5,3,7,11,pipeline_1,pipeline_1,4,6.5,1,True
workload_13.cpp,xczu7ev-ffvc1156-2-e,10,0.26785,127,5,3,8,11,pipeline_1,unroll_2,2,6.75,0.984995544275,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10,0.26785,128.5,5,3,8,11,pipeline_1,unroll_4,2,6.75,0.984995544275,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10,2.11138,417,5,3,29,41.5,unroll_16,pipeline_1,2,19.625,0.203622900949,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10,1.98274,651,5,5,20,27,unroll_16,unroll_2,1,14.25,0.299906873444,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10,1.6973,2571,5,5,35,42,unroll_16,unroll_4,1,21.75,0.237656636733,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10,2.01218,113,5,2,5,9.5,unroll_2,pipeline_1,2,5.375,0.405178672847,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10,1.90466,131,5,3,4,9,unroll_2,unroll_2,1,5.25,1,True
workload_0.cpp,xczu7ev-ffvc1156-2-e,10,1.57698,187,5,3,6,10,unroll_2,unroll_4,1,6,1,True
workload_20.cpp,xczu7ev-ffvc1156-2-e,10,2.12322,894,5,3.5,55.5,76.5,unroll_32,pipeline_1,2,35.125,0.1,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10,1.97954,2010,5,5,37,48,unroll_32,unroll_2,1,23.75,0.173287833469,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10,1.98402,146,5,2,8,15,unroll_4,pipeline_1,2,7.5,0.399304187026,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10,1.87906,190,5,3,6,11,unroll_4,unroll_2,1,6.25,0.447610994062,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10,1.56674,342,5,4,10,15,unroll_4,unroll_4,1,8.5,0.504273124882,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10,1.96994,225,5,2,14.5,23.5,unroll_8,pipeline_1,2,11.25,0.348349144256,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10,1.89698,323,5,4,11,17,unroll_8,unroll_2,1,9.25,0.397135503787,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10,1.70498,692,5,5,18,24,unroll_8,unroll_4,1,13,0.383289432389,False
