Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
workload_40.cpp,xcu200-fsgd2104-2-e,3.33,0.01744587,59.5,0,0,0,0,pipeline_1,2,0,1,True
workload_43.cpp,xcu200-fsgd2104-2-e,3.33,0.03925737,93,0,0,0,0,unroll_16,1,0,0.810264286843,False
workload_41.cpp,xcu200-fsgd2104-2-e,3.33,0.18076905,60,0,0,0,0,unroll_2,1,0,0.124218947505,False
workload_46.cpp,xcu200-fsgd2104-2-e,3.33,0.11161161,110,0,1,1,1,unroll_32,1,0.75,0.101105604604,False
workload_45.cpp,xcu200-fsgd2104-2-e,3.33,0.09893097,63,0,0,0,0,unroll_4,1,0,0.405820981071,False
workload_47.cpp,xcu200-fsgd2104-2-e,3.33,0.12466521,227,0,1,1,1,unroll_64,1,0.75,0.1,False
workload_42.cpp,xcu200-fsgd2104-2-e,3.33,0.05801193,69,0,0,0,0,unroll_8,1,0,0.665058992718,False
workload_32.cpp,xcu200-fsgd2104-2-e,5,0.026135,60.5,0,0,0,0,pipeline_1,2,0,1,True
workload_35.cpp,xcu200-fsgd2104-2-e,5,0.057345,89,0,0,0,0,unroll_16,1,0,0.790354654319,False
workload_33.cpp,xcu200-fsgd2104-2-e,5,0.227905,61,0,0,0,0,unroll_2,1,0,0.134994457841,False
workload_38.cpp,xcu200-fsgd2104-2-e,5,0.171745,104,0,1,0,1,unroll_32,1,0.5,0.140168616136,False
workload_37.cpp,xcu200-fsgd2104-2-e,5,0.126785,64,0,0,0,0,unroll_4,1,0,0.423491037256,False
workload_39.cpp,xcu200-fsgd2104-2-e,5,0.175985,216,0,1,1,1,unroll_64,1,0.75,0.1,False
workload_34.cpp,xcu200-fsgd2104-2-e,5,0.076225,73,0,0,0,0,unroll_8,1,0,0.677007441768,False
workload_24.cpp,xcu200-fsgd2104-2-e,10,0.05193,57,0,0,0,0,pipeline_1,2,0,1,True
workload_27.cpp,xcu200-fsgd2104-2-e,10,0.10189,83,0,0,0,0,unroll_16,1,0,0.674331376108,False
workload_25.cpp,xcu200-fsgd2104-2-e,10,0.28685,60,0,0,0,0,unroll_2,1,0,0.102635589353,False
workload_30.cpp,xcu200-fsgd2104-2-e,10,0.22605,99,0,0,0,0,unroll_32,1,0,0.180418345441,False
workload_29.cpp,xcu200-fsgd2104-2-e,10,0.16909,63,0,0,0,0,unroll_4,1,0,0.351157919677,False
workload_31.cpp,xcu200-fsgd2104-2-e,10,0.30029,217,0,0,0,0,unroll_64,1,0,0.1,False
workload_26.cpp,xcu200-fsgd2104-2-e,10,0.12685,66,0,0,0,0,unroll_8,1,0,0.538912285044,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,3.33,0.01777221,41.5,1,0,0,1,pipeline_1,2,0.5,1,True
workload_21.cpp,xczu7ev-ffvc1156-2-e,3.33,0.06078249,61,1,0,1,2,unroll_16,1,1,0.779918855372,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,3.33,0.35297001,44,1,0,0,1,unroll_2,1,0.5,0.103727833635,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,3.33,0.14421897,75,1,14,10,13,unroll_32,1,9.5,0.1,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,3.33,0.18503145,44,1,0,0,1,unroll_4,1,0.5,0.355802368767,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,3.33,0.19723257,161,1,7,8,9,unroll_64,1,6.25,0.14359540727,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,3.33,0.10106217,48,1,0,1,2,unroll_8,1,1,0.62226661589,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,5,0.026315,62,1,0,0,1,pipeline_1,2,0.5,1,True
workload_11.cpp,xczu7ev-ffvc1156-2-e,5,0.066945,98,1,0,1,2,unroll_16,1,1,0.773274393387,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,5,0.335425,60,1,0,0,1,unroll_2,1,0.5,0.115691607808,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,5,0.166625,114,1,9,6,9,unroll_32,1,6.25,0.105705372436,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,5,0.180545,64,1,0,0,1,unroll_4,1,0.5,0.389272369465,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,5,0.203185,222,1,8,7,10,unroll_64,1,6.5,0.1,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,5,0.103105,72,1,0,0,1,unroll_8,1,0.5,0.653725927759,False
workload_0.cpp,xczu7ev-ffvc1156-2-e,10,0.05211,65,1,0,0,1,pipeline_1,2,0.5,1,True
workload_3.cpp,xczu7ev-ffvc1156-2-e,10,0.10701,87,1,1,1,2,unroll_16,1,1.25,0.666805180149,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10,0.38925,70,1,0,0,1,unroll_2,1,0.5,0.148888141279,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10,0.28173,106,1,4,3,5,unroll_32,1,3.25,0.136916475141,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10,0.22029,62,1,0,0,1,unroll_4,1,0.5,0.443087383824,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10,0.33421,209,1,4,5,6,unroll_64,1,4,0.1,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10,0.13581,76,1,0,0,1,unroll_8,1,0.5,0.68990327603,False
