Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
workload_3605.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,146,0,0,0,1,block_128_1,block_16_1,cyclic_2_1,pipeline_1,1,0.25,0.930107047517,False
workload_3555.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,142,0,0,0,1,block_128_1,block_2_1,block_4_1,pipeline_1,1,0.25,0.930107047517,False
workload_3575.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,154,0,0,0,2,block_128_1,block_32_1,block_2_1,pipeline_1,1,0.5,0.915025090713,False
workload_3598.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,151,0,0,0,2,block_128_1,block_32_1,block_4_1,pipeline_1,1,0.5,0.915025090713,False
workload_3520.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,157,0,0,0,2,block_128_1,block_64_1,cyclic_2_1,pipeline_1,1,0.5,0.915025090713,False
workload_3442.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,142,0,0,0,1,block_128_1,block_8_1,block_2_1,pipeline_1,1,0.25,0.930107047517,False
workload_3457.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,144,0,0,0,1,block_128_1,block_8_1,cyclic_2_1,pipeline_1,1,0.25,0.930107047517,False
workload_3518.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,139,0,0,0,1,block_128_1,cyclic_4_1,cyclic_2_1,pipeline_1,1,0.25,0.930107047517,False
workload_3528.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,145,0,0,0,1,block_128_1,cyclic_8_1,cyclic_2_1,pipeline_1,1,0.25,0.930107047517,False
workload_3449.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,80,0,0,0,0,block_16_1,cyclic_16_1,cyclic_4_1,pipeline_1,1,0,0.935977143865,False
