Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
workload_4.cpp,xczu7ev-ffvc1156-2-e,10,1.30328,159.5,45,2,2,20,block_128_1,block_64_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_4,2,17.25,0.131959794327,False
workload_622.cpp,xczu7ev-ffvc1156-2-e,10,0.41771,231,44,10,37,32,block_128_1,cyclic_2_1,block_2_1,complete_1,complete_1,complete_1,unroll_8,1,30.75,0.39848697385,False
workload_573.cpp,xczu7ev-ffvc1156-2-e,10,0.41771,237,43,10,37,32,block_128_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_8,2,30.5,0.401817234183,False
workload_670.cpp,xczu7ev-ffvc1156-2-e,10,0.35517,462,43,19,74,59,block_128_1,cyclic_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_16,1,48.75,0.210042327695,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10,0.88088,87,17,1,3,7,block_16_1,block_32_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,1,7,0.434551993799,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10,0.47512,112,17,8,6,15,block_16_1,block_32_1,block_64_1,complete_1,complete_1,complete_1,unroll_8,1,11.5,0.592180020377,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10,0.88088,80,7,1,3,6,block_16_1,block_64_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,1,4.25,0.442811678934,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10,0.87064,74,7,1,2,5,block_16_1,block_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,1,3.75,0.454415525039,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10,0.87064,69,10,1,1,3,block_16_1,block_8_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_2,1,3.75,0.454415525039,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10,0.88088,91,7,1,5,8,block_16_1,cyclic_128_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,1,5.25,0.440532720419,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10,0.42136,128,10,19,9,19,block_16_1,cyclic_4_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,1,14.25,0.623051696134,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10,0.28787,77,22,2,3,6,block_16_1,cyclic_64_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,1,8.25,0.850901063865,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10,0.42648,130,9,17,9,18,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,1,13.25,0.629506570688,False
workload_255.cpp,xczu7ev-ffvc1156-2-e,10,0.81432,238,4,5,7,18,block_2_1,block_128_1,block_2_1,complete_1,complete_1,complete_1,unroll_16,1,8.5,0.490442794283,False
workload_502.cpp,xczu7ev-ffvc1156-2-e,10,0.81304,254,4,6,9,21,block_2_1,block_128_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,2,10,0.479824932442,False
workload_67.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,78,6,1,3,6,block_2_1,block_128_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_2,1,4,0.498510229854,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10,0.81944,76,4,1,3,6,block_2_1,block_128_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_2,1,3.5,0.511185593917,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10,1.25464,84,4,1,4,7,block_2_1,block_128_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_2,1,4,0.162686035495,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10,0.3084,188,14,32,19,35,block_2_1,block_16_1,block_16_1,complete_1,complete_1,complete_1,unroll_32,1,25,0.526597877185,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10,1.2508,99,4,1,4,7,block_2_1,block_4_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_8,1,4,0.164427470241,False
workload_193.cpp,xczu7ev-ffvc1156-2-e,10,0.36824,110.5,8,12,8,14,block_2_1,block_4_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_16,2,10.5,0.727038657057,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10,0.36824,112,10,12,8,15,block_2_1,block_4_1,cyclic_32_1,complete_1,complete_1,complete_1,unroll_16,1,11.25,0.71747612483,False
workload_157.cpp,xczu7ev-ffvc1156-2-e,10,0.36824,110.5,6,12,8,14,block_2_1,block_4_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,2,10,0.733077154381,False
workload_639.cpp,xczu7ev-ffvc1156-2-e,10,0.36824,141,14,11,9,22,block_2_1,block_64_1,block_32_1,complete_1,complete_1,complete_1,unroll_16,1,14,0.678482270501,False
workload_586.cpp,xczu7ev-ffvc1156-2-e,10,0.37464,145,4,12,11,24,block_2_1,block_64_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,2,12.75,0.690338571805,False
workload_454.cpp,xczu7ev-ffvc1156-2-e,10,0.40728,93,4,5,5,11,block_2_1,block_64_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_8,1,6.25,0.711990988015,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10,0.358,128,5,11,9,21,block_2_1,block_64_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,1,11.5,0.725238895254,False
workload_211.cpp,xczu7ev-ffvc1156-2-e,10,0.22643,67,12,1,1,3,block_2_1,block_8_1,block_2_1,complete_1,complete_1,complete_1,pipeline_1,1,4.25,0.987267941061,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,72,12,1,2,4,block_2_1,block_8_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,1,4.75,0.969151785688,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10,0.36824,124,6,12,10,18,block_2_1,block_8_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,1,11.5,0.714167147038,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,69,14,1,1,3,block_2_1,block_8_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,1,4.75,0.969151785688,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10,0.36824,109,9,12,8,15,block_2_1,block_8_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_16,1,11,0.720726498764,False
workload_199.cpp,xczu7ev-ffvc1156-2-e,10,0.22643,65,12,1,1,3,block_2_1,block_8_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline_1,1,4.25,0.987267941061,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10,0.358,110.5,8,11,8,14,block_2_1,block_8_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,2,10.25,0.742078107561,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10,0.81944,69,7,1,1,3,block_2_1,block_8_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_2,1,3,0.512037601143,False
workload_0.cpp,xczu7ev-ffvc1156-2-e,10,1.25464,74,5,1,2,4,block_2_1,block_8_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_2,1,3,0.162818546864,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10,0.23667,67,13,1,1,3,block_2_1,block_8_1,cyclic_8_1,complete_1,complete_1,complete_1,pipeline_1,1,4.5,0.974061095611,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10,0.82968,70,8,1,1,3,block_2_1,block_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_2,1,3.25,0.500035159247,False
workload_194.cpp,xczu7ev-ffvc1156-2-e,10,0.35616,156,4,13,24,27,block_2_1,cyclic_2_1,block_128_1,complete_1,complete_1,complete_1,unroll_16,1,17,0.640762148269,False
workload_261.cpp,xczu7ev-ffvc1156-2-e,10,0.30344,278,4,32,49,49,block_2_1,cyclic_2_1,block_128_1,complete_1,complete_1,complete_1,unroll_32,1,33.5,0.393879277647,False
