Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_351.cpp,xczu7ev-ffvc1156-2-e,10,0.27063,514,79,10,15,26,block_16_1,cyclic_2_1,cyclic_2_1,cyclic_2_1,complete_1,block_8_1,pipeline_1,pipeline_1,1,32.5,0.380025917698,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10,0.28094,563,78,10,23,33,block_16_1,cyclic_64_1,block_64_1,complete_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,1,36,0.314286416536,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10,0.28085,525,81,10,15,28,block_16_1,cyclic_64_1,cyclic_16_1,complete_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,1,33.5,0.359109650716,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10,1.05888,503,9,31,5,41,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_2_1,block_8_1,unroll_8,unroll_4,1,21.5,0.103555115717,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10,1.04864,491,9,31,7,41,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_8_1,cyclic_4_1,unroll_8,unroll_4,1,22,0.104410707042,False
workload_157.cpp,xczu7ev-ffvc1156-2-e,10,0.29657,2254,4,1,34,75,block_2_1,block_128_1,cyclic_128_1,block_4_1,cyclic_2_1,block_8_1,unroll_64,pipeline_1,1,28.5,0.455997496575,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10,0.28444,1469,4,1,32,31,block_2_1,block_128_1,cyclic_2_1,complete_1,complete_1,block_2_1,unroll_64,pipeline_1,1,17,0.731199126964,False
workload_569.cpp,xczu7ev-ffvc1156-2-e,10,0.21934,498,36,7,17,31,block_2_1,block_128_1,cyclic_4_1,complete_1,block_4_1,block_8_1,pipeline_1,pipeline_1,1,22.75,0.61161963929,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10,0.29656,1857,4,1,33,54,block_2_1,block_128_1,cyclic_64_1,complete_1,cyclic_2_1,block_8_1,unroll_64,pipeline_1,1,23,0.581194650611,False
workload_235.cpp,xczu7ev-ffvc1156-2-e,10,0.76383,2111,9,1,5,19,block_2_1,block_16_1,block_64_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_64,unroll_2,1,8.5,0.293543526509,False
