Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_146.cpp,xczu7ev-ffvc1156-2-e,10,0.26477,791,9,38,8,58,block_16_1,block_64_1,block_8_1,cyclic_64_1,block_128_1,block_16_1,block_16_1,block_2_1,block_32_1,block_32_1,block_4_1,block_4_1,cyclic_8_1,block_8_1,block_8_1,unroll_8,unroll_4,pipeline_1,1,28.25,0.265386783531,False
workload_439.cpp,xczu7ev-ffvc1156-2-e,10,0.22904,1635,7,62,21,88,block_16_1,cyclic_2_1,cyclic_32_1,block_8_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,block_8_1,block_128_1,block_32_1,complete_1,block_2_1,block_2_1,unroll_16,unroll_4,pipeline_1,1,44.5,0.106487781161,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10,0.22904,1164,10,62,14,65,block_16_1,cyclic_32_1,cyclic_32_1,block_64_1,block_8_1,block_2_1,cyclic_4_1,block_2_1,cyclic_128_1,cyclic_4_1,block_8_1,block_16_1,block_8_1,complete_1,block_8_1,unroll_16,unroll_4,pipeline_1,1,37.75,0.150262807784,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10,0.21753,1431,18,1,39,57,block_16_1,cyclic_4_1,block_32_1,block_64_1,cyclic_32_1,block_8_1,cyclic_16_1,block_128_1,block_32_1,cyclic_128_1,cyclic_32_1,block_32_1,block_2_1,cyclic_8_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,28.75,0.272541166172,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10,0.21449,1309,18,1,43,47,block_16_1,cyclic_4_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_8_1,cyclic_16_1,block_128_1,block_64_1,cyclic_128_1,cyclic_32_1,block_4_1,complete_1,complete_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,27.25,0.299871014246,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10,0.72284,2432,12,1,8,49,block_16_1,cyclic_4_1,block_32_1,cyclic_16_1,block_64_1,block_16_1,cyclic_16_1,cyclic_64_1,block_32_1,cyclic_4_1,cyclic_32_1,block_64_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_64,unroll_4,unroll_2,1,17.5,0.255380952568,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10,0.27029,215,12,11,9,27,block_16_1,cyclic_4_1,block_32_1,cyclic_64_1,block_128_1,block_16_1,cyclic_16_1,block_2_1,block_32_1,block_16_1,cyclic_32_1,block_32_1,block_8_1,cyclic_8_1,complete_1,unroll_2,unroll_4,pipeline_1,1,14.75,0.526130548521,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10,0.2483,1451,8,1,41,50,block_16_1,cyclic_4_1,block_32_1,cyclic_64_1,block_128_1,block_8_1,cyclic_16_1,block_2_1,block_32_1,cyclic_128_1,cyclic_32_1,block_32_1,block_2_1,cyclic_8_1,block_8_1,unroll_64,unroll_4,pipeline_1,1,25,0.327934121702,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10,0.21449,1355,17,1,44,47,block_16_1,cyclic_4_1,cyclic_16_1,block_64_1,cyclic_32_1,block_128_1,cyclic_16_1,block_4_1,block_64_1,cyclic_4_1,cyclic_32_1,block_16_1,complete_1,complete_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,27.25,0.299871014246,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10,0.22907,1192,14,62,15,67,block_16_1,cyclic_4_1,cyclic_32_1,block_64_1,block_8_1,block_16_1,cyclic_4_1,block_2_1,cyclic_128_1,block_8_1,block_8_1,block_16_1,block_8_1,complete_1,block_8_1,unroll_16,unroll_4,pipeline_1,1,39.5,0.135021368524,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10,0.25981,855,4,1,47,93,block_2_1,block_4_1,block_64_1,block_16_1,cyclic_64_1,cyclic_128_1,cyclic_2_1,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_128_1,cyclic_2_1,complete_1,block_2_1,cyclic_8_1,unroll_16,unroll_4,pipeline_1,1,36.25,0.160659992011,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10,0.22904,684,10,1,43,80,block_2_1,block_4_1,cyclic_16_1,block_16_1,block_16_1,block_4_1,cyclic_2_1,block_4_1,cyclic_8_1,cyclic_4_1,block_16_1,block_16_1,complete_1,cyclic_8_1,cyclic_8_1,unroll_16,unroll_4,pipeline_1,1,33.5,0.198204505445,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10,0.22904,849,6,1,47,95,block_2_1,block_4_1,cyclic_16_1,block_64_1,cyclic_8_1,block_128_1,cyclic_2_1,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_128_1,block_16_1,complete_1,block_4_1,cyclic_8_1,unroll_16,unroll_4,pipeline_1,1,37.25,0.155106362273,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10,0.22904,843,6,1,47,95,block_2_1,block_4_1,cyclic_16_1,block_8_1,cyclic_8_1,block_128_1,cyclic_2_1,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_128_1,block_16_1,complete_1,block_4_1,cyclic_8_1,unroll_16,unroll_4,pipeline_1,1,37.25,0.155106362273,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10,0.25981,864,4,1,47,94,block_2_1,block_4_1,cyclic_16_1,cyclic_4_1,cyclic_64_1,cyclic_128_1,cyclic_2_1,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_128_1,cyclic_2_1,complete_1,block_4_1,cyclic_8_1,unroll_16,unroll_4,pipeline_1,1,36.5,0.158131267249,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10,0.14286,485,6,1,29,60,block_2_1,block_64_1,block_2_1,cyclic_128_1,block_128_1,block_2_1,cyclic_2_1,block_4_1,block_32_1,block_16_1,block_2_1,cyclic_4_1,cyclic_8_1,block_8_1,block_8_1,unroll_8,unroll_4,pipeline_1,1,24,0.389612288074,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10,0.26573,484,9,1,29,61,block_2_1,block_64_1,block_8_1,cyclic_128_1,block_128_1,block_16_1,block_16_1,block_2_1,block_32_1,block_16_1,block_4_1,cyclic_4_1,cyclic_8_1,block_8_1,block_8_1,unroll_8,unroll_4,pipeline_1,1,25,0.31999986925,False
workload_219.cpp,xczu7ev-ffvc1156-2-e,10,0.26997,148,9,1,8,16,block_2_1,cyclic_16_1,cyclic_64_1,cyclic_4_1,cyclic_64_1,cyclic_32_1,block_32_1,cyclic_4_1,block_64_1,block_4_1,block_32_1,cyclic_4_1,block_8_1,cyclic_4_1,complete_1,unroll_2,unroll_4,pipeline_1,1,8.5,0.679588677513,False
workload_437.cpp,xczu7ev-ffvc1156-2-e,10,0.0886,220,6,0,19,24,block_2_1,cyclic_2_1,block_2_1,cyclic_4_1,cyclic_64_1,block_64_1,block_4_1,cyclic_128_1,cyclic_4_1,cyclic_4_1,block_32_1,block_32_1,cyclic_8_1,complete_1,complete_1,pipeline_1,unroll_4,pipeline_1,1,12.25,0.731169217541,False
workload_714.cpp,xczu7ev-ffvc1156-2-e,10,0.1471,168,6,1,11,19,block_2_1,cyclic_2_1,block_2_1,cyclic_64_1,cyclic_64_1,cyclic_128_1,block_4_1,cyclic_16_1,block_32_1,block_8_1,block_128_1,block_32_1,cyclic_8_1,complete_1,cyclic_8_1,unroll_2,unroll_4,pipeline_1,1,9.25,0.743683067238,False
workload_449.cpp,xczu7ev-ffvc1156-2-e,10,0.05771,206,6,0,16,24,block_2_1,cyclic_2_1,block_2_1,cyclic_8_1,cyclic_128_1,cyclic_128_1,block_4_1,cyclic_128_1,cyclic_2_1,block_8_1,block_128_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,11.5,0.774971588808,False
workload_900.cpp,xczu7ev-ffvc1156-2-e,10,0.00013,395,22,5,28,43,block_2_1,cyclic_2_1,block_2_1,cyclic_8_1,cyclic_64_1,block_4_1,block_4_1,cyclic_128_1,cyclic_2_1,block_4_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,pipeline_1,unroll_2,pipeline_1,1,24.5,0.397252291619,False
workload_853.cpp,xczu7ev-ffvc1156-2-e,10,0.08851,179,7,0,11,18,block_2_1,cyclic_2_1,block_2_1,cyclic_8_1,cyclic_64_1,block_4_1,block_4_1,cyclic_128_1,cyclic_2_1,block_8_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,9,0.81151255964,False
workload_838.cpp,xczu7ev-ffvc1156-2-e,10,0.10094,2268,6,1,36,81,block_2_1,cyclic_2_1,block_2_1,cyclic_8_1,cyclic_64_1,cyclic_128_1,block_4_1,cyclic_128_1,block_64_1,block_8_1,block_128_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,31,0.257383815332,False
workload_485.cpp,xczu7ev-ffvc1156-2-e,10,0.05771,197,6,0,15,23,block_2_1,cyclic_2_1,block_2_1,cyclic_8_1,cyclic_64_1,cyclic_128_1,block_4_1,cyclic_128_1,cyclic_2_1,block_8_1,block_128_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,11,0.790410657162,False
workload_756.cpp,xczu7ev-ffvc1156-2-e,10,0.05771,199,6,0,15,23,block_2_1,cyclic_2_1,block_2_1,cyclic_8_1,cyclic_64_1,cyclic_128_1,block_4_1,cyclic_128_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,11,0.790410657162,False
workload_352.cpp,xczu7ev-ffvc1156-2-e,10,0.26725,224,5,1,15,27,block_2_1,cyclic_2_1,block_64_1,block_8_1,cyclic_64_1,cyclic_8_1,block_4_1,block_2_1,cyclic_4_1,block_4_1,block_32_1,block_32_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,unroll_4,unroll_4,pipeline_1,1,12,0.596854863063,False
workload_537.cpp,xczu7ev-ffvc1156-2-e,10,0.18866,141,37,6,15,23,block_2_1,cyclic_2_1,block_64_1,cyclic_128_1,cyclic_64_1,block_2_1,block_4_1,block_4_1,cyclic_2_1,block_8_1,block_2_1,cyclic_4_1,cyclic_4_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,20.25,0.455964633813,False
workload_922.cpp,xczu7ev-ffvc1156-2-e,10,0.18868,146,36,6,15,23,block_2_1,cyclic_2_1,block_8_1,cyclic_64_1,cyclic_2_1,cyclic_64_1,block_16_1,cyclic_128_1,block_32_1,block_8_1,cyclic_64_1,cyclic_4_1,block_2_1,complete_1,complete_1,pipeline_1,unroll_4,unroll_4,1,20,0.461687059725,False
workload_693.cpp,xczu7ev-ffvc1156-2-e,10,0.18866,165,35,6,19,28,block_2_1,cyclic_2_1,block_8_1,cyclic_8_1,cyclic_64_1,cyclic_128_1,block_4_1,cyclic_128_1,cyclic_2_1,block_8_1,block_128_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,22,0.416473514897,False
workload_791.cpp,xczu7ev-ffvc1156-2-e,10,0.18866,167,35,6,19,28,block_2_1,cyclic_2_1,block_8_1,cyclic_8_1,cyclic_64_1,cyclic_128_1,block_4_1,cyclic_128_1,cyclic_2_1,block_8_1,block_32_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,22,0.416473514897,False
workload_393.cpp,xczu7ev-ffvc1156-2-e,10,0.2284,895,4,1,57,97,block_2_1,cyclic_2_1,cyclic_32_1,block_8_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,block_8_1,block_128_1,block_32_1,complete_1,complete_1,block_2_1,unroll_16,unroll_4,pipeline_1,1,39.75,0.13312772614,False
workload_516.cpp,xczu7ev-ffvc1156-2-e,10,0.18866,144,37,6,16,24,block_2_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,cyclic_128_1,block_2_1,block_4_1,cyclic_128_1,cyclic_2_1,block_8_1,block_128_1,block_32_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,20.75,0.444558374471,False
workload_611.cpp,xczu7ev-ffvc1156-2-e,10,0.18866,144,37,6,15,23,block_2_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,cyclic_64_1,block_2_1,block_4_1,cyclic_128_1,cyclic_4_1,block_8_1,block_32_1,block_32_1,cyclic_8_1,cyclic_4_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,20.25,0.455964633813,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10,0.15789,176,35,6,20,29,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,block_2_1,cyclic_128_1,cyclic_8_1,block_128_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,22.5,0.418582324903,False
workload_947.cpp,xczu7ev-ffvc1156-2-e,10,0.26997,143,4,1,9,15,block_2_1,cyclic_2_1,cyclic_64_1,cyclic_64_1,cyclic_64_1,block_2_1,block_16_1,cyclic_4_1,block_64_1,block_8_1,block_32_1,cyclic_4_1,block_4_1,complete_1,complete_1,unroll_2,unroll_4,pipeline_1,1,7.25,0.707062154056,False
workload_903.cpp,xczu7ev-ffvc1156-2-e,10,0.18866,162,35,6,17,27,block_2_1,cyclic_2_1,cyclic_64_1,cyclic_8_1,cyclic_64_1,cyclic_128_1,block_4_1,cyclic_4_1,cyclic_2_1,block_8_1,block_128_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,21.25,0.433244705519,False
workload_395.cpp,xczu7ev-ffvc1156-2-e,10,0.2327,1674,4,1,19,72,block_2_1,cyclic_32_1,cyclic_32_1,block_8_1,cyclic_128_1,block_2_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,block_8_1,block_32_1,block_32_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll_32,unroll_4,pipeline_1,1,24,0.353984093051,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10,0.26573,403,10,1,27,52,block_2_1,cyclic_64_1,block_8_1,block_32_1,block_8_1,block_16_1,block_16_1,block_4_1,block_32_1,block_16_1,block_32_1,cyclic_4_1,block_8_1,block_8_1,cyclic_4_1,unroll_8,unroll_4,pipeline_1,1,22.5,0.365648034854,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10,0.26573,485,9,1,28,60,block_2_1,cyclic_64_1,block_8_1,cyclic_128_1,block_128_1,block_16_1,block_16_1,block_2_1,block_32_1,block_16_1,block_32_1,cyclic_4_1,block_8_1,block_8_1,cyclic_4_1,unroll_8,unroll_4,pipeline_1,1,24.5,0.328933080319,False
workload_188.cpp,xczu7ev-ffvc1156-2-e,10,0.26725,229,5,1,15,29,block_2_1,cyclic_64_1,cyclic_32_1,block_8_1,block_8_1,cyclic_64_1,block_16_1,block_2_1,cyclic_128_1,block_4_1,cyclic_2_1,block_32_1,block_8_1,cyclic_4_1,block_2_1,unroll_4,unroll_4,pipeline_1,1,12.5,0.584281916507,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10,0.26725,238,5,1,15,29,block_2_1,cyclic_64_1,cyclic_32_1,block_8_1,block_8_1,cyclic_64_1,block_16_1,block_4_1,cyclic_128_1,block_4_1,block_64_1,block_32_1,block_8_1,cyclic_4_1,block_2_1,unroll_4,unroll_4,pipeline_1,1,12.5,0.584281916507,False
