Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_220.cpp,xczu7ev-ffvc1156-2-e,10,0.07913,2888,34,6,29,45,block_16_1,cyclic_128_1,cyclic_128_1,block_4_1,block_128_1,cyclic_2_1,cyclic_4_1,block_4_1,block_2_1,cyclic_2_1,cyclic_128_1,block_32_1,block_2_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,unroll_16,1,28.5,0.50446899994,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10,0.081,896,34,6,13,25,block_16_1,cyclic_128_1,cyclic_128_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_4_1,block_2_1,cyclic_2_1,cyclic_128_1,block_32_1,block_2_1,block_8_1,cyclic_8_1,pipeline_1,unroll_4,unroll_16,1,19.5,0.740214964488,False
workload_189.cpp,xczu7ev-ffvc1156-2-e,10,0.081,890,34,6,13,25,block_16_1,cyclic_128_1,cyclic_128_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_4_1,block_2_1,cyclic_2_1,cyclic_32_1,block_32_1,block_2_1,block_2_1,cyclic_8_1,pipeline_1,unroll_4,unroll_16,1,19.5,0.740214964488,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10,0.11227,1377,45,2,45,52,block_16_1,cyclic_4_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_8_1,cyclic_16_1,block_128_1,block_64_1,cyclic_128_1,cyclic_32_1,block_4_1,complete_1,complete_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,36,0.327667740528,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10,0.11257,1545,43,2,44,56,block_16_1,cyclic_64_1,block_32_1,block_2_1,cyclic_16_1,cyclic_32_1,cyclic_16_1,block_128_1,block_64_1,cyclic_128_1,cyclic_32_1,cyclic_128_1,complete_1,complete_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,36.25,0.322841024788,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10,0.08381,363,40,21,8,38,block_16_1,cyclic_8_1,cyclic_128_1,block_16_1,cyclic_32_1,cyclic_64_1,cyclic_4_1,block_128_1,cyclic_64_1,block_8_1,block_8_1,block_32_1,cyclic_8_1,complete_1,cyclic_8_1,unroll_4,unroll_4,pipeline_1,1,26.75,0.547556056702,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10,0.13602,257,39,1,17,32,block_2_1,block_64_1,cyclic_32_1,block_16_1,block_8_1,block_16_1,cyclic_4_1,block_2_1,cyclic_128_1,block_8_1,block_8_1,block_32_1,cyclic_8_1,complete_1,block_2_1,unroll_4,unroll_4,pipeline_1,1,22.25,0.619994865181,False
workload_385.cpp,xczu7ev-ffvc1156-2-e,10,0.07909,202,37,0,13,21,block_2_1,block_8_1,cyclic_64_1,block_32_1,cyclic_32_1,cyclic_8_1,block_8_1,cyclic_64_1,block_16_1,cyclic_16_1,block_32_1,cyclic_64_1,cyclic_4_1,block_2_1,block_8_1,pipeline_1,unroll_4,pipeline_1,1,17.75,0.778889805362,False
workload_223.cpp,xczu7ev-ffvc1156-2-e,10,0.07909,202,40,0,13,22,block_2_1,block_8_1,cyclic_64_1,cyclic_128_1,cyclic_32_1,cyclic_32_1,block_8_1,block_64_1,cyclic_128_1,cyclic_2_1,block_32_1,cyclic_64_1,cyclic_4_1,block_2_1,block_8_1,pipeline_1,unroll_4,pipeline_1,1,18.75,0.759159722583,False
workload_334.cpp,xczu7ev-ffvc1156-2-e,10,0.07909,209,40,0,13,24,block_2_1,block_8_1,cyclic_64_1,cyclic_16_1,cyclic_32_1,block_16_1,block_8_1,block_64_1,cyclic_64_1,cyclic_16_1,block_32_1,cyclic_64_1,cyclic_4_1,block_2_1,block_8_1,pipeline_1,unroll_4,pipeline_1,1,19.25,0.7480548071,False
workload_310.cpp,xczu7ev-ffvc1156-2-e,10,0.07909,203,40,0,13,22,block_2_1,block_8_1,cyclic_64_1,cyclic_16_1,cyclic_32_1,cyclic_32_1,block_8_1,block_64_1,block_16_1,cyclic_16_1,block_32_1,cyclic_64_1,cyclic_4_1,block_2_1,block_8_1,pipeline_1,unroll_4,pipeline_1,1,18.75,0.759159722583,False
workload_852.cpp,xczu7ev-ffvc1156-2-e,10,0.07918,269,35,0,22,35,block_2_1,cyclic_128_1,cyclic_2_1,cyclic_4_1,cyclic_32_1,block_64_1,block_8_1,block_64_1,cyclic_2_1,block_2_1,block_32_1,cyclic_4_1,cyclic_4_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,1,23,0.650878968315,False
workload_845.cpp,xczu7ev-ffvc1156-2-e,10,0.07909,201,36,0,13,21,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_16_1,cyclic_32_1,cyclic_2_1,block_8_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_4_1,block_64_1,cyclic_4_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,1,17.5,0.783229922712,False
workload_622.cpp,xczu7ev-ffvc1156-2-e,10,0.07965,481,30,0,37,54,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_4_1,block_128_1,block_64_1,cyclic_4_1,block_64_1,block_32_1,block_4_1,cyclic_4_1,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,1,30.25,0.461071432569,False
workload_905.cpp,xczu7ev-ffvc1156-2-e,10,0.08113,258,30,0,22,34,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_4_1,cyclic_2_1,block_64_1,block_4_1,block_64_1,block_2_1,block_2_1,block_32_1,cyclic_4_1,complete_1,block_2_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,1,21.5,0.689832204085,False
workload_745.cpp,xczu7ev-ffvc1156-2-e,10,0.08104,197,31,0,13,21,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_4_1,cyclic_2_1,cyclic_2_1,cyclic_64_1,block_64_1,block_32_1,block_4_1,cyclic_4_1,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,1,16.25,0.800301421224,False
workload_763.cpp,xczu7ev-ffvc1156-2-e,10,0.07918,264,35,0,22,35,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_4_1,cyclic_32_1,block_64_1,block_8_1,block_64_1,block_64_1,block_2_1,block_32_1,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,1,23,0.650878968315,False
workload_901.cpp,xczu7ev-ffvc1156-2-e,10,0.07909,197,36,0,13,21,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,block_8_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_4_1,block_16_1,cyclic_4_1,complete_1,cyclic_8_1,pipeline_1,unroll_4,pipeline_1,1,17.5,0.783229922712,False
