Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_35.cpp,xczu7ev-ffvc1156-2-e,10,284.10435,2107,0,0,34,80,block_2_1,unroll_16,unroll_4,unroll_5,pipeline_1,2,28.5,0.104628969113,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10,36.31745,129,0,0,1,3,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,8,1,0.999975416639,False
workload_175.cpp,xczu7ev-ffvc1156-2-e,10,36.31201,128,0,0,1,3,block_2_1,unroll_2,pipeline_1,unroll_5,pipeline_1,4,1,1,True
workload_297.cpp,xczu7ev-ffvc1156-2-e,10,36.31745,126,0,0,1,3,block_2_1,unroll_2,pipeline_1,unroll_5,unroll_5,1,1,0.999975416639,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10,150.41329,136.5,0,0,2,4,block_2_1,unroll_2,unroll_2,pipeline_1,pipeline_1,2,1.5,0.557874395755,False
workload_299.cpp,xczu7ev-ffvc1156-2-e,10,284.10673,150,0,0,2,6,block_2_1,unroll_2,unroll_2,unroll_5,pipeline_1,1,2,0.228180234278,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10,150.41329,243.5,0,0,9,17,block_2_1,unroll_2,unroll_8,pipeline_1,pipeline_1,2,6.5,0.518760074042,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10,284.10673,333,0,0,8,19,block_2_1,unroll_2,unroll_8,unroll_5,pipeline_1,1,6.75,0.217569244695,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10,36.31235,598,0,0,18,51,block_2_1,unroll_32,pipeline_1,pipeline_1,pipeline_1,1,17.25,0.416347977267,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10,36.31201,561.5,0,0,21,51,block_2_1,unroll_32,pipeline_1,unroll_5,pipeline_1,2,18,0.396613084019,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10,36.31473,156,0,0,2,6,block_2_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,7,2,0.955467726552,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10,36.31473,154,0,0,2,6,block_2_1,unroll_4,pipeline_1,pipeline_1,unroll_5,1,2,0.955467726552,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10,36.31201,154.5,0,0,2,7,block_2_1,unroll_4,pipeline_1,unroll_5,pipeline_1,4,2.25,0.944511201713,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10,150.41193,171,0,0,5,9,block_2_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,3.5,0.549579178087,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,10,150.41193,246,0,0,10,17,block_2_1,unroll_4,unroll_4,pipeline_1,pipeline_1,1,6.75,0.51537596278,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10,150.41193,396,0,0,19,33,block_2_1,unroll_4,unroll_8,pipeline_1,pipeline_1,1,13,0.407721814786,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10,36.31337,217,0,0,4,13,block_2_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,3,4.25,0.859401187135,False
workload_222.cpp,xczu7ev-ffvc1156-2-e,10,36.31337,212,0,0,4,13,block_2_1,unroll_8,pipeline_1,pipeline_1,unroll_5,1,4.25,0.859401187135,False
workload_207.cpp,xczu7ev-ffvc1156-2-e,10,36.31201,211,0,0,5,13,block_2_1,unroll_8,pipeline_1,unroll_5,pipeline_1,1,4.5,0.849080210111,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10,150.41125,244,0,0,10,17,block_2_1,unroll_8,unroll_2,pipeline_1,pipeline_1,1,6.75,0.515377827842,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10,150.41125,748,0,0,37,65,block_2_1,unroll_8,unroll_8,pipeline_1,pipeline_1,1,25.5,0.193679055055,False
workload_244.cpp,xczu7ev-ffvc1156-2-e,10,36.31745,128,0,0,1,3,block_4_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,8,1,0.999975416639,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10,36.31201,128.5,0,0,1,3,block_4_1,unroll_2,pipeline_1,unroll_5,pipeline_1,4,1,1,True
workload_310.cpp,xczu7ev-ffvc1156-2-e,10,36.31745,129,0,0,1,3,block_4_1,unroll_2,pipeline_1,unroll_5,unroll_5,1,1,0.999975416639,False
