Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_291.cpp,xczu7ev-ffvc1156-2-e,10,208.73694,461,12,1,15,37,block_2_1,block_16_1,cyclic_2_1,unroll_4,unroll_4,unroll_16,unroll_2,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_5,1,16.25,0.339961017717,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10,199.23358,556,12,1,22,48,block_2_1,block_16_1,cyclic_2_1,unroll_8,unroll_4,unroll_16,unroll_2,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_5,1,20.75,0.31527854409,False
workload_248.cpp,xczu7ev-ffvc1156-2-e,10,186.1747,550,12,1,22,50,block_2_1,block_16_1,cyclic_2_1,unroll_8,unroll_4,unroll_16,unroll_4,unroll_2,pipeline_1,unroll_16,pipeline_1,unroll_5,1,21.25,0.330571439131,False
workload_272.cpp,xczu7ev-ffvc1156-2-e,10,210.81566,321,12,1,15,29,block_2_1,block_16_1,cyclic_8_1,unroll_4,unroll_4,unroll_16,unroll_2,unroll_2,unroll_16,unroll_2,pipeline_1,unroll_5,1,14.25,0.354955834692,False
workload_319.cpp,xczu7ev-ffvc1156-2-e,10,219.06025,305,17,1,14,26,block_2_1,block_32_1,cyclic_8_1,unroll_4,unroll_4,unroll_2,unroll_17,unroll_2,unroll_16,unroll_2,pipeline_1,unroll_5,1,14.5,0.337472960973,False
workload_205.cpp,xczu7ev-ffvc1156-2-e,10,377.00132,1262,12,1,17,40,block_2_1,block_32_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_5,pipeline_1,1,17.5,0.125370743712,False
workload_241.cpp,xczu7ev-ffvc1156-2-e,10,154.93323,340,12,1,19,34,block_2_1,block_8_1,cyclic_2_1,unroll_8,unroll_4,unroll_16,unroll_17,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_5,1,16.5,0.438080032992,False
workload_296.cpp,xczu7ev-ffvc1156-2-e,10,155.87138,1226,12,1,20,61,block_2_1,block_8_1,cyclic_2_1,unroll_8,unroll_4,unroll_16,unroll_17,unroll_4,unroll_32,unroll_32,unroll_5,unroll_5,1,23.5,0.34662319975,False
workload_223.cpp,xczu7ev-ffvc1156-2-e,10,154.94247,313,12,1,18,33,block_2_1,block_8_1,cyclic_2_1,unroll_8,unroll_4,unroll_2,unroll_17,unroll_2,pipeline_1,unroll_32,pipeline_1,unroll_5,1,16,0.44596548553,False
workload_267.cpp,xczu7ev-ffvc1156-2-e,10,143.88839,490,12,1,36,63,block_2_1,block_8_1,cyclic_2_1,unroll_8,unroll_4,unroll_2,unroll_17,unroll_4,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,28,0.28263298258,False
