Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_254.cpp,xczu7ev-ffvc1156-2-e,10,10.91954,1933,25,1,24,36,block_8_1,cyclic_16_1,cyclic_32_1,block_2_1,block_8_1,unroll_5,pipeline_1,unroll_36,unroll_4,unroll_4,unroll_5,unroll_8,unroll_4,pipeline_1,unroll_8,unroll_5,pipeline_1,1,21.5,0.710166816316,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10,49.23678,574,56,1,7,38,block_8_1,cyclic_2_1,cyclic_16_1,block_2_1,cyclic_2_1,pipeline_1,unroll_8,unroll_36,pipeline_1,unroll_17,unroll_5,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_5,pipeline_1,1,25.5,0.599511745961,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10,99.53536,2467,16,1,27,54,block_8_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_36,pipeline_1,unroll_17,unroll_5,pipeline_1,unroll_4,pipeline_1,unroll_8,unroll_5,pipeline_1,1,24.5,0.626160925167,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10,176.92837,1004,30,1,41,67,block_8_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_4_1,unroll_5,unroll_8,unroll_36,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,unroll_32,pipeline_1,pipeline_1,pipeline_1,1,34.75,0.385925003811,False
workload_224.cpp,xczu7ev-ffvc1156-2-e,10,10.84338,2249,25,1,28,54,block_8_1,cyclic_2_1,cyclic_32_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_36,unroll_4,unroll_4,unroll_5,pipeline_1,unroll_4,pipeline_1,unroll_8,unroll_5,pipeline_1,1,27,0.560834384524,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10,484.68396,1127,56,1,42,76,block_8_1,cyclic_4_1,cyclic_16_1,block_2_1,cyclic_4_1,unroll_5,unroll_8,unroll_36,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,unroll_32,pipeline_1,pipeline_1,pipeline_1,1,43.75,0.234844210694,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10,368.3686,1335,62,1,8,73,cyclic_128_1,block_32_1,cyclic_2_1,block_4_1,block_2_1,pipeline_1,unroll_4,unroll_36,unroll_32,unroll_17,unroll_5,pipeline_1,unroll_16,unroll_16,unroll_8,pipeline_1,pipeline_1,1,36,0.361542509524,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10,348.99978,966,62,1,7,43,cyclic_128_1,block_32_1,cyclic_2_1,block_4_1,complete_1,pipeline_1,unroll_2,unroll_36,unroll_32,unroll_4,unroll_5,pipeline_1,unroll_2,unroll_16,unroll_8,pipeline_1,pipeline_1,1,28.25,0.529725589122,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10,14.14846,2822,42,1,20,55,cyclic_128_1,block_32_1,cyclic_32_1,cyclic_2_1,cyclic_8_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,29.5,0.499867749307,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10,34.05704,1125,73,1,3,56,cyclic_128_1,block_32_1,cyclic_32_1,cyclic_2_1,cyclic_8_1,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_2,unroll_5,pipeline_1,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,1,33.25,0.416525861268,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10,50.13922,3058,28,1,20,52,cyclic_128_1,block_4_1,cyclic_4_1,block_8_1,cyclic_8_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_5,pipeline_1,pipeline_1,unroll_4,unroll_8,unroll_5,pipeline_1,1,25.25,0.606106166731,False
