Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_426.cpp,xczu7ev-ffvc1156-2-e,10,110.25734,88.5,0,1,4,7,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2,3,0.964493965182,False
workload_311.cpp,xczu7ev-ffvc1156-2-e,10,778.50534,88,0,1,4,7,block_2_1,unroll_2,unroll_2,unroll_2,unroll_2,1,3,0.148934163614,False
workload_517.cpp,xczu7ev-ffvc1156-2-e,10,110.14534,171,0,1,6,9,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,1,4,0.93832611174,False
workload_261.cpp,xczu7ev-ffvc1156-2-e,10,116.5449,944,0,1,13,26,block_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,1,10,0.574297009499,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10,908.84186,739,0,2,14,29,block_2_1,unroll_2,unroll_2,unroll_8,unroll_2,1,11.25,0.10070219165,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10,509.53386,1041,0,3,19,37,block_2_1,unroll_2,unroll_2,unroll_8,unroll_4,1,14.75,0.209080931237,False
workload_323.cpp,xczu7ev-ffvc1156-2-e,10,126.06566,909,0,1,12,20,block_2_1,unroll_2,unroll_8,unroll_2,pipeline_1,1,8.25,0.668726941388,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10,109.89332,206,0,1,6,11,block_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,5,4.5,0.904079513395,False
workload_356.cpp,xczu7ev-ffvc1156-2-e,10,262.43732,986,0,4,17,24,block_2_1,unroll_4,unroll_2,unroll_2,unroll_16,1,11.25,0.459281238128,False
workload_378.cpp,xczu7ev-ffvc1156-2-e,10,110.43932,956,0,1,10,15,block_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,1,6.5,0.774203978542,False
workload_386.cpp,xczu7ev-ffvc1156-2-e,10,110.25734,103,0,1,4,8,block_4_1,unroll_2,unroll_2,unroll_2,pipeline_1,2,3.25,0.964489514057,False
workload_482.cpp,xczu7ev-ffvc1156-2-e,10,110.14534,173,0,1,5,10,block_4_1,unroll_2,unroll_2,unroll_4,pipeline_1,3,4,0.93832611174,False
workload_379.cpp,xczu7ev-ffvc1156-2-e,10,109.89332,205,0,1,6,12,block_4_1,unroll_4,unroll_2,unroll_2,pipeline_1,3,4.75,0.887220243032,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10,416.99732,470,0,2,10,17,block_4_1,unroll_4,unroll_2,unroll_2,unroll_8,2,7.25,0.435663500617,False
workload_406.cpp,xczu7ev-ffvc1156-2-e,10,110.43932,930,0,1,10,16,block_4_1,unroll_4,unroll_2,unroll_4,pipeline_1,1,6.75,0.758773801452,False
workload_246.cpp,xczu7ev-ffvc1156-2-e,10,756.23132,966,0,1,9,16,block_4_1,unroll_4,unroll_2,unroll_4,unroll_2,1,6.5,0.154581405353,False
workload_346.cpp,xczu7ev-ffvc1156-2-e,10,110.1299,93,0,1,3,6,block_8_1,unroll_2,unroll_2,unroll_2,pipeline_1,5,2.5,1,True
workload_247.cpp,xczu7ev-ffvc1156-2-e,10,109.9619,189,0,1,5,8,block_8_1,unroll_2,unroll_2,unroll_4,pipeline_1,5,3.5,1,True
workload_383.cpp,xczu7ev-ffvc1156-2-e,10,110.36766,182,0,1,5,9,block_8_1,unroll_2,unroll_4,unroll_2,pipeline_1,2,3.75,0.95510994883,False
workload_525.cpp,xczu7ev-ffvc1156-2-e,10,110.01766,767,0,1,9,14,block_8_1,unroll_2,unroll_4,unroll_4,pipeline_1,1,6,0.805602725447,False
workload_365.cpp,xczu7ev-ffvc1156-2-e,10,109.75188,188,0,1,5,9,block_8_1,unroll_4,unroll_2,unroll_2,pipeline_1,5,3.75,1,True
workload_424.cpp,xczu7ev-ffvc1156-2-e,10,109.82188,808.5,0,1,8,13,block_8_1,unroll_4,unroll_2,unroll_4,pipeline_1,4,5.5,0.837713916946,False
workload_301.cpp,xczu7ev-ffvc1156-2-e,10,425.66188,1399,0,2,11,17,block_8_1,unroll_4,unroll_2,unroll_4,unroll_4,1,7.5,0.421290344896,False
workload_449.cpp,xczu7ev-ffvc1156-2-e,10,109.75864,864,0,1,9,14,block_8_1,unroll_4,unroll_4,unroll_2,pipeline_1,1,6,0.805602667482,False
workload_280.cpp,xczu7ev-ffvc1156-2-e,10,110.32414,85.5,0,1,3,6,complete_1,unroll_2,unroll_2,unroll_2,pipeline_1,6,2.5,0.999599049208,False
workload_287.cpp,xczu7ev-ffvc1156-2-e,10,436.77614,112,0,2,4,8,complete_1,unroll_2,unroll_2,unroll_2,unroll_4,2,3.5,0.450678978744,False
workload_380.cpp,xczu7ev-ffvc1156-2-e,10,110.17014,194.5,0,1,5,9,complete_1,unroll_2,unroll_2,unroll_4,pipeline_1,6,3.75,0.955309330254,False
workload_260.cpp,xczu7ev-ffvc1156-2-e,10,116.3877,930,0,1,12,25,complete_1,unroll_2,unroll_2,unroll_8,pipeline_1,1,9.5,0.600684131511,False
workload_298.cpp,xczu7ev-ffvc1156-2-e,10,110.37946,198,0,1,5,10,complete_1,unroll_2,unroll_4,unroll_2,pipeline_1,4,4,0.938311834862,False
workload_347.cpp,xczu7ev-ffvc1156-2-e,10,778.40346,235,0,1,5,10,complete_1,unroll_2,unroll_4,unroll_2,unroll_2,2,4,0.148509677041,False
workload_528.cpp,xczu7ev-ffvc1156-2-e,10,109.99446,796.5,0,1,9,15,complete_1,unroll_2,unroll_4,unroll_4,pipeline_1,2,6.25,0.789815157964,False
workload_243.cpp,xczu7ev-ffvc1156-2-e,10,889.60406,1011,0,1,9,17,complete_1,unroll_2,unroll_8,unroll_2,unroll_2,1,6.75,0.107930878458,False
workload_233.cpp,xczu7ev-ffvc1156-2-e,10,502.40406,1399,0,2,12,21,complete_1,unroll_2,unroll_8,unroll_2,unroll_4,1,8.75,0.322007652715,False
workload_236.cpp,xczu7ev-ffvc1156-2-e,10,493.38006,2420,0,2,21,33,complete_1,unroll_2,unroll_8,unroll_2,unroll_8,1,14,0.231568825383,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10,109.9884,201,0,1,5,10,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,6,4,0.938331588642,False
workload_212.cpp,xczu7ev-ffvc1156-2-e,10,425.6044,267.5,0,2,6,12,complete_1,unroll_4,unroll_2,unroll_2,unroll_4,2,5,0.456674486106,False
workload_418.cpp,xczu7ev-ffvc1156-2-e,10,109.8204,874,0,1,8,14,complete_1,unroll_4,unroll_2,unroll_4,pipeline_1,3,5.75,0.821569046554,False
workload_254.cpp,xczu7ev-ffvc1156-2-e,10,109.76358,862,0,1,9,16,complete_1,unroll_4,unroll_4,unroll_2,pipeline_1,3,6.5,0.774206063737,False
workload_576.cpp,xczu7ev-ffvc1156-2-e,10,109.75747,862,0,2,9,17,complete_1,unroll_8,unroll_2,unroll_2,pipeline_1,1,7,0.743523922548,False
workload_330.cpp,xczu7ev-ffvc1156-2-e,10,110.1299,93,0,1,3,6,complete_2,unroll_2,unroll_2,unroll_2,pipeline_1,5,2.5,1,True
workload_127.cpp,xczu7ev-ffvc1156-2-e,10,436.8059,103,0,2,4,7,complete_2,unroll_2,unroll_2,unroll_2,unroll_4,2,3.25,0.451085019348,False
workload_219.cpp,xczu7ev-ffvc1156-2-e,10,110.1859,184,0,1,5,8,complete_2,unroll_2,unroll_2,unroll_4,pipeline_1,6,3.5,0.964268270335,False
workload_326.cpp,xczu7ev-ffvc1156-2-e,10,431.2199,292.5,0,2,6,10,complete_2,unroll_2,unroll_2,unroll_4,unroll_4,2,4.5,0.453427880306,False
workload_545.cpp,xczu7ev-ffvc1156-2-e,10,115.92354,624,0,1,12,25,complete_2,unroll_2,unroll_2,unroll_8,pipeline_1,1,9.5,0.600704432218,False
workload_244.cpp,xczu7ev-ffvc1156-2-e,10,509.37842,1014,0,3,19,36,complete_2,unroll_2,unroll_2,unroll_8,unroll_4,1,14.5,0.213615451014,False
workload_313.cpp,xczu7ev-ffvc1156-2-e,10,110.14366,190,0,1,5,9,complete_2,unroll_2,unroll_4,unroll_2,pipeline_1,3,3.75,0.95533599285,False
workload_344.cpp,xczu7ev-ffvc1156-2-e,10,126.14206,862.5,0,1,9,15,complete_2,unroll_2,unroll_8,unroll_2,pipeline_1,2,6.25,0.787546299268,False
workload_285.cpp,xczu7ev-ffvc1156-2-e,10,889.60606,930,0,1,9,15,complete_2,unroll_2,unroll_8,unroll_2,unroll_2,1,6.25,0.108438475896,False
workload_293.cpp,xczu7ev-ffvc1156-2-e,10,109.97588,182,0,1,5,9,complete_2,unroll_4,unroll_2,unroll_2,pipeline_1,6,3.75,0.955504561814,False
