Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5238.cpp,xcu200-fsgd2104-2-e,3.33,37.4804487,898,0,0,4,7,block_128_1,block_128_1,cyclic_2_1,cyclic_2_1,block_8_1,unroll_4,unroll_8,unroll_4,unroll_4,unroll_16,unroll_8,unroll_2,pipeline_1,1,2.75,0.822160397298,False
workload_5353.cpp,xcu200-fsgd2104-2-e,3.33,37.47928986,182,0,0,1,2,block_128_1,block_128_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_8,unroll_2,pipeline_1,1,0.75,0.981259256744,False
workload_5404.cpp,xcu200-fsgd2104-2-e,3.33,37.4734557,379,0,0,1,3,block_128_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_32,unroll_8,unroll_2,pipeline_1,1,1,0.962808518844,False
workload_5371.cpp,xcu200-fsgd2104-2-e,3.33,37.4175117,443,0,0,2,4,block_128_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_32,unroll_8,unroll_4,pipeline_1,1,1.5,0.908695098799,False
workload_5357.cpp,xcu200-fsgd2104-2-e,3.33,645.6518685,635,0,0,0,3,block_128_1,block_32_1,cyclic_16_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,pipeline_1,unroll_32,unroll_64,unroll_4,unroll_2,1,0.75,0.127456859667,False
workload_5354.cpp,xcu200-fsgd2104-2-e,3.33,37.52961282,161,0,0,1,2,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,block_8_1,unroll_2,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_8,unroll_2,pipeline_1,1,0.75,0.981188125415,False
workload_5223.cpp,xcu200-fsgd2104-2-e,3.33,59.68399626,263,0,0,2,3,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_4,unroll_4,unroll_64,unroll_4,pipeline_1,1,1.25,0.906346625916,False
workload_5464.cpp,xcu200-fsgd2104-2-e,3.33,37.41942978,262,0,0,2,3,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,1,1.25,0.944574258494,False
workload_5269.cpp,xcu200-fsgd2104-2-e,3.33,37.45430154,404,0,0,2,4,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_4,unroll_64,unroll_4,pipeline_1,1,1.5,0.908694882191,False
workload_5496.cpp,xcu200-fsgd2104-2-e,3.33,37.40373882,423,0,0,2,4,block_128_1,block_32_1,cyclic_4_1,block_32_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_16,unroll_32,unroll_64,unroll_4,pipeline_1,1,1.5,0.908695135445,False
workload_5478.cpp,xcu200-fsgd2104-2-e,3.33,37.39825098,313,0,0,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,block_8_1,unroll_2,unroll_32,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,1,1.5,0.908695143301,False
workload_5473.cpp,xcu200-fsgd2104-2-e,3.33,37.40475114,364,0,0,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,block_8_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,unroll_16,unroll_4,pipeline_1,1,1.5,0.908695133576,False
workload_5439.cpp,xcu200-fsgd2104-2-e,3.33,37.45408842,347,0,0,1,3,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_4_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1,0.962835496309,False
workload_5431.cpp,xcu200-fsgd2104-2-e,3.33,37.3976649,525,0,0,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_4,pipeline_1,1,1.5,0.908695143913,False
workload_5305.cpp,xcu200-fsgd2104-2-e,3.33,37.39814442,435,0,0,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,2,1.5,0.908695143416,False
workload_5390.cpp,xcu200-fsgd2104-2-e,3.33,645.64928442,531,0,0,0,3,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,unroll_2,1,0.75,0.127458141245,False
workload_5456.cpp,xcu200-fsgd2104-2-e,3.33,37.39760496,763,0,0,4,7,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_8_1,unroll_4,unroll_16,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,1,2.75,0.822172212643,False
workload_5539.cpp,xcu200-fsgd2104-2-e,3.33,37.41721866,291,0,0,2,3,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,block_8_1,unroll_2,pipeline_1,unroll_2,unroll_8,unroll_32,unroll_8,unroll_4,pipeline_1,1,1.25,0.944577301174,False
workload_5450.cpp,xcu200-fsgd2104-2-e,3.33,37.41082506,299,0,0,2,3,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,block_8_1,unroll_2,unroll_2,unroll_2,unroll_8,unroll_32,unroll_16,unroll_4,pipeline_1,1,1.25,0.944586098359,False
workload_5419.cpp,xcu200-fsgd2104-2-e,3.33,37.40802786,309,0,0,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_16,unroll_2,unroll_4,unroll_32,unroll_16,unroll_4,pipeline_1,1,1.5,0.908695126629,False
workload_5458.cpp,xcu200-fsgd2104-2-e,3.33,37.40776146,447,0,0,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_32,unroll_16,unroll_4,pipeline_1,1,1.5,0.908695127245,False
workload_5224.cpp,xcu200-fsgd2104-2-e,3.33,366.18177834,944,0,0,1,5,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_32,unroll_8,unroll_4,unroll_2,1,1.5,0.427113257525,False
workload_5343.cpp,xcu200-fsgd2104-2-e,3.33,37.41793794,1290,0,0,3,7,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_4,unroll_16,unroll_32,unroll_8,unroll_4,pipeline_1,1,2.5,0.854347185252,False
workload_5314.cpp,xcu200-fsgd2104-2-e,3.33,37.41876378,871,0,0,3,7,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_4,unroll_4,unroll_32,unroll_8,unroll_4,pipeline_1,1,2.5,0.854346110936,False
workload_5554.cpp,xcu200-fsgd2104-2-e,3.33,37.39731858,231,0,0,2,3,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,cyclic_8_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_64,unroll_4,pipeline_1,1,1.25,0.944604677888,False
workload_5484.cpp,xcu200-fsgd2104-2-e,3.33,37.42078842,238,0,0,2,3,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,cyclic_8_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_8,unroll_4,pipeline_1,1,1.25,0.944572388814,False
workload_5274.cpp,xcu200-fsgd2104-2-e,3.33,37.41839082,774,0,0,3,7,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_32,unroll_8,unroll_4,pipeline_1,1,2.5,0.854346596112,False
workload_5413.cpp,xcu200-fsgd2104-2-e,3.33,37.47473442,1060,0,0,2,5,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_64,unroll_4,unroll_16,unroll_32,unroll_8,unroll_2,pipeline_1,1,1.75,0.873540079609,False
workload_5399.cpp,xcu200-fsgd2104-2-e,3.33,37.51418826,228,0,0,1,3,block_128_1,block_32_1,cyclic_4_1,cyclic_32_1,block_4_1,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_16,unroll_64,unroll_2,pipeline_1,1,1,0.962751717648,False
workload_5247.cpp,xcu200-fsgd2104-2-e,3.33,37.46242674,213,0,0,1,2,block_128_1,block_32_1,cyclic_4_1,cyclic_32_1,block_8_1,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_16,unroll_64,unroll_2,pipeline_1,1,0.75,0.981283032964,False
workload_5338.cpp,xcu200-fsgd2104-2-e,3.33,37.4064561,289,0,0,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_32_1,block_8_1,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_16,unroll_64,unroll_4,pipeline_1,1,1.5,0.908695130132,False
workload_5296.cpp,xcu200-fsgd2104-2-e,3.33,37.47950298,1283,0,0,5,8,block_128_1,block_32_1,cyclic_4_1,cyclic_32_1,block_8_1,unroll_4,unroll_4,unroll_4,unroll_8,unroll_16,unroll_8,unroll_2,pipeline_1,1,3.25,0.756614373489,False
workload_5680.cpp,xcu200-fsgd2104-2-e,3.33,625.02129306,649,0,0,0,3,block_128_1,block_32_1,cyclic_4_1,cyclic_32_1,complete_1,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_4,unroll_4,1,0.75,0.138641090477,False
workload_5382.cpp,xcu200-fsgd2104-2-e,3.33,642.1797441,225,0,0,0,1,block_128_1,block_32_1,cyclic_4_1,cyclic_8_1,block_8_1,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_16,unroll_64,unroll_2,unroll_2,1,0.25,0.129411952322,False
workload_5491.cpp,xcu200-fsgd2104-2-e,3.33,642.1801437,307,0,0,0,2,block_128_1,block_32_1,cyclic_4_1,cyclic_8_1,block_8_1,unroll_2,unroll_4,unroll_2,unroll_16,unroll_16,unroll_64,unroll_2,unroll_2,1,0.5,0.129397057822,False
workload_5520.cpp,xcu200-fsgd2104-2-e,3.33,37.40448474,208,0,0,2,3,block_128_1,block_32_1,cyclic_8_1,cyclic_2_1,block_8_1,unroll_2,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_16,unroll_4,pipeline_1,1,1.25,0.944594820875,False
workload_5490.cpp,xcu200-fsgd2104-2-e,3.33,37.40861394,281,0,0,2,3,block_128_1,block_32_1,cyclic_8_1,cyclic_2_1,block_8_1,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_32,unroll_16,unroll_4,pipeline_1,1,1.25,0.944589140399,False
workload_5449.cpp,xcu200-fsgd2104-2-e,3.33,37.41756498,277,0,0,2,3,block_128_1,block_32_1,cyclic_8_1,cyclic_2_1,block_8_1,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_32,unroll_8,unroll_4,pipeline_1,1,1.25,0.944576824621,False
workload_5532.cpp,xcu200-fsgd2104-2-e,3.33,366.17541138,309,0,0,0,2,block_128_1,block_32_1,cyclic_8_1,cyclic_2_1,block_8_1,unroll_2,unroll_2,unroll_2,unroll_4,unroll_32,unroll_16,unroll_4,unroll_2,1,0.5,0.441826898875,False
workload_5467.cpp,xcu200-fsgd2104-2-e,3.33,37.46807442,141,0,0,1,2,block_128_1,block_32_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,1,0.75,0.981275073336,False
workload_5547.cpp,xcu200-fsgd2104-2-e,3.33,366.16667346,325,0,0,0,2,block_128_1,block_32_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_4,unroll_2,1,0.5,0.441842178257,False
workload_5308.cpp,xcu200-fsgd2104-2-e,3.33,37.41716538,442.5,0,0,2,4,block_128_1,block_32_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_32,unroll_8,unroll_4,pipeline_1,2,1.5,0.908695100017,False
workload_5362.cpp,xcu200-fsgd2104-2-e,3.33,37.41613974,1442,0,0,4,7,block_128_1,block_32_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,unroll_4,unroll_64,unroll_2,unroll_4,unroll_32,unroll_8,unroll_4,pipeline_1,1,2.75,0.822169631998,False
workload_5443.cpp,xcu200-fsgd2104-2-e,3.33,37.4617341,196,0,0,1,2,block_128_1,block_32_1,cyclic_8_1,cyclic_8_1,block_8_1,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_16,unroll_64,unroll_2,pipeline_1,1,0.75,0.981284008913,False
