Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_631.cpp,xczu7ev-ffvc1156-2-e,10,83.35006,515,1,2,10,23,block_32_1,block_128_1,block_64_1,block_32_1,block_8_1,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_4,pipeline_1,1,9,0.906771311659,False
workload_949.cpp,xczu7ev-ffvc1156-2-e,10,80.20134,636,1,2,36,53,block_32_1,block_128_1,block_64_1,block_32_1,complete_2,cyclic_2_1,unroll_2,pipeline_1,unroll_2,unroll_64,pipeline_1,unroll_2,unroll_16,pipeline_1,1,23,0.677669156846,False
workload_685.cpp,xczu7ev-ffvc1156-2-e,10,83.35006,529,1,2,10,23,block_32_1,block_128_1,block_64_1,block_32_1,complete_2,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_4,pipeline_1,1,9,0.906771311659,False
workload_721.cpp,xczu7ev-ffvc1156-2-e,10,83.35358,376,1,2,10,22,block_32_1,block_128_1,block_64_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_4,pipeline_1,1,8.75,0.916344546443,False
workload_596.cpp,xczu7ev-ffvc1156-2-e,10,730.14438,414,2,1,3,14,block_32_1,block_128_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,pipeline_1,unroll_4,unroll_64,unroll_4,pipeline_1,unroll_2,unroll_2,1,5,0.681790739946,False
workload_633.cpp,xczu7ev-ffvc1156-2-e,10,730.10702,685,2,1,4,17,block_32_1,block_128_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,pipeline_1,unroll_4,unroll_64,unroll_4,unroll_16,unroll_4,unroll_2,1,6,0.665872896467,False
workload_681.cpp,xczu7ev-ffvc1156-2-e,10,730.30454,359,2,1,3,12,block_32_1,block_128_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_64,unroll_4,unroll_2,unroll_4,unroll_2,1,4.5,0.673462103107,False
workload_790.cpp,xczu7ev-ffvc1156-2-e,10,79.83454,2681,1,2,37,59,block_32_1,block_128_1,cyclic_64_1,block_32_1,complete_2,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_64,unroll_64,unroll_2,unroll_16,pipeline_1,1,24.75,0.630231424883,False
workload_676.cpp,xczu7ev-ffvc1156-2-e,10,731.56374,255,1,1,4,15,block_32_1,block_128_1,cyclic_64_1,block_32_1,complete_2,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_2,1,5.25,0.677303078209,False
workload_745.cpp,xczu7ev-ffvc1156-2-e,10,85.20294,251,1,2,11,22,block_32_1,block_128_1,cyclic_64_1,cyclic_2_1,complete_2,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_8,unroll_4,pipeline_1,unroll_4,pipeline_1,1,9,0.906738151635,False
workload_338.cpp,xczu7ev-ffvc1156-2-e,10,94.76482,1383,1,2,55,90,block_32_1,block_2_1,block_64_1,block_4_1,block_8_1,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_64,unroll_4,unroll_4,unroll_16,pipeline_1,1,37,0.318771428973,False
workload_273.cpp,xczu7ev-ffvc1156-2-e,10,980.4049,1899,1,1,30,59,block_32_1,block_2_1,block_64_1,block_4_1,block_8_1,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_64,unroll_4,unroll_4,unroll_16,unroll_2,1,22.75,0.285409123562,False
workload_387.cpp,xczu7ev-ffvc1156-2-e,10,93.16054,917,2,2,54,81,block_32_1,block_2_1,cyclic_2_1,block_32_1,block_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_64,unroll_4,unroll_2,unroll_16,pipeline_1,1,34.75,0.365799796661,False
workload_406.cpp,xczu7ev-ffvc1156-2-e,10,876.68734,975,2,1,13,27,block_32_1,block_2_1,cyclic_2_1,block_4_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_32,unroll_4,unroll_64,unroll_4,unroll_2,unroll_2,unroll_2,1,10.75,0.509412068451,False
workload_295.cpp,xczu7ev-ffvc1156-2-e,10,876.63134,1318.5,2,1,20,38.5,block_32_1,block_2_1,cyclic_2_1,block_4_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_32,unroll_4,unroll_64,unroll_4,unroll_2,unroll_4,unroll_2,2,15.375,0.436173302314,False
workload_559.cpp,xczu7ev-ffvc1156-2-e,10,83.4539,302.5,1,2,10,20.5,block_32_1,block_32_1,block_64_1,block_32_1,complete_2,cyclic_2_1,unroll_2,pipeline_1,unroll_2,unroll_64,pipeline_1,unroll_2,unroll_4,pipeline_1,2,8.375,0.930808988586,False
workload_737.cpp,xczu7ev-ffvc1156-2-e,10,80.20398,266,1,2,18,27,block_32_1,block_32_1,block_64_1,block_32_1,complete_2,cyclic_2_1,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,1,12,1,True
workload_837.cpp,xczu7ev-ffvc1156-2-e,10,80.2203,310,1,2,18,30,block_32_1,block_32_1,block_64_1,block_32_1,complete_2,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,1,12.75,0.85510815951,False
