Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_184.cpp,xczu7ev-ffvc1156-2-e,10,86.23166,716,3,2,37,55,block_2_2,block_2_2,block_2_1,block_32_1,block_4_1,cyclic_2_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,1,24.25,0.225856201064,False
workload_228.cpp,xczu7ev-ffvc1156-2-e,10,85.7115,511,3,2,32,48,block_2_2,block_2_2,block_2_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,1,21.25,0.321506773881,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10,86.0655,623,3,2,35,52,block_2_2,block_2_2,block_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,1,23,0.262446579656,False
workload_553.cpp,xczu7ev-ffvc1156-2-e,10,410.61726,770,4,3,3,16,block_2_2,block_2_2,block_2_2,block_32_1,complete_1,cyclic_2_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_64,unroll_64,unroll_2,unroll_4,1,6.5,0.728659243831,False
workload_437.cpp,xczu7ev-ffvc1156-2-e,10,83.00878,620,3,2,19,33,block_2_2,block_2_2,block_2_2,block_32_1,cyclic_8_1,block_2_1,unroll_2,pipeline_1,unroll_4,unroll_32,unroll_4,unroll_64,unroll_4,pipeline_1,1,14.25,0.649124110102,False
workload_753.cpp,xczu7ev-ffvc1156-2-e,10,83.0423,122,2,2,5,11,block_2_2,block_2_2,block_32_1,block_32_1,complete_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,1,5,1,True
workload_793.cpp,xczu7ev-ffvc1156-2-e,10,83.14526,121,2,2,5,11,block_2_2,block_2_2,block_32_1,block_32_1,complete_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_2,unroll_4,unroll_16,unroll_2,pipeline_1,1,5,0.990795057598,False
workload_697.cpp,xczu7ev-ffvc1156-2-e,10,83.0331,128,3,2,5,11,block_2_2,block_2_2,block_32_1,block_32_1,complete_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_16,unroll_2,pipeline_1,1,5.25,0.981759660016,False
workload_604.cpp,xczu7ev-ffvc1156-2-e,10,407.91678,275,4,3,3,11,block_2_2,block_2_2,block_32_1,block_32_1,complete_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_8,unroll_4,unroll_64,unroll_2,unroll_8,1,5.25,0.776475286607,False
workload_762.cpp,xczu7ev-ffvc1156-2-e,10,83.01118,153,3,2,5,13,block_2_2,block_2_2,block_32_1,block_32_1,complete_1,block_2_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_2,pipeline_1,1,5.75,0.963726050434,False
workload_877.cpp,xczu7ev-ffvc1156-2-e,10,407.83582,250,3,3,3,11,block_2_2,block_2_2,block_32_1,block_32_1,complete_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_16,pipeline_1,unroll_16,unroll_2,unroll_8,1,5,0.784977263369,False
workload_364.cpp,xczu7ev-ffvc1156-2-e,10,408.13398,473,4,3,5,14,block_2_2,block_2_2,block_32_1,block_32_1,complete_2,block_2_1,unroll_2,unroll_8,unroll_4,unroll_16,unroll_4,unroll_2,unroll_2,unroll_8,1,6.5,0.729936713487,False
workload_463.cpp,xczu7ev-ffvc1156-2-e,10,83.01248,409,3,2,10,22,block_2_2,block_2_2,block_32_1,block_32_1,complete_2,block_2_1,unroll_4,unroll_16,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_2,pipeline_1,1,9.25,0.81789067653,False
workload_858.cpp,xczu7ev-ffvc1156-2-e,10,83.0303,140,3,2,5,11,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_4_1,block_2_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_16,unroll_2,pipeline_1,1,5.25,0.981761449186,False
workload_891.cpp,xczu7ev-ffvc1156-2-e,10,79.64638,280,3,2,18,27,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_4_1,block_2_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_16,unroll_8,pipeline_1,1,12.5,1,True
workload_940.cpp,xczu7ev-ffvc1156-2-e,10,410.61686,179,4,3,3,10,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_4_1,block_2_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_32,unroll_2,unroll_4,1,5,0.783479908965,False
workload_545.cpp,xczu7ev-ffvc1156-2-e,10,729.82198,134,4,3,2,8,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_4_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_32,unroll_2,unroll_2,1,4.25,0.621369350387,False
workload_568.cpp,xczu7ev-ffvc1156-2-e,10,729.97622,165,4,3,3,8,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_4_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_4,unroll_2,1,4.5,0.614569941791,False
workload_362.cpp,xczu7ev-ffvc1156-2-e,10,730.04578,175,4,3,3,9,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,1,4.75,0.607706811623,False
workload_354.cpp,xczu7ev-ffvc1156-2-e,10,730.18486,169,4,3,3,9,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_2,1,4.75,0.607638401572,False
workload_470.cpp,xczu7ev-ffvc1156-2-e,10,83.11222,192,3,2,10,18,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_4,pipeline_1,1,8.25,0.876180818261,False
workload_400.cpp,xczu7ev-ffvc1156-2-e,10,729.96822,192,4,3,3,10,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_4,unroll_2,1,5,0.600812538243,False
workload_719.cpp,xczu7ev-ffvc1156-2-e,10,729.9223,131,4,3,2,8,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_32,unroll_2,unroll_2,1,4.25,0.621319533397,False
workload_630.cpp,xczu7ev-ffvc1156-2-e,10,83.23726,124,3,2,5,10,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,1,5,0.990735723908,False
workload_522.cpp,xczu7ev-ffvc1156-2-e,10,730.03006,163,4,3,2,9,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_32,pipeline_1,unroll_2,unroll_2,unroll_2,1,4.5,0.614543296488,False
workload_773.cpp,xczu7ev-ffvc1156-2-e,10,83.04254,125,2,2,5,11,block_2_2,block_2_2,block_32_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,1,5,0.990860848142,False
workload_741.cpp,xczu7ev-ffvc1156-2-e,10,83.0331,133,3,2,6,13,block_2_2,block_2_2,block_32_1,cyclic_16_1,complete_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_16,unroll_2,pipeline_1,1,6,0.945870301631,False
workload_854.cpp,xczu7ev-ffvc1156-2-e,10,1256.21566,190,3,1,3,8,block_2_2,block_2_2,block_32_1,cyclic_16_1,cyclic_4_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_4,1,3.75,0.393125833335,False
workload_472.cpp,xczu7ev-ffvc1156-2-e,10,1310.82334,135,3,1,2,7,block_2_2,block_2_2,block_32_1,cyclic_16_1,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_2,1,3.25,0.374188368865,False
