Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,Replicate_Count,Area,Weight,is_pareto
workload_248.cpp,xczu7ev-ffvc1156-2-e,10,22.78376,88,0,1,3,5,block_2_2,complete_1,block_2_1,block_4_1,block_4_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_2,1,2.25,0.986311063312,False
workload_711.cpp,xczu7ev-ffvc1156-2-e,10,22.38376,88,0,0,3,5,block_2_2,complete_1,block_2_1,block_4_1,cyclic_8_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_8,1,2,1,True
workload_222.cpp,xczu7ev-ffvc1156-2-e,10,22.78376,85,0,1,3,5,block_2_2,complete_1,block_2_1,complete_1,block_4_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_2,1,2.25,0.986311063312,False
workload_585.cpp,xczu7ev-ffvc1156-2-e,10,22.38376,87,0,0,3,5,block_2_2,complete_1,block_4_1,block_4_1,complete_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,1,2,1,True
workload_618.cpp,xczu7ev-ffvc1156-2-e,10,22.38376,90,0,0,3,5,block_2_2,complete_1,block_4_1,block_4_1,cyclic_4_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,1,2,1,True
workload_194.cpp,xczu7ev-ffvc1156-2-e,10,22.78376,88,0,1,3,5,block_2_2,complete_1,cyclic_8_1,complete_1,block_4_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_2,1,2.25,0.986311063312,False
workload_286.cpp,xczu7ev-ffvc1156-2-e,10,22.78376,82,0,1,3,5,block_2_2,complete_1,cyclic_8_1,complete_1,block_4_1,unroll_2,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_4,1,2.25,0.986311063312,False
workload_255.cpp,xczu7ev-ffvc1156-2-e,10,316.25376,90,0,2,3,9,block_2_2,complete_1,cyclic_8_1,complete_1,block_4_1,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_2,1,3.5,0.504108407515,False
workload_310.cpp,xczu7ev-ffvc1156-2-e,10,22.38376,91,0,0,3,5,block_2_2,complete_1,cyclic_8_1,cyclic_4_1,block_8_1,unroll_2,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,1,2,1,True
workload_529.cpp,xczu7ev-ffvc1156-2-e,10,22.38376,89.5,0,0,3,5,block_2_2,complete_2,block_2_1,block_4_1,block_8_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline_1,2,2,1,True
