Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_1198.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092712,194,0,0,2,3,unroll_16,unroll_16,unroll_2,1,1.25,0.15871375513,False
workload_1165.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092712,192,0,0,2,3,unroll_16,unroll_2,unroll_2,1,1.25,0.15871375513,False
workload_1313.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092645,210,0,0,2,3,unroll_16,unroll_32,unroll_2,1,1.25,0.158713755195,False
workload_1282.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092712,191,0,0,2,3,unroll_16,unroll_4,unroll_2,1,1.25,0.15871375513,False
workload_1340.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092712,201,0,0,2,3,unroll_16,unroll_8,unroll_2,1,1.25,0.15871375513,False
workload_1174.cpp,xcu200-fsgd2104-2-e,3.33,2041.26059277,63,0,0,0,0,unroll_2,unroll_16,pipeline_1,2,0,0.999999999735,False
workload_1285.cpp,xcu200-fsgd2104-2-e,3.33,35198.1223809,62,0,0,0,1,unroll_2,unroll_16,unroll_2,1,0.25,0.163385022777,False
workload_1237.cpp,xcu200-fsgd2104-2-e,3.33,2041.26059277,59.5,0,0,0,0,unroll_2,unroll_2,pipeline_1,2,0,0.999999999735,False
workload_1170.cpp,xcu200-fsgd2104-2-e,3.33,35198.1223809,63,0,0,0,1,unroll_2,unroll_2,unroll_2,1,0.25,0.163385022777,False
workload_1214.cpp,xcu200-fsgd2104-2-e,3.33,2041.26058611,62.5,0,0,0,0,unroll_2,unroll_32,pipeline_1,2,0,1,True
workload_1251.cpp,xcu200-fsgd2104-2-e,3.33,35198.1223743,67,0,0,0,1,unroll_2,unroll_32,unroll_2,1,0.25,0.163385022847,False
workload_1160.cpp,xcu200-fsgd2104-2-e,3.33,2041.26059277,60.5,0,0,0,0,unroll_2,unroll_4,pipeline_1,2,0,0.999999999735,False
workload_1203.cpp,xcu200-fsgd2104-2-e,3.33,35198.1223809,63,0,0,0,1,unroll_2,unroll_4,unroll_2,1,0.25,0.163385022777,False
workload_1278.cpp,xcu200-fsgd2104-2-e,3.33,2041.26059277,62,0,0,0,0,unroll_2,unroll_8,pipeline_1,2,0,0.999999999735,False
workload_1176.cpp,xcu200-fsgd2104-2-e,3.33,35198.1223809,66,0,0,0,1,unroll_2,unroll_8,unroll_2,1,0.25,0.163385022777,False
workload_1342.cpp,xcu200-fsgd2104-2-e,3.33,32794.8721435,532,0,0,4,6,unroll_32,unroll_16,unroll_2,1,2.5,0.138554711729,False
workload_1344.cpp,xcu200-fsgd2104-2-e,3.33,32794.8721435,526,0,0,4,6,unroll_32,unroll_2,unroll_2,1,2.5,0.138554711729,False
workload_1336.cpp,xcu200-fsgd2104-2-e,3.33,32794.8721368,522,0,0,4,6,unroll_32,unroll_32,unroll_2,1,2.5,0.138554711776,False
