Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,Replicate_Count,Area,Weight,is_pareto
workload_640.cpp,xczu7ev-ffvc1156-2-e,10,477.34444,702,4,3,16,45,block_2_1,block_16_1,block_16_1,block_4_1,cyclic_4_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_4,unroll_2,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_32,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_16,unroll_8,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_2,unroll_4,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,1,17,0.587025949083,False
workload_516.cpp,xczu7ev-ffvc1156-2-e,10,53.11252,2593,6,45,36,88,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_8,unroll_16,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,1,43.75,0.305327655239,False
workload_453.cpp,xczu7ev-ffvc1156-2-e,10,53.07776,2635,6,58,40,95,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,pipeline_1,unroll_8,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,1,49.75,0.236575148327,False
workload_648.cpp,xczu7ev-ffvc1156-2-e,10,480.5173,1066,3,11,31,77,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_2,unroll_8,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_4,unroll_16,pipeline_1,unroll_4,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,1,30.5,0.325871118635,False
workload_494.cpp,xczu7ev-ffvc1156-2-e,10,483.2773,966,3,11,30,74,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_2,unroll_8,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,1,29.5,0.338136598059,False
workload_631.cpp,xczu7ev-ffvc1156-2-e,10,523.5449,2118,3,18,36,88,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_2,unroll_8,unroll_16,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_64,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,1,36.25,0.206857974304,False
workload_546.cpp,xczu7ev-ffvc1156-2-e,10,57.69144,2720,7,38,35,83,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_2,unroll_8,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_8,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,1,40.75,0.343264780211,False
workload_454.cpp,xczu7ev-ffvc1156-2-e,10,55.494,2525,6,45,37,90,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_16,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,1,44.5,0.293570347216,False
workload_403.cpp,xczu7ev-ffvc1156-2-e,10,57.08085,2681,6,45,39,97,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_64,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_16,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,1,46.75,0.259991140124,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10,61.0419,3123,6,39,37,87,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_8,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_2,unroll_8,unroll_2,unroll_2,pipeline_1,1,42.25,0.322091822473,False
