Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_2,InnerLoop_1_2,Replicate_Count,Area,Weight,is_pareto
workload_632.cpp,xczu7ev-ffvc1156-2-e,10,10.63944,310.5,0,0,11,81,block_128_1,block_16_1,pipeline_1,unroll_64,2,23,0.40231173757,False
workload_875.cpp,xczu7ev-ffvc1156-2-e,10,10.63944,299,0,0,11,81,block_128_1,block_32_1,pipeline_1,unroll_64,1,23,0.40231173757,False
workload_836.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,322,1,0,5,83,block_128_1,block_4_1,pipeline_1,unroll_64,1,22.25,0.43094425663,False
workload_872.cpp,xczu7ev-ffvc1156-2-e,10,44.9487,121,0,0,10,60,block_128_1,cyclic_2_1,unroll_2,unroll_64,1,17.5,0.38764406251,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10,10.63944,325,5,0,11,74,block_16_1,block_16_1,pipeline_1,unroll_64,1,22.5,0.421254955214,False
workload_34.cpp,xczu7ev-ffvc1156-2-e,10,94.38366,957,10,0,10,80,block_16_1,block_16_1,unroll_64,unroll_4,1,25,0.128577819782,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10,94.38366,635,8,0,9,70,block_16_1,block_8_1,unroll_64,unroll_4,1,21.75,0.148990685821,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10,47.93874,55,8,0,0,5,block_16_1,cyclic_16_1,unroll_2,unroll_16,3,3.25,0.676481271655,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10,70.87634,47,8,0,0,3,block_16_1,cyclic_16_1,unroll_2,unroll_8,1,2.75,0.474722765849,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10,44.9871,108,8,0,1,23,block_16_1,cyclic_16_1,unroll_4,unroll_64,1,8,0.548115397676,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10,44.98962,77,7,0,1,14,block_16_1,cyclic_8_1,unroll_2,unroll_64,1,5.5,0.638090601004,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10,53.83698,48,7,0,0,3,block_16_1,cyclic_8_1,unroll_2,unroll_8,1,2.5,0.630692989029,False
workload_218.cpp,xczu7ev-ffvc1156-2-e,10,10.6292,324,1,0,12,75,block_2_1,block_128_1,pipeline_1,unroll_32,1,22,0.440772547335,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,398,2,0,9,81,block_2_1,block_4_1,pipeline_1,unroll_16,5,23,0.40231266464,False
workload_144.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,348,2,0,7,77,block_2_1,block_4_1,pipeline_1,unroll_64,3,21.5,0.460868649122,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10,42.03026,52,2,0,0,4,block_2_1,block_4_1,unroll_2,unroll_16,1,1.5,0.761386184386,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,442,3,0,12,87,block_2_1,cyclic_8_1,pipeline_1,unroll_8,1,25.5,0.316228786028,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10,34.49362,57,2,0,0,6,block_2_1,cyclic_8_1,unroll_2,unroll_32,1,2,0.833072322488,False
workload_905.cpp,xczu7ev-ffvc1156-2-e,10,10.63944,289,10,0,11,75,block_32_1,block_16_1,pipeline_1,unroll_64,1,24,0.366151723008,False
workload_909.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,359,11,0,4,79,block_32_1,block_2_1,pipeline_1,unroll_64,1,23.5,0.383945727791,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,10,94.13742,171,21,0,2,31,block_32_1,block_32_1,unroll_16,unroll_4,1,13.5,0.193027430568,False
workload_900.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,340,12,0,4,79,block_32_1,block_4_1,pipeline_1,unroll_32,1,23.75,0.374977619734,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,465,12,0,13,99,block_32_1,block_4_1,pipeline_1,unroll_4,1,31,0.177495978416,False
workload_874.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,356,12,0,3,78,block_32_1,block_4_1,pipeline_1,unroll_64,1,23.25,0.393057707086,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10,89.2227,57,12,0,0,9,block_32_1,block_4_1,unroll_8,unroll_2,1,5.25,0.321477755886,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10,49.23922,94,1,0,2,15,block_4_1,block_128_1,unroll_2,unroll_16,1,4.5,0.635793779308,False
workload_341.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,429,2,0,15,99,block_4_1,block_2_1,pipeline_1,unroll_4,1,29,0.219885214841,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,343,2,0,5,77,block_4_1,block_2_1,pipeline_1,unroll_64,13,21,0.481537697415,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10,51.2011,119,2,0,3,28,block_4_1,block_2_1,unroll_16,unroll_16,1,8.25,0.506908078975,False
workload_287.cpp,xczu7ev-ffvc1156-2-e,10,44.32402,75,2,0,1,12,block_4_1,block_2_1,unroll_2,unroll_64,2,3.75,0.697568104438,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,409.5,3,0,7,79.5,block_4_1,block_4_1,pipeline_1,unroll_16,2,22.375,0.42608164549,False
workload_322.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,362,3,0,6,77,block_4_1,block_4_1,pipeline_1,unroll_32,1,21.5,0.460868649122,False
workload_156.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,346,3,0,5,75,block_4_1,block_4_1,pipeline_1,unroll_64,7,20.75,0.492000906919,False
workload_565.cpp,xczu7ev-ffvc1156-2-e,10,39.40882,70,3,0,2,12,block_4_1,block_4_1,unroll_2,unroll_64,1,4.25,0.7213100256,False
workload_363.cpp,xczu7ev-ffvc1156-2-e,10,10.6292,294,1,0,11,74,block_4_1,cyclic_64_1,pipeline_1,unroll_64,1,21.5,0.460866570815,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10,10.64966,486,3,0,11,87,block_4_1,cyclic_8_1,pipeline_1,unroll_8,1,25.25,0.324189701576,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10,43.34098,50,3,0,0,2,block_4_1,cyclic_8_1,unroll_2,unroll_8,1,1.25,0.747645021951,False
workload_506.cpp,xczu7ev-ffvc1156-2-e,10,10.63944,317,0,0,12,77,block_64_1,block_128_1,pipeline_1,unroll_64,1,22.25,0.430942355573,False
workload_775.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,350,1,0,4,79,block_64_1,block_4_1,pipeline_1,unroll_64,1,21,0.481538010391,False
workload_819.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,336,3,0,4,78,block_64_1,block_8_1,pipeline_1,unroll_64,1,21.25,0.471132110332,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10,52.85394,64,8,0,1,10,block_8_1,block_16_1,unroll_2,unroll_32,1,4.75,0.599653493903,False
workload_637.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,362,3,0,5,78,block_8_1,block_2_1,pipeline_1,unroll_64,1,21.5,0.460869507437,False
workload_820.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,308,4,0,4,75,block_8_1,block_4_1,pipeline_1,unroll_64,1,20.75,0.491958094256,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10,52.85394,55,5,0,1,8,block_8_1,block_8_1,unroll_2,unroll_32,1,3.5,0.626063475757,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10,69.56562,51,5,0,0,3,block_8_1,block_8_1,unroll_2,unroll_8,1,2,0.489332880034,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10,47.93622,53,5,0,0,7,block_8_1,cyclic_16_1,unroll_4,unroll_16,1,3,0.681242302869,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10,43.51254,103,5,0,1,24,block_8_1,cyclic_16_1,unroll_4,unroll_64,1,7.5,0.574263336544,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10,53.83698,43,3,0,0,2,block_8_1,cyclic_2_1,unroll_2,unroll_8,1,1.25,0.637036759853,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10,47.93622,59,4,0,0,7,block_8_1,cyclic_8_1,unroll_4,unroll_16,1,2.75,0.685470367303,False
workload_145.cpp,xczu7ev-ffvc1156-2-e,10,47.93502,75,4,0,1,15,block_8_1,cyclic_8_1,unroll_8,unroll_16,1,5,0.632306884481,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10,160.00278,191,3,0,2,10,cyclic_128_1,block_16_1,unroll_4,unroll_2,1,3.75,0.1,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10,104.29718,135,3,0,2,11,cyclic_128_1,block_16_1,unroll_4,unroll_4,1,4,0.243616419601,False
workload_763.cpp,xczu7ev-ffvc1156-2-e,10,10.6599,414,1,0,9,82,cyclic_128_1,block_2_1,pipeline_1,unroll_16,1,23,0.40231355413,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10,54.32478,345,10,0,6,51,cyclic_128_1,block_32_1,unroll_8,unroll_16,1,16.75,0.349316533092,False
workload_246.cpp,xczu7ev-ffvc1156-2-e,10,53.83698,87,0,0,3,20,cyclic_128_1,block_64_1,unroll_2,unroll_16,1,5.75,0.566266321603,False
workload_884.cpp,xczu7ev-ffvc1156-2-e,10,10.74173,88,0,0,3,15,cyclic_128_1,cyclic_128_1,pipeline_1,pipeline_1,1,4.5,1,True
workload_103.cpp,xczu7ev-ffvc1156-2-e,10,36.92058,67,3,0,15,11,cyclic_128_1,cyclic_16_1,unroll_2,pipeline_1,1,7.25,0.623726761872,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10,48.92178,66,3,0,2,10,cyclic_128_1,cyclic_16_1,unroll_2,unroll_16,1,3.75,0.656836002595,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10,36.92058,66,0,0,15,10,cyclic_128_1,cyclic_2_1,unroll_2,pipeline_1,1,6.25,0.657074855026,False
workload_722.cpp,xczu7ev-ffvc1156-2-e,10,36.92058,61,1,0,15,10,cyclic_128_1,cyclic_4_1,unroll_2,pipeline_1,2,6.5,0.646512510566,False
workload_546.cpp,xczu7ev-ffvc1156-2-e,10,36.91034,60,0,0,16,13,cyclic_128_1,cyclic_64_1,unroll_2,pipeline_1,1,7.25,0.623805379775,False
workload_643.cpp,xczu7ev-ffvc1156-2-e,10,36.92058,64,1,0,15,11,cyclic_128_1,cyclic_8_1,unroll_2,pipeline_1,1,6.75,0.63813368203,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10,10.63944,317,5,0,11,70,cyclic_16_1,block_128_1,pipeline_1,unroll_64,1,21.5,0.460867671524,False
workload_786.cpp,xczu7ev-ffvc1156-2-e,10,11.11001,67,10,0,0,6,cyclic_16_1,block_16_1,pipeline_1,pipeline_1,1,4,0.912139395015,False
workload_231.cpp,xczu7ev-ffvc1156-2-e,10,10.63944,295.5,5,0,11,70,cyclic_16_1,block_16_1,pipeline_1,unroll_64,4,21.5,0.460867671524,False
workload_611.cpp,xczu7ev-ffvc1156-2-e,10,13.32992,70,6,0,0,6,cyclic_16_1,block_2_1,pipeline_1,pipeline_1,1,3,0.944048175799,False
