Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Replicate_Count,Area,Weight,is_pareto
workload_308.cpp,xczu7ev-ffvc1156-2-e,10,32.60159,158,26,0,1,16,block_128_1,block_2_1,cyclic_64_1,cyclic_4_1,unroll_2,unroll_16,pipeline_1,pipeline_1,1,10.75,0.788692798684,False
workload_355.cpp,xczu7ev-ffvc1156-2-e,10,31.88861,684,53,0,2,98,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,unroll_16,unroll_64,unroll_16,pipeline_1,1,38.25,0.164962357749,False
workload_584.cpp,xczu7ev-ffvc1156-2-e,10,34.84373,108,29,0,0,8,block_128_1,block_4_1,cyclic_8_1,cyclic_4_1,unroll_2,unroll_64,pipeline_1,unroll_2,1,9.25,0.756523966623,False
workload_701.cpp,xczu7ev-ffvc1156-2-e,10,31.79885,559,47,0,2,86,block_128_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,unroll_16,unroll_64,unroll_16,unroll_8,1,33.75,0.231108344928,False
workload_644.cpp,xczu7ev-ffvc1156-2-e,10,31.85021,562,46,0,2,87,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,unroll_16,unroll_64,unroll_16,pipeline_1,1,33.75,0.231097376785,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10,52.36437,1437,25,0,4,55,block_16_1,block_128_1,cyclic_128_1,cyclic_128_1,unroll_2,unroll_64,unroll_16,unroll_2,1,21,0.148599141391,False
workload_783.cpp,xczu7ev-ffvc1156-2-e,10,32.10966,429,10,0,3,26,block_16_1,block_2_1,cyclic_128_1,block_64_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,9.75,0.834208295654,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10,31.9968,683,21,0,5,60,block_16_1,block_32_1,block_2_1,block_16_1,unroll_8,unroll_64,unroll_16,pipeline_1,1,21.5,0.52723508207,False
workload_296.cpp,xczu7ev-ffvc1156-2-e,10,32.09922,84,11,0,1,10,block_16_1,block_32_1,block_2_1,block_2_1,unroll_4,unroll_64,unroll_4,pipeline_1,1,5.5,0.931846829878,False
workload_326.cpp,xczu7ev-ffvc1156-2-e,10,32.0888,452,11,0,3,47,block_16_1,block_32_1,block_2_1,block_2_1,unroll_8,unroll_64,unroll_16,unroll_8,1,15.25,0.736101694634,False
workload_237.cpp,xczu7ev-ffvc1156-2-e,10,32.64249,1664,23,0,7,97,block_16_1,block_32_1,block_32_1,cyclic_8_1,unroll_8,unroll_32,unroll_16,unroll_8,1,31.75,0.267099948789,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10,31.96592,1440,28,0,5,89,block_16_1,block_32_1,block_32_1,cyclic_8_1,unroll_8,unroll_64,unroll_16,unroll_8,1,30.5,0.293090925678,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10,34.01918,720,13,0,11,80,block_16_1,block_32_1,block_4_1,block_4_1,unroll_16,unroll_4,unroll_16,unroll_4,1,26,0.390340624011,False
workload_272.cpp,xczu7ev-ffvc1156-2-e,10,32.56263,324,13,0,3,44,block_16_1,block_32_1,cyclic_2_1,cyclic_16_1,unroll_2,unroll_4,unroll_64,unroll_8,1,15,0.728947326138,False
workload_310.cpp,xczu7ev-ffvc1156-2-e,10,31.90192,336,18,0,1,40,block_16_1,block_32_1,cyclic_2_1,cyclic_16_1,unroll_8,unroll_64,unroll_16,unroll_8,1,14.75,0.750043054014,False
workload_238.cpp,xczu7ev-ffvc1156-2-e,10,32.04806,70,15,0,0,5,block_16_1,block_32_1,cyclic_8_1,cyclic_16_1,unroll_2,unroll_64,pipeline_1,unroll_8,1,5,0.94840972131,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10,31.87376,334,20,0,1,39,block_16_1,block_32_1,cyclic_8_1,cyclic_16_1,unroll_8,unroll_64,unroll_16,unroll_8,1,15,0.747410480588,False
workload_333.cpp,xczu7ev-ffvc1156-2-e,10,32.048,110,19,0,1,12,block_16_1,block_64_1,cyclic_4_1,cyclic_16_1,unroll_8,unroll_64,pipeline_1,unroll_8,1,8,0.875664976421,False
workload_263.cpp,xczu7ev-ffvc1156-2-e,10,32.59611,87,16,0,2,11,block_16_1,cyclic_2_1,block_4_1,cyclic_16_1,unroll_4,unroll_8,pipeline_1,unroll_16,1,7.25,0.873977996778,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10,35.20263,101,37,0,1,18,block_2_1,block_128_1,block_32_1,cyclic_4_1,unroll_2,unroll_4,unroll_4,unroll_4,1,14,0.66587943639,False
workload_144.cpp,xczu7ev-ffvc1156-2-e,10,39.18599,67,28,0,0,8,block_2_1,block_128_1,block_4_1,cyclic_4_1,unroll_2,unroll_4,unroll_2,unroll_4,1,9,0.578143907447,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10,37.86129,120,27,0,1,20,block_2_1,block_128_1,block_4_1,cyclic_4_1,unroll_8,unroll_4,unroll_2,pipeline_1,1,12,0.59645119506,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10,39.18209,125,28,0,1,20,block_2_1,block_128_1,block_4_1,cyclic_4_1,unroll_8,unroll_4,unroll_2,unroll_4,1,12.25,0.54533520448,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10,39.18209,130,28,0,1,20,block_2_1,block_128_1,block_4_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll_4,1,12.25,0.54533520448,False
workload_204.cpp,xczu7ev-ffvc1156-2-e,10,32.26355,61,26,0,0,6,block_2_1,block_128_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1,8,0.870844262795,False
workload_288.cpp,xczu7ev-ffvc1156-2-e,10,32.46803,70,26,0,0,10,block_2_1,block_128_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_4,pipeline_1,1,9,0.849079039015,False
workload_265.cpp,xczu7ev-ffvc1156-2-e,10,31.7719,89,26,0,0,6,block_2_1,block_128_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,8,0.879470406557,False
workload_251.cpp,xczu7ev-ffvc1156-2-e,10,32.26349,84,26,0,0,13,block_2_1,block_128_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,pipeline_1,pipeline_1,1,9.75,0.831317224769,False
workload_325.cpp,xczu7ev-ffvc1156-2-e,10,31.94578,102,28,0,0,9,block_2_1,block_128_1,cyclic_8_1,block_2_1,unroll_4,unroll_64,pipeline_1,pipeline_1,1,9.25,0.855697815306,False
workload_193.cpp,xczu7ev-ffvc1156-2-e,10,34.52285,602,11,0,7,63,block_2_1,block_16_1,block_2_1,block_2_1,unroll_8,unroll_2,unroll_32,unroll_4,1,20.25,0.540425824495,False
workload_634.cpp,xczu7ev-ffvc1156-2-e,10,31.77152,108,11,0,1,17,block_2_1,block_16_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_64,unroll_8,pipeline_1,1,7.25,0.890206245792,False
workload_614.cpp,xczu7ev-ffvc1156-2-e,10,31.93542,60,12,0,0,3,block_2_1,block_16_1,cyclic_4_1,cyclic_4_1,unroll_2,unroll_64,pipeline_1,unroll_2,1,3.75,0.979240663484,False
workload_746.cpp,xczu7ev-ffvc1156-2-e,10,31.77472,1083,10,0,10,49,block_2_1,block_2_1,block_128_1,cyclic_4_1,unroll_8,unroll_64,unroll_8,pipeline_1,1,17.25,0.670060697495,False
workload_329.cpp,xczu7ev-ffvc1156-2-e,10,33.68661,78,21,0,1,8,block_2_1,block_2_1,block_32_1,cyclic_4_1,unroll_2,unroll_64,unroll_4,unroll_8,1,7.5,0.828415380583,False
workload_447.cpp,xczu7ev-ffvc1156-2-e,10,31.93552,70,13,0,0,5,block_2_1,block_2_1,block_4_1,cyclic_16_1,unroll_8,unroll_64,pipeline_1,pipeline_1,1,4.5,0.965608865792,False
workload_773.cpp,xczu7ev-ffvc1156-2-e,10,32.43751,75,10,0,2,10,block_2_1,block_2_1,cyclic_128_1,block_2_1,unroll_2,unroll_4,pipeline_1,pipeline_1,1,5.5,0.92064830976,False
workload_367.cpp,xczu7ev-ffvc1156-2-e,10,32.43755,108,10,0,2,16,block_2_1,block_2_1,cyclic_128_1,block_2_1,unroll_4,unroll_8,pipeline_1,pipeline_1,1,7,0.886925541152,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10,32.43747,79,20,0,2,11,block_2_1,block_2_1,cyclic_128_1,block_32_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1,8.25,0.863667650286,False
workload_710.cpp,xczu7ev-ffvc1156-2-e,10,31.94573,848,9,0,3,57,block_2_1,block_2_1,cyclic_128_1,block_64_1,unroll_16,unroll_64,pipeline_1,pipeline_1,1,17.25,0.669424554037,False
workload_451.cpp,xczu7ev-ffvc1156-2-e,10,31.94582,169.5,9,0,3,13,block_2_1,block_2_1,cyclic_128_1,block_64_1,unroll_2,unroll_64,pipeline_1,pipeline_1,2,6.25,0.924225211046,False
