Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_22.cpp,xczu7ev-ffvc1156-2-e,10,2.09113,119.5,1,1,10,12,pipeline_1,pipeline_1,4,6,1,True
workload_37.cpp,xczu7ev-ffvc1156-2-e,10,2.09113,120.5,1,1,10,12,pipeline_1,unroll_16,2,6,1,True
workload_17.cpp,xczu7ev-ffvc1156-2-e,10,2.09113,121.5,1,1,10,12,pipeline_1,unroll_2,2,6,1,True
workload_18.cpp,xczu7ev-ffvc1156-2-e,10,2.09113,124.5,1,1,10,12,pipeline_1,unroll_32,2,6,1,True
workload_15.cpp,xczu7ev-ffvc1156-2-e,10,2.09113,124.5,1,1,10,12,pipeline_1,unroll_4,2,6,1,True
workload_38.cpp,xczu7ev-ffvc1156-2-e,10,2.09113,122,1,1,10,12,pipeline_1,unroll_64,2,6,1,True
workload_12.cpp,xczu7ev-ffvc1156-2-e,10,2.09113,121,1,1,10,12,pipeline_1,unroll_8,2,6,1,True
workload_29.cpp,xczu7ev-ffvc1156-2-e,10,4.70081,85.5,1,1,4.5,14.5,unroll_16,pipeline_1,2,5.25,1,True
workload_21.cpp,xczu7ev-ffvc1156-2-e,10,12.84161,329,1,1,14,26,unroll_16,unroll_16,1,10.5,0.395246828096,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10,27.05473,84,1,1,4,9,unroll_16,unroll_2,1,3.75,0.310959167549,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10,10.81409,597,1,1,25,43,unroll_16,unroll_32,1,17.5,0.275368947313,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10,18.86273,100,1,1,6,12,unroll_16,unroll_4,1,5,0.335165441029,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10,9.80033,1682,1,1,47,76,unroll_16,unroll_64,1,31.25,0.1,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10,14.76673,128,1,1,9,17,unroll_16,unroll_8,1,7,0.375494348741,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10,4.70529,48.5,1,1,1,3,unroll_2,pipeline_1,2,1.5,1,True
workload_10.cpp,xczu7ev-ffvc1156-2-e,10,12.84609,56,1,1,2,5,unroll_2,unroll_16,1,2.25,0.488121055732,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10,27.05921,50,1,1,1,2,unroll_2,unroll_2,1,1.25,1,True
workload_42.cpp,xczu7ev-ffvc1156-2-e,10,10.81857,64,1,1,3,8,unroll_2,unroll_32,1,3.25,0.591374938984,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10,18.86721,51,1,1,1,3,unroll_2,unroll_4,1,1.5,0.352276256117,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10,9.80481,98,1,1,6,12,unroll_2,unroll_64,1,5,0.632045859973,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10,14.77121,55,1,1,1,4,unroll_2,unroll_8,1,1.75,0.398780431093,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10,4.70049,451.5,1,1,9,26.5,unroll_32,pipeline_1,2,9.375,0.661390300293,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10,12.84129,1445,1,1,28,48,unroll_32,unroll_16,1,19.5,0.203070509874,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10,27.05441,188,1,1,9,16,unroll_32,unroll_2,1,6.75,0.26206134752,False
workload_34.cpp,xczu7ev-ffvc1156-2-e,10,18.86241,239,1,1,11,21,unroll_32,unroll_4,1,8.5,0.293387973174,False
workload_36.cpp,xczu7ev-ffvc1156-2-e,10,14.76641,333,1,1,17,30,unroll_32,unroll_8,1,12.25,0.300358919202,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10,4.70273,52.5,1,1,1,5,unroll_4,pipeline_1,2,2,1,True
workload_43.cpp,xczu7ev-ffvc1156-2-e,10,12.84353,67,1,1,4,8,unroll_4,unroll_16,1,3.5,0.484429855169,False
workload_0.cpp,xczu7ev-ffvc1156-2-e,10,27.05665,55,1,1,1,4,unroll_4,unroll_2,1,1.75,0.344081613249,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10,10.81601,90,1,1,6,13,unroll_4,unroll_32,1,5.25,0.575499326831,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10,18.86465,54,1,1,2,4,unroll_4,unroll_4,1,2,0.351730739764,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10,9.80225,192,1,1,12,22,unroll_4,unroll_64,1,9,0.546696411,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10,14.76865,59,1,1,2,6,unroll_4,unroll_8,1,2.5,0.397993036805,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10,27.05425,686,1,1,17,31,unroll_64,unroll_2,1,12.5,0.178105096292,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10,18.86225,861,1,1,22,39,unroll_64,unroll_4,1,15.75,0.183296829696,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10,14.76625,1441,1,1,33,57,unroll_64,unroll_8,1,23,0.133063783582,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10,4.70145,62.5,1,1,2,8,unroll_8,pipeline_1,2,3,1,True
workload_2.cpp,xczu7ev-ffvc1156-2-e,10,12.84225,115,1,1,7,14,unroll_8,unroll_16,1,5.75,0.470563414118,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10,27.05537,59,1,1,2,6,unroll_8,unroll_2,1,2.5,0.331666823563,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10,10.81473,195,1,1,13,24,unroll_8,unroll_32,1,9.75,0.486880577415,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10,18.86337,65,1,1,3,7,unroll_8,unroll_4,1,3,0.348664716806,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10,9.80097,485,1,1,24,41,unroll_8,unroll_64,1,16.75,0.310710600137,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10,14.76737,77,1,1,4,9,unroll_8,unroll_8,1,3.75,0.394778175731,False
