Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_121.cpp,xczu7ev-ffvc1156-2-e,10,15.05588,96,24,0,5,17,block_128_1,block_128_1,block_2_1,cyclic_64_1,block_16_1,block_64_1,block_4_1,cyclic_2_1,block_32_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,11.5,0.869678684452,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10,15.06612,91,26,0,4,16,block_128_1,block_64_1,block_16_1,cyclic_32_1,block_16_1,block_64_1,block_4_1,cyclic_2_1,block_32_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,11.5,0.869651669034,False
workload_307.cpp,xczu7ev-ffvc1156-2-e,10,15.04116,113,25,1,5,29,block_128_1,block_8_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,block_2_1,cyclic_32_1,block_32_1,complete_1,unroll_16,pipeline_1,unroll_64,pipeline_1,1,15,0.781251082493,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10,15.06612,102,26,0,4,17,block_128_1,cyclic_128_1,block_16_1,cyclic_32_1,block_16_1,block_64_1,block_4_1,cyclic_2_1,block_32_1,complete_1,unroll_2,pipeline_1,unroll_16,pipeline_1,1,11.75,0.863217665532,False
workload_611.cpp,xczu7ev-ffvc1156-2-e,10,15.0592,255,22,0,14,40,block_128_1,cyclic_128_1,block_64_1,block_2_1,block_32_1,cyclic_128_1,block_128_1,block_128_1,cyclic_16_1,complete_1,unroll_8,pipeline_1,unroll_8,pipeline_1,1,19,0.685946569295,False
workload_837.cpp,xczu7ev-ffvc1156-2-e,10,15.008,144,23,1,10,31,block_128_1,cyclic_128_1,cyclic_4_1,block_2_1,block_32_1,cyclic_2_1,block_128_1,cyclic_64_1,cyclic_16_1,complete_1,unroll_8,pipeline_1,unroll_8,pipeline_1,1,16.25,0.750789888684,False
workload_690.cpp,xczu7ev-ffvc1156-2-e,10,23.99832,282,24,1,5,29,block_128_1,cyclic_4_1,block_64_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,block_4_1,cyclic_2_1,block_8_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_8,1,14.75,0.752068737194,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10,45.52992,159,27,7,11,28,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_4,unroll_2,1,18.25,0.545094673813,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10,24.02592,498,27,29,32,74,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_64,unroll_8,1,40.5,0.423413215128,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10,45.56072,200,26,7,16,39,block_16_1,block_16_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,cyclic_64_1,cyclic_2_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_16,unroll_2,1,22,0.496281468245,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10,24.00656,243,28,15,26,57,block_16_1,block_2_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,block_8_1,block_8_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_64,unroll_8,1,31.5,0.427292955767,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10,45.5404,153,25,3,12,31,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_2_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_64,unroll_2,1,17.75,0.551059852343,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10,45.54104,144,27,3,14,32,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_8_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,1,19,0.535717986997,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10,45.5404,119,23,3,10,23,block_16_1,block_2_1,cyclic_4_1,cyclic_32_1,block_64_1,cyclic_128_1,block_2_1,cyclic_2_1,block_64_1,complete_1,unroll_32,unroll_4,unroll_64,unroll_2,1,14.75,0.583933711212,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10,45.50512,511,26,7,17,53,block_16_1,cyclic_64_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_64,unroll_4,unroll_2,1,25.75,0.444920773826,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10,43.46149,149,18,0,11,23,block_2_1,block_128_1,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,block_2_1,block_32_1,cyclic_2_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,1,13,0.618270233749,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10,43.40569,86,19,0,9,18,block_2_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_64_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll_2,1,11.5,0.630565458164,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10,13.01044,119,26,0,11,25,block_2_1,block_32_1,block_16_1,block_2_1,cyclic_128_1,block_8_1,cyclic_2_1,block_64_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_4,pipeline_1,1,15.5,0.770469060391,False
workload_256.cpp,xczu7ev-ffvc1156-2-e,10,13.01108,121,23,0,13,23,block_2_1,cyclic_128_1,block_16_1,block_2_1,cyclic_2_1,block_8_1,block_8_1,block_64_1,block_64_1,complete_1,unroll_32,pipeline_1,unroll_32,pipeline_1,1,14.75,0.789085944695,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10,43.40764,124,23,0,10,29,block_2_1,cyclic_128_1,cyclic_32_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_64_1,cyclic_16_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_2,1,15.5,0.593700290768,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10,43.4162,87,22,0,6,14,block_2_1,cyclic_4_1,block_16_1,block_2_1,cyclic_4_1,block_8_1,cyclic_2_1,block_64_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_4,unroll_2,1,10.5,0.636722824047,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10,43.46861,368,18,0,11,42,block_2_1,cyclic_4_1,block_2_1,block_128_1,block_32_1,cyclic_4_1,block_2_1,block_32_1,cyclic_16_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,1,17.75,0.566319261059,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10,43.47173,179,19,0,14,33,block_2_1,cyclic_4_1,block_2_1,block_128_1,block_32_1,cyclic_4_1,block_2_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,1,16.5,0.581656155141,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10,21.98944,655,19,0,35,65,block_2_1,cyclic_4_1,block_2_1,block_128_1,cyclic_128_1,cyclic_128_1,block_4_1,block_32_1,block_64_1,complete_1,unroll_64,unroll_4,unroll_32,unroll_8,1,29.75,0.458324340101,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10,43.45325,183,19,0,11,36,block_2_1,cyclic_4_1,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,block_2_1,block_32_1,cyclic_16_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,1,16.5,0.581799981503,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10,43.46661,175,19,0,14,32,block_2_1,cyclic_4_1,block_4_1,block_128_1,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,1,16.25,0.584646259964,False
workload_207.cpp,xczu7ev-ffvc1156-2-e,10,13.01044,113,22,0,10,23,block_2_1,cyclic_8_1,block_16_1,block_2_1,block_64_1,block_8_1,cyclic_2_1,block_64_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_4,pipeline_1,1,13.75,0.81430465411,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10,15.125,243,32,0,9,38,block_32_1,block_32_1,cyclic_16_1,cyclic_4_1,cyclic_128_1,block_128_1,block_2_1,cyclic_8_1,block_4_1,complete_1,unroll_4,unroll_32,unroll_32,pipeline_1,1,19.75,0.668791094948,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10,15.12484,672,32,0,11,57,block_32_1,block_32_1,cyclic_16_1,cyclic_4_1,cyclic_128_1,block_128_1,block_2_1,cyclic_8_1,block_4_1,complete_1,unroll_4,unroll_64,unroll_32,pipeline_1,1,25,0.556078250493,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10,15.09428,101,26,0,7,25,block_32_1,cyclic_4_1,block_4_1,cyclic_4_1,cyclic_2_1,block_128_1,block_2_1,cyclic_8_1,block_4_1,complete_1,unroll_4,unroll_32,unroll_32,pipeline_1,1,14.5,0.793545249081,False
workload_457.cpp,xczu7ev-ffvc1156-2-e,10,64.93016,97,25,2,4,21,block_64_1,cyclic_16_1,cyclic_4_1,block_16_1,cyclic_2_1,cyclic_2_1,cyclic_32_1,block_16_1,cyclic_16_1,complete_1,unroll_16,unroll_2,unroll_4,unroll_2,1,13,0.437771482541,False
workload_858.cpp,xczu7ev-ffvc1156-2-e,10,8.59349,511,23,81,42,84,cyclic_128_1,block_128_1,block_2_1,block_16_1,cyclic_4_1,block_64_1,cyclic_2_1,block_128_1,cyclic_16_1,complete_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,57.5,0.399832874275,False
workload_829.cpp,xczu7ev-ffvc1156-2-e,10,8.56277,513,23,81,41,83,cyclic_128_1,block_128_1,block_2_1,block_16_1,cyclic_4_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_16_1,complete_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,57,0.408126721195,False
