Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_404.cpp,xczu7ev-ffvc1156-2-e,10,11.04488,247,22,0,9,25,block_128_1,cyclic_128_1,cyclic_2_1,cyclic_4_1,block_32_1,block_16_1,cyclic_64_1,cyclic_128_1,block_8_1,complete_1,unroll_2,unroll_8,unroll_4,pipeline_1,1,14,0.820359465783,False
workload_651.cpp,xczu7ev-ffvc1156-2-e,10,10.91929,178,23,2,10,47,block_128_1,cyclic_4_1,block_2_1,block_2_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_2_1,block_64_1,complete_1,unroll_32,pipeline_1,unroll_2,pipeline_1,1,20.5,0.655463322277,False
workload_795.cpp,xczu7ev-ffvc1156-2-e,10,10.93116,151,25,0,3,15,block_128_1,cyclic_4_1,block_2_1,block_2_1,cyclic_4_1,block_128_1,block_8_1,cyclic_2_1,cyclic_8_1,complete_1,unroll_2,pipeline_1,unroll_4,pipeline_1,1,10.75,0.894315148056,False
workload_606.cpp,xczu7ev-ffvc1156-2-e,10,11.02812,192,22,0,8,19,block_128_1,cyclic_64_1,block_2_1,cyclic_2_1,cyclic_4_1,block_128_1,cyclic_2_1,cyclic_128_1,cyclic_8_1,complete_1,unroll_2,unroll_2,unroll_16,pipeline_1,1,12.25,0.864314286832,False
workload_809.cpp,xczu7ev-ffvc1156-2-e,10,11.03832,110,22,0,3,15,block_128_1,cyclic_64_1,cyclic_4_1,cyclic_32_1,cyclic_8_1,block_16_1,block_2_1,block_32_1,block_8_1,complete_1,unroll_2,unroll_2,unroll_4,pipeline_1,1,10,0.903463187403,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10,45.52992,217,26,7,11,28,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_4,unroll_2,1,18,0.518439451769,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10,45.54104,249,26,3,14,32,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_8_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,1,18.75,0.50982508177,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10,24.0018,225,25,7,11,30,block_16_1,block_64_1,block_16_1,block_128_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,cyclic_2_1,complete_1,unroll_16,pipeline_1,unroll_32,unroll_8,1,18.25,0.660755235571,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10,11.02192,219,26,2,15,43,block_16_1,block_64_1,cyclic_128_1,cyclic_32_1,block_2_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,complete_1,unroll_32,unroll_4,unroll_8,pipeline_1,1,21.5,0.631477305774,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10,45.54104,161,29,3,12,24,block_16_1,block_8_1,block_8_1,block_2_1,block_64_1,block_8_1,block_8_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,1,17,0.529142133226,False
