Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_155.cpp,xczu7ev-ffvc1156-2-e,10,36.20355,560,44,7,15,75,block_128_1,block_32_1,cyclic_4_1,cyclic_64_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_32_1,block_64_1,block_64_1,block_4_1,cyclic_8_1,complete_1,unroll_32,pipeline_1,unroll_64,unroll_2,1,35.25,0.164605866466,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10,33.85755,404,41,4,16,57,block_128_1,block_8_1,block_128_1,block_4_1,block_2_1,cyclic_32_1,cyclic_8_1,block_64_1,block_128_1,cyclic_64_1,block_32_1,block_16_1,block_16_1,complete_1,unroll_8,unroll_2,unroll_32,unroll_4,1,29.5,0.205273764188,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10,33.55355,163,46,1,7,26,block_128_1,block_8_1,cyclic_16_1,cyclic_16_1,cyclic_32_1,block_4_1,block_128_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,block_16_1,complete_1,unroll_2,unroll_2,unroll_32,unroll_4,1,20,0.237288422949,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10,19.85331,439,45,7,13,64,block_128_1,block_8_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_4_1,block_128_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,32.25,0.354717808304,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10,19.84849,481,48,4,7,93,block_128_1,cyclic_128_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_8_1,cyclic_2_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,38,0.30228373111,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10,18.80337,111,40,1,5,21,block_128_1,cyclic_4_1,block_128_1,cyclic_2_1,cyclic_2_1,block_16_1,block_4_1,block_2_1,block_2_1,cyclic_64_1,block_16_1,block_4_1,block_32_1,complete_1,unroll_2,unroll_2,unroll_32,unroll_4,1,16.75,0.487904894992,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10,18.79889,341,40,4,7,55,block_128_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_32_1,block_16_1,block_4_1,block_2_1,cyclic_2_1,cyclic_64_1,block_16_1,block_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,26.5,0.421221548623,False
workload_926.cpp,xczu7ev-ffvc1156-2-e,10,0.16065,73,40,1,4,11,block_128_1,cyclic_4_1,cyclic_2_1,cyclic_2_1,cyclic_2_1,cyclic_16_1,block_128_1,block_2_1,block_2_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_2,pipeline_1,1,14,0.912381658537,False
workload_217.cpp,xczu7ev-ffvc1156-2-e,10,0.18119,583,46,2,16,77,block_16_1,block_32_1,block_128_1,block_8_1,block_2_1,cyclic_4_1,cyclic_4_1,block_64_1,block_64_1,block_4_1,cyclic_32_1,cyclic_16_1,cyclic_4_1,complete_1,unroll_8,unroll_32,unroll_4,pipeline_1,1,35.25,0.47671643843,False
workload_194.cpp,xczu7ev-ffvc1156-2-e,10,9.76977,147,47,1,8,20,block_16_1,block_32_1,block_2_1,block_16_1,block_2_1,block_8_1,cyclic_4_1,cyclic_128_1,block_16_1,block_64_1,cyclic_32_1,cyclic_16_1,block_128_1,complete_1,unroll_2,unroll_8,unroll_32,pipeline_1,1,19,0.66225365142,False
