Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_177.cpp,xczu7ev-ffvc1156-2-e,10,7.7602,503,70,2,23,55,block_2_1,block_64_1,cyclic_32_1,block_64_1,block_2_1,cyclic_16_1,block_32_1,cyclic_4_1,block_16_1,cyclic_2_1,cyclic_128_1,cyclic_64_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,37.5,0.699571721754,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10,3.28384,715,69,2,35,83,block_2_1,block_8_1,cyclic_32_1,block_64_1,block_128_1,block_64_1,block_16_1,cyclic_64_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,47.25,0.524404070139,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10,7.7602,168,70,2,23,50,block_2_1,block_8_1,cyclic_32_1,block_64_1,block_4_1,block_64_1,block_16_1,cyclic_64_1,block_4_1,block_128_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,36.25,0.719990836096,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10,7.7602,145,70,2,21,46,block_2_1,block_8_1,cyclic_32_1,block_64_1,block_4_1,block_64_1,block_16_1,cyclic_64_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,34.75,0.740802777732,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10,7.7602,130,70,2,20,44,block_2_1,block_8_1,cyclic_32_1,block_64_1,block_4_1,cyclic_16_1,block_16_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_2_1,block_16_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,34,0.749407976451,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10,7.7602,127,71,2,20,43,block_2_1,block_8_1,cyclic_32_1,block_64_1,block_4_1,cyclic_16_1,block_16_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,34,0.749407976451,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10,7.75764,128,71,2,19,40,block_2_1,block_8_1,cyclic_32_1,block_64_1,block_4_1,cyclic_2_1,cyclic_16_1,cyclic_4_1,cyclic_2_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,33,0.76145656064,False
workload_228.cpp,xczu7ev-ffvc1156-2-e,10,23.18216,159,73,1,18,43,block_2_1,cyclic_16_1,cyclic_32_1,block_64_1,block_4_1,cyclic_16_1,block_16_1,cyclic_4_1,block_4_1,cyclic_2_1,block_128_1,cyclic_4_1,cyclic_128_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,33.75,0.580792129077,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10,7.7602,120,74,1,17,39,block_2_1,cyclic_16_1,cyclic_32_1,block_64_1,block_4_1,cyclic_16_1,block_16_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,32.75,0.764461314451,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10,7.75544,143,72,1,19,41,block_2_1,cyclic_16_1,cyclic_32_1,block_64_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,cyclic_128_1,block_4_1,cyclic_2_1,block_128_1,cyclic_4_1,cyclic_32_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,33.25,0.758516290183,False
