Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Replicate_Count,Area,Weight,is_pareto
krnl_KALMAN_638.cpp,xczu7ev-ffvc1156-2-e,10,8.2767,547,92,7,6,21,block_16_1,block_16_1,block_8_1,block_32_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,1,31.5,0.865775147905,False
krnl_KALMAN_324.cpp,xczu7ev-ffvc1156-2-e,10,8.84841,155,92,7,7,26,block_16_1,block_8_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_64,unroll_2,1,33,0.827983919405,False
krnl_KALMAN_284.cpp,xczu7ev-ffvc1156-2-e,10,8.76649,172,92,7,7,36,block_16_1,block_8_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_64,unroll_2,1,35.5,0.758360108212,False
krnl_KALMAN_657.cpp,xczu7ev-ffvc1156-2-e,10,8.19262,396,92,7,7,28,block_16_1,block_8_1,block_4_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,1,33.5,0.817936325721,False
krnl_KALMAN_947.cpp,xczu7ev-ffvc1156-2-e,10,88.41239,140,92,1,2,13,block_16_1,block_8_1,block_4_1,complete_1,pipeline_1,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,1,27,0.211932418314,False
krnl_KALMAN_405.cpp,xczu7ev-ffvc1156-2-e,10,97.53783,142,92,3,5,22,block_16_1,block_8_1,block_4_1,cyclic_4_1,pipeline_1,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_8,unroll_8,1,30.5,0.166284658191,False
krnl_KALMAN_389.cpp,xczu7ev-ffvc1156-2-e,10,98.35683,261,92,1,5,34,block_16_1,block_8_1,cyclic_32_1,complete_1,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,unroll_8,1,33,0.159256126917,False
krnl_KALMAN_818.cpp,xczu7ev-ffvc1156-2-e,10,9.66688,194,92,7,23,52,block_16_1,block_8_1,cyclic_4_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_2,1,43.5,0.537786525603,False
krnl_KALMAN_353.cpp,xczu7ev-ffvc1156-2-e,10,8.06936,141,92,7,7,35,block_2_1,block_16_1,block_2_1,complete_1,pipeline_1,unroll_64,pipeline_1,unroll_8,unroll_2,unroll_64,pipeline_1,1,35.25,0.767840207493,False
krnl_KALMAN_421.cpp,xczu7ev-ffvc1156-2-e,10,4.09624,235,92,7,7,44,block_2_1,block_16_1,block_2_1,complete_1,pipeline_1,unroll_64,pipeline_1,unroll_8,unroll_2,unroll_64,unroll_8,1,37.5,0.705123141172,False
krnl_KALMAN_498.cpp,xczu7ev-ffvc1156-2-e,10,4.09624,234,92,7,7,44,block_2_1,block_16_1,block_2_1,cyclic_2_1,pipeline_1,unroll_64,pipeline_1,unroll_8,unroll_2,unroll_64,unroll_8,1,37.5,0.705123141172,False
krnl_KALMAN_299.cpp,xczu7ev-ffvc1156-2-e,10,8.33528,165,92,14,12,45,block_2_1,block_16_1,block_32_1,cyclic_4_1,pipeline_1,unroll_64,unroll_2,unroll_8,unroll_2,unroll_64,pipeline_1,1,40.75,0.610881667853,False
krnl_KALMAN_402.cpp,xczu7ev-ffvc1156-2-e,10,8.07018,144,92,7,8,42,block_2_1,block_4_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_64,pipeline_1,1,37.25,0.709306428516,False
krnl_KALMAN_368.cpp,xczu7ev-ffvc1156-2-e,10,8.07017,146,92,7,8,42,block_2_1,block_8_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_64,pipeline_1,1,37.25,0.709306448601,False
krnl_KALMAN_596.cpp,xczu7ev-ffvc1156-2-e,10,5.57175,138,92,7,23,48,block_2_1,block_8_1,block_4_1,block_4_1,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,1,42.5,0.566434521905,False
krnl_KALMAN_545.cpp,xczu7ev-ffvc1156-2-e,10,13.11404,84,92,1,5,18,block_2_1,block_8_1,block_4_1,block_4_1,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_4,pipeline_1,unroll_8,1,29,0.883639652427,False
