Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
Stencil2D_588.cpp,xczu7ev-ffvc1156-2-e,10,5.12625,376,1,1,7,42,block_128_1,block_128_1,pipeline_1,pipeline_1,3,12.75,1,True
Stencil2D_758.cpp,xczu7ev-ffvc1156-2-e,10,5.12625,386,1,1,7,42,block_128_1,block_128_1,pipeline_1,unroll_64,3,12.75,1,True
Stencil2D_790.cpp,xczu7ev-ffvc1156-2-e,10,70.02542,43,1,1,1,3,block_128_1,block_128_1,unroll_8,unroll_2,1,1.5,0.662644496443,False
Stencil2D_864.cpp,xczu7ev-ffvc1156-2-e,10,5.26125,435,5,4,15,49,block_128_1,block_16_1,pipeline_1,pipeline_1,1,18.25,0.530550439313,False
Stencil2D_111.cpp,xczu7ev-ffvc1156-2-e,10,5.792585,674,1,1,20,60,block_128_1,block_2_1,pipeline_1,pipeline_1,2,20.5,0.525890739453,False
Stencil2D_189.cpp,xczu7ev-ffvc1156-2-e,10,10.76278,133,1,1,12,19,block_128_1,block_2_1,unroll_8,pipeline_1,1,8.25,0.79553505755,False
Stencil2D_136.cpp,xczu7ev-ffvc1156-2-e,10,5.13235,416,10,7,18,53,block_128_1,block_32_1,pipeline_1,unroll_2,1,22,0.51665046518,False
Stencil2D_2.cpp,xczu7ev-ffvc1156-2-e,10,139.78121,39,5,1,1,1,block_128_1,block_32_1,unroll_2,unroll_2,1,2,0.369193898156,False
Stencil2D_226.cpp,xczu7ev-ffvc1156-2-e,10,9.77251,339,10,1,6,22,block_128_1,block_32_1,unroll_64,pipeline_1,1,9.75,0.726838985908,False
Stencil2D_164.cpp,xczu7ev-ffvc1156-2-e,10,5.25172,412,1,1,11,45,block_128_1,block_4_1,pipeline_1,pipeline_1,1,14.5,0.660748418822,False
Stencil2D_463.cpp,xczu7ev-ffvc1156-2-e,10,5.12625,399,1,1,7,43,block_128_1,block_64_1,pipeline_1,pipeline_1,7,13,0.70423148298,False
Stencil2D_379.cpp,xczu7ev-ffvc1156-2-e,10,5.12814,381,1,1,7,42,block_128_1,block_64_1,pipeline_1,unroll_2,2,12.75,0.709785353824,False
Stencil2D_807.cpp,xczu7ev-ffvc1156-2-e,10,5.125705,388.5,1,1,7,42.5,block_128_1,block_64_1,pipeline_1,unroll_64,2,12.875,1,True
Stencil2D_309.cpp,xczu7ev-ffvc1156-2-e,10,9.77004,79,1,1,5,9,block_128_1,block_64_1,unroll_64,pipeline_1,3,4,0.901056921455,False
Stencil2D_92.cpp,xczu7ev-ffvc1156-2-e,10,134.91244,41,2,1,1,1,block_128_1,block_8_1,unroll_2,unroll_2,1,1.25,0.386827965023,False
Stencil2D_107.cpp,xczu7ev-ffvc1156-2-e,10,5.129295,408.5,1,30,28,72.5,block_128_1,cyclic_128_1,pipeline_1,pipeline_1,2,32.875,0.229793150091,False
Stencil2D_119.cpp,xczu7ev-ffvc1156-2-e,10,10.16938,42,1,1,2,3.5,block_128_1,cyclic_128_1,unroll_2,pipeline_1,2,1.875,0.966487610689,False
Stencil2D_194.cpp,xczu7ev-ffvc1156-2-e,10,5.13612,398,5,4,11,47,block_128_1,cyclic_16_1,pipeline_1,pipeline_1,1,16.75,0.588506214872,False
