Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
MatrixMultiplication_624.cpp,xczu7ev-ffvc1156-2-e,10,10826.73669,112.5,1,1,11,18,block_128_1,unroll_2,unroll_2,pipeline_1,2,7.75,0.695971563898,False
MatrixMultiplication_574.cpp,xczu7ev-ffvc1156-2-e,10,45649.9457,967,1,1,3,10,block_128_1,unroll_2,unroll_2,unroll_8,1,3.75,0.305447887623,False
MatrixMultiplication_168.cpp,xczu7ev-ffvc1156-2-e,10,10825.27237,309,1,1,19,35,block_128_1,unroll_2,unroll_4,pipeline_1,3,14,0.428393428724,False
MatrixMultiplication_648.cpp,xczu7ev-ffvc1156-2-e,10,10822.97861,1065,1,1,35,63,block_128_1,unroll_2,unroll_8,pipeline_1,1,25,0.137209725033,False
MatrixMultiplication_525.cpp,xczu7ev-ffvc1156-2-e,10,10826.73413,305,1,1,18,34,block_128_1,unroll_4,unroll_2,pipeline_1,3,13.5,0.448015834758,False
MatrixMultiplication_662.cpp,xczu7ev-ffvc1156-2-e,10,10837.73061,1410,1,1,34,69,block_128_1,unroll_8,unroll_2,pipeline_1,1,26.25,0.122262900205,False
MatrixMultiplication_188.cpp,xczu7ev-ffvc1156-2-e,10,10832.13893,127,10,1,8,18,block_16_1,unroll_16,unroll_2,pipeline_1,1,9.25,0.630225575713,False
MatrixMultiplication_94.cpp,xczu7ev-ffvc1156-2-e,10,10831.81125,382,10,1,17,34,block_16_1,unroll_16,unroll_4,pipeline_1,1,15.5,0.372510596722,False
MatrixMultiplication_51.cpp,xczu7ev-ffvc1156-2-e,10,63273.72101,281,10,2,3,16,block_16_1,unroll_16,unroll_4,unroll_2,1,7.75,0.140924711606,False
MatrixMultiplication_150.cpp,xczu7ev-ffvc1156-2-e,10,10831.81125,1351,10,1,34,70,block_16_1,unroll_16,unroll_8,pipeline_1,1,28.75,0.103815321539,False
MatrixMultiplication_107.cpp,xczu7ev-ffvc1156-2-e,10,66543.96741,829,10,2,6,28,block_16_1,unroll_16,unroll_8,unroll_2,1,11.5,0.113594582236,False
MatrixMultiplication_584.cpp,xczu7ev-ffvc1156-2-e,10,46989.50154,272,10,1,2,13,block_16_1,unroll_2,unroll_4,unroll_16,1,6.5,0.271293424786,False
MatrixMultiplication_122.cpp,xczu7ev-ffvc1156-2-e,10,57739.87077,33,10,2,1,2,block_16_1,unroll_4,unroll_2,unroll_2,1,3.75,0.190055619133,False
MatrixMultiplication_12.cpp,xczu7ev-ffvc1156-2-e,10,69059.57637,693,10,2,6,27,block_16_1,unroll_4,unroll_32,unroll_2,1,11.25,0.108232505041,False
MatrixMultiplication_176.cpp,xczu7ev-ffvc1156-2-e,10,10831.83365,59,10,1,4,9,block_16_1,unroll_4,unroll_4,pipeline_1,1,6,0.762488001815,False
MatrixMultiplication_202.cpp,xczu7ev-ffvc1156-2-e,10,66795.63525,79,10,2,1,8,block_16_1,unroll_4,unroll_8,unroll_2,1,5.25,0.131738034667,False
MatrixMultiplication_719.cpp,xczu7ev-ffvc1156-2-e,10,10821.48933,76,1,1,2,6,block_2_1,unroll_16,unroll_2,pipeline_1,1,2.5,0.878368211597,False
MatrixMultiplication_196.cpp,xczu7ev-ffvc1156-2-e,10,40281.80554,129.5,1,1,1,9.5,block_2_1,unroll_16,unroll_2,unroll_8,2,3.125,0.374706165406,False
MatrixMultiplication_103.cpp,xczu7ev-ffvc1156-2-e,10,59071.55013,62,1,2,1,8,block_2_1,unroll_16,unroll_4,unroll_2,1,3,0.18152673097,False
MatrixMultiplication_31.cpp,xczu7ev-ffvc1156-2-e,10,10822.63621,163,1,1,6,20,block_2_1,unroll_16,unroll_8,pipeline_1,1,7,0.726711493599,False
MatrixMultiplication_359.cpp,xczu7ev-ffvc1156-2-e,10,10821.49381,46,1,1,1,5,block_2_1,unroll_2,unroll_16,pipeline_1,3,2,0.891595079898,False
MatrixMultiplication_536.cpp,xczu7ev-ffvc1156-2-e,10,51628.06794,779,1,1,4,12,block_2_1,unroll_2,unroll_16,unroll_32,2,4.5,0.239629551366,False
MatrixMultiplication_281.cpp,xczu7ev-ffvc1156-2-e,10,10821.49381,29,1,1,1,1,block_2_1,unroll_2,unroll_2,pipeline_1,3,1,0.90577657499,False
MatrixMultiplication_410.cpp,xczu7ev-ffvc1156-2-e,10,34913.34666,39.5,1,1,1,2,block_2_1,unroll_2,unroll_2,unroll_16,4,1.25,0.454591058352,False
MatrixMultiplication_674.cpp,xczu7ev-ffvc1156-2-e,10,32233.3441,59.5,1,1,1,4,block_2_1,unroll_2,unroll_2,unroll_32,2,1.75,0.496817283941,False
