Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_4_1,Replicate_Count,Area,Weight,is_pareto
bbgemm_3264.c,xcu200-fsgd2104-2-e,3.33,0.13320333,743,0,1,47,23,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,3,17.75,1,True
bbgemm_3247.c,xcu200-fsgd2104-2-e,3.33,0.13320333,686,0,1,47,23,unroll_16,unroll_16,pipeline_1,pipeline_1,unroll_2,1,17.75,1,True
bbgemm_3282.c,xcu200-fsgd2104-2-e,3.33,0.13320333,710,0,1,47,23,unroll_16,unroll_16,pipeline_1,pipeline_1,unroll_8,3,17.75,1,True
bbgemm_3386.c,xcu200-fsgd2104-2-e,3.33,0.13320333,728.5,0,1,47,23,unroll_16,unroll_16,pipeline_1,unroll_2,pipeline_1,2,17.75,1,True
bbgemm_3161.c,xcu200-fsgd2104-2-e,3.33,0.13320333,743,0,1,47,23,unroll_16,unroll_16,pipeline_1,unroll_2,unroll_2,1,17.75,1,True
bbgemm_3237.c,xcu200-fsgd2104-2-e,3.33,0.13320333,735,0,1,47,23,unroll_16,unroll_16,pipeline_1,unroll_2,unroll_8,1,17.75,1,True
bbgemm_3189.c,xcu200-fsgd2104-2-e,3.33,0.13320333,730,0,1,47,23,unroll_16,unroll_16,pipeline_1,unroll_4,pipeline_1,3,17.75,1,True
bbgemm_3220.c,xcu200-fsgd2104-2-e,3.33,0.13320333,722,0,1,47,23,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_2,1,17.75,1,True
bbgemm_3080.c,xcu200-fsgd2104-2-e,3.33,0.13320333,746,0,1,47,23,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_8,1,17.75,1,True
bbgemm_3347.c,xcu200-fsgd2104-2-e,3.33,0.13320333,746,0,1,47,23,unroll_16,unroll_16,pipeline_1,unroll_8,unroll_2,1,17.75,1,True
bbgemm_3216.c,xcu200-fsgd2104-2-e,3.33,1.80065088,431,0,0,9,9,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,1,4.5,0.684145309222,False
bbgemm_3327.c,xcu200-fsgd2104-2-e,3.33,5.55156288,1815,0,0,11,13,unroll_16,unroll_16,unroll_2,unroll_4,pipeline_1,1,6,0.34077282658,False
bbgemm_3394.c,xcu200-fsgd2104-2-e,3.33,0.13354632,159,0,1,12,7,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,5,5,1,True
bbgemm_3357.c,xcu200-fsgd2104-2-e,3.33,0.13354632,153,0,1,12,7,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_2,1,5,1,True
bbgemm_3324.c,xcu200-fsgd2104-2-e,3.33,0.13354632,166,0,1,12,7,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_8,4,5,1,True
bbgemm_3332.c,xcu200-fsgd2104-2-e,3.33,0.13354632,154.5,0,1,12,7,unroll_16,unroll_2,pipeline_1,unroll_2,pipeline_1,2,5,1,True
bbgemm_3411.c,xcu200-fsgd2104-2-e,3.33,0.13354632,167,0,1,12,7,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_2,1,5,1,True
bbgemm_3538.c,xcu200-fsgd2104-2-e,3.33,0.13354632,167,0,1,12,7,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_8,1,5,1,True
bbgemm_3404.c,xcu200-fsgd2104-2-e,3.33,0.13354632,162,0,1,12,7,unroll_16,unroll_2,pipeline_1,unroll_4,pipeline_1,3,5,1,True
bbgemm_3685.c,xcu200-fsgd2104-2-e,3.33,0.13354632,162,0,1,12,7,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,1,5,1,True
bbgemm_3437.c,xcu200-fsgd2104-2-e,3.33,0.13354632,168,0,1,12,7,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_8,2,5,1,True
bbgemm_3507.c,xcu200-fsgd2104-2-e,3.33,0.13354632,162.5,0,1,12,7,unroll_16,unroll_2,pipeline_1,unroll_8,pipeline_1,2,5,1,True
bbgemm_3493.c,xcu200-fsgd2104-2-e,3.33,0.13354632,169.5,0,1,12,7,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_8,2,5,1,True
bbgemm_3303.c,xcu200-fsgd2104-2-e,3.33,1.44956232,75,0,0,2,2,unroll_16,unroll_2,unroll_2,pipeline_1,pipeline_1,1,1,0.897488540334,False
bbgemm_3395.c,xcu200-fsgd2104-2-e,3.33,0.86305608,84,0,0,2,2,unroll_16,unroll_2,unroll_2,pipeline_1,unroll_8,1,1,0.955722963106,False
bbgemm_3302.c,xcu200-fsgd2104-2-e,3.33,5.58579528,77,0,0,1,1,unroll_16,unroll_2,unroll_2,unroll_2,pipeline_1,1,0.5,0.462325388312,False
bbgemm_3712.c,xcu200-fsgd2104-2-e,3.33,1.3438548,195,0,0,1,3,unroll_16,unroll_2,unroll_2,unroll_4,unroll_8,1,1,0.906136730038,False
bbgemm_3593.c,xcu200-fsgd2104-2-e,3.33,1.08129096,168,0,0,5,5,unroll_16,unroll_2,unroll_4,pipeline_1,unroll_8,1,2.5,0.836224989255,False
bbgemm_3528.c,xcu200-fsgd2104-2-e,3.33,0.31405896,502,0,2,4,7,unroll_16,unroll_2,unroll_4,unroll_8,unroll_8,1,3.25,1,True
bbgemm_3668.c,xcu200-fsgd2104-2-e,3.33,0.18789192,989,0,4,6,12,unroll_16,unroll_2,unroll_8,unroll_8,unroll_8,1,5.5,0.73288204021,False
bbgemm_3399.c,xcu200-fsgd2104-2-e,3.33,0.13320333,710,0,1,47,23,unroll_16,unroll_32,pipeline_1,pipeline_1,unroll_8,2,17.75,1,True
bbgemm_3524.c,xcu200-fsgd2104-2-e,3.33,0.13320333,764,0,1,47,23,unroll_16,unroll_32,pipeline_1,unroll_4,pipeline_1,1,17.75,1,True
bbgemm_3576.c,xcu200-fsgd2104-2-e,3.33,0.13320333,770,0,1,47,23,unroll_16,unroll_32,pipeline_1,unroll_8,unroll_8,1,17.75,1,True
bbgemm_3338.c,xcu200-fsgd2104-2-e,3.33,0.13338648,315.5,0,1,24,14,unroll_16,unroll_4,pipeline_1,pipeline_1,pipeline_1,4,9.75,1,True
bbgemm_3233.c,xcu200-fsgd2104-2-e,3.33,0.13338648,302,0,1,24,14,unroll_16,unroll_4,pipeline_1,pipeline_1,unroll_2,1,9.75,1,True
bbgemm_3106.c,xcu200-fsgd2104-2-e,3.33,0.13338648,326.5,0,1,24,14,unroll_16,unroll_4,pipeline_1,pipeline_1,unroll_8,4,9.75,1,True
bbgemm_3603.c,xcu200-fsgd2104-2-e,3.33,0.13338648,317,0,1,24,14,unroll_16,unroll_4,pipeline_1,unroll_2,pipeline_1,2,9.75,1,True
bbgemm_3224.c,xcu200-fsgd2104-2-e,3.33,0.13338648,341.5,0,1,24,14,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_8,2,9.75,1,True
bbgemm_3408.c,xcu200-fsgd2104-2-e,3.33,0.13338648,312.5,0,1,24,14,unroll_16,unroll_4,pipeline_1,unroll_4,pipeline_1,2,9.75,1,True
bbgemm_3417.c,xcu200-fsgd2104-2-e,3.33,0.13338648,346,0,1,24,14,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_8,2,9.75,1,True
bbgemm_3508.c,xcu200-fsgd2104-2-e,3.33,0.13338648,327.5,0,1,24,14,unroll_16,unroll_4,pipeline_1,unroll_8,pipeline_1,2,9.75,1,True
bbgemm_3326.c,xcu200-fsgd2104-2-e,3.33,1.08123768,160,0,0,5,5,unroll_16,unroll_4,unroll_2,pipeline_1,unroll_8,1,2.5,0.836229056444,False
bbgemm_3725.c,xcu200-fsgd2104-2-e,3.33,1.08123768,439,0,0,10,10,unroll_16,unroll_4,unroll_4,pipeline_1,unroll_8,1,5,0.720094261918,False
bbgemm_3124.c,xcu200-fsgd2104-2-e,3.33,1.59102072,1374,0,0,17,19.5,unroll_16,unroll_4,unroll_8,pipeline_1,pipeline_1,2,9.125,0.514430666328,False
