Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
gemm_1474.c,xcu200-fsgd2104-2-e,3.33,0.06239088,896.5,1,2,32,7,pipeline_1,pipeline_1,pipeline_1,8,10.5,1,True
gemm_1470.c,xcu200-fsgd2104-2-e,3.33,0.06239088,920.5,1,2,32,7,pipeline_1,pipeline_1,unroll_16,4,10.5,1,True
gemm_1532.c,xcu200-fsgd2104-2-e,3.33,0.06239088,916.5,1,2,32,7,pipeline_1,pipeline_1,unroll_2,4,10.5,1,True
gemm_1485.c,xcu200-fsgd2104-2-e,3.33,0.06239088,899,1,2,32,7,pipeline_1,pipeline_1,unroll_32,4,10.5,1,True
gemm_1463.c,xcu200-fsgd2104-2-e,3.33,0.06239088,910.5,1,2,32,7,pipeline_1,pipeline_1,unroll_4,4,10.5,1,True
gemm_1436.c,xcu200-fsgd2104-2-e,3.33,0.01540791,840,1,20,52,24,pipeline_1,pipeline_1,unroll_64,4,24.25,1,True
gemm_1448.c,xcu200-fsgd2104-2-e,3.33,0.06239088,911.5,1,2,32,7,pipeline_1,pipeline_1,unroll_8,4,10.5,1,True
gemm_1439.c,xcu200-fsgd2104-2-e,3.33,0.06239088,932.5,1,2,32,7,pipeline_1,unroll_16,pipeline_1,4,10.5,1,True
gemm_1487.c,xcu200-fsgd2104-2-e,3.33,0.06239088,914,1,2,32,7,pipeline_1,unroll_16,unroll_16,2,10.5,1,True
gemm_1633.c,xcu200-fsgd2104-2-e,3.33,0.06239088,943,1,2,32,7,pipeline_1,unroll_16,unroll_2,2,10.5,1,True
gemm_1531.c,xcu200-fsgd2104-2-e,3.33,0.06239088,1012.5,1,2,32,7,pipeline_1,unroll_16,unroll_32,2,10.5,1,True
gemm_1430.c,xcu200-fsgd2104-2-e,3.33,0.06239088,903,1,2,32,7,pipeline_1,unroll_16,unroll_4,2,10.5,1,True
gemm_1543.c,xcu200-fsgd2104-2-e,3.33,0.06239088,945,1,2,32,7,pipeline_1,unroll_16,unroll_64,2,10.5,1,True
gemm_1447.c,xcu200-fsgd2104-2-e,3.33,0.06239088,938.5,1,2,32,7,pipeline_1,unroll_16,unroll_8,2,10.5,1,True
gemm_1596.c,xcu200-fsgd2104-2-e,3.33,0.06239088,943.5,1,2,32,7,pipeline_1,unroll_2,pipeline_1,4,10.5,1,True
gemm_1458.c,xcu200-fsgd2104-2-e,3.33,0.06239088,938.5,1,2,32,7,pipeline_1,unroll_2,unroll_16,2,10.5,1,True
gemm_1651.c,xcu200-fsgd2104-2-e,3.33,0.06239088,936.5,1,2,32,7,pipeline_1,unroll_2,unroll_2,2,10.5,1,True
gemm_1512.c,xcu200-fsgd2104-2-e,3.33,0.06239088,915.5,1,2,32,7,pipeline_1,unroll_2,unroll_32,2,10.5,1,True
gemm_1632.c,xcu200-fsgd2104-2-e,3.33,0.06239088,898,1,2,32,7,pipeline_1,unroll_2,unroll_4,2,10.5,1,True
gemm_1469.c,xcu200-fsgd2104-2-e,3.33,0.01540791,875.5,1,20,52,24,pipeline_1,unroll_2,unroll_64,2,24.25,1,True
gemm_1643.c,xcu200-fsgd2104-2-e,3.33,0.06239088,919.5,1,2,32,7,pipeline_1,unroll_2,unroll_8,2,10.5,1,True
gemm_1464.c,xcu200-fsgd2104-2-e,3.33,0.06239088,930,1,2,32,7,pipeline_1,unroll_32,pipeline_1,4,10.5,1,True
gemm_1457.c,xcu200-fsgd2104-2-e,3.33,0.06239088,893,1,2,32,7,pipeline_1,unroll_32,unroll_16,2,10.5,1,True
gemm_1534.c,xcu200-fsgd2104-2-e,3.33,0.06239088,909.5,1,2,32,7,pipeline_1,unroll_32,unroll_2,2,10.5,1,True
gemm_1536.c,xcu200-fsgd2104-2-e,3.33,0.06239088,933,1,2,32,7,pipeline_1,unroll_32,unroll_32,2,10.5,1,True
gemm_1460.c,xcu200-fsgd2104-2-e,3.33,0.06239088,952.5,1,2,32,7,pipeline_1,unroll_32,unroll_4,2,10.5,1,True
gemm_1437.c,xcu200-fsgd2104-2-e,3.33,0.06239088,987.5,1,2,32,7,pipeline_1,unroll_32,unroll_64,2,10.5,1,True
gemm_1492.c,xcu200-fsgd2104-2-e,3.33,0.06239088,915.5,1,2,32,7,pipeline_1,unroll_32,unroll_8,2,10.5,1,True
gemm_1648.c,xcu200-fsgd2104-2-e,3.33,0.06239088,890.5,1,2,32,7,pipeline_1,unroll_4,pipeline_1,2,10.5,1,True
gemm_1704.c,xcu200-fsgd2104-2-e,3.33,0.06239088,878,1,2,32,7,pipeline_1,unroll_4,unroll_2,1,10.5,1,True
gemm_1706.c,xcu200-fsgd2104-2-e,3.33,0.06239088,916,1,2,32,7,pipeline_1,unroll_4,unroll_4,1,10.5,1,True
