Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
md_kernel_241.c,xcu200-fsgd2104-2-e,3.33,0.0085248,41.5,1,3,2,1,pipeline_1,pipeline_1,4,1.75,1,True
md_kernel_259.c,xcu200-fsgd2104-2-e,3.33,0.0085248,43.5,1,3,2,1,pipeline_1,unroll_16,2,1.75,1,True
md_kernel_249.c,xcu200-fsgd2104-2-e,3.33,0.0085248,42.5,1,3,2,1,pipeline_1,unroll_2,2,1.75,1,True
md_kernel_255.c,xcu200-fsgd2104-2-e,3.33,0.0085248,45.5,1,3,2,1,pipeline_1,unroll_4,2,1.75,1,True
md_kernel_247.c,xcu200-fsgd2104-2-e,3.33,0.0085248,45,1,3,2,1,pipeline_1,unroll_8,2,1.75,1,True
md_kernel_269.c,xcu200-fsgd2104-2-e,3.33,0.19527453,58,1,1,1,1,unroll_16,pipeline_1,2,1,1,True
md_kernel_257.c,xcu200-fsgd2104-2-e,3.33,0.01412253,254,1,3,4,4,unroll_16,unroll_16,1,3,0.588975126322,False
md_kernel_248.c,xcu200-fsgd2104-2-e,3.33,0.94971933,67,1,1,1,1,unroll_16,unroll_2,1,1,0.100000170341,False
md_kernel_258.c,xcu200-fsgd2104-2-e,3.33,0.53029917,106,1,1,1,1,unroll_16,unroll_4,1,1,0.314116308139,False
md_kernel_282.c,xcu200-fsgd2104-2-e,3.33,0.32058909,163,1,1,1,1,unroll_16,unroll_8,1,1,0.576128238407,False
md_kernel_262.c,xcu200-fsgd2104-2-e,3.33,0.19564749,28,1,1,1,1,unroll_2,pipeline_1,2,1,0.772926505012,False
md_kernel_250.c,xcu200-fsgd2104-2-e,3.33,0.10741581,60,1,2,1,1,unroll_2,unroll_16,1,1.25,1,True
md_kernel_245.c,xcu200-fsgd2104-2-e,3.33,0.95009229,28,1,1,1,1,unroll_2,unroll_2,1,1,0.1,False
md_kernel_266.c,xcu200-fsgd2104-2-e,3.33,0.53067213,35,1,1,1,1,unroll_2,unroll_4,1,1,0.313738660364,False
md_kernel_242.c,xcu200-fsgd2104-2-e,3.33,0.32096205,40,1,1,1,1,unroll_2,unroll_8,1,1,0.575579295778,False
md_kernel_252.c,xcu200-fsgd2104-2-e,3.33,0.19524789,92.5,1,1,3,2.5,unroll_32,pipeline_1,2,1.875,0.685084941266,False
md_kernel_263.c,xcu200-fsgd2104-2-e,3.33,0.01068597,576,1,4,6,8,unroll_32,unroll_16,1,4.75,0.222687130795,False
md_kernel_283.c,xcu200-fsgd2104-2-e,3.33,0.94969269,133,1,1,1,1,unroll_32,unroll_2,1,1,0.100000195545,False
md_kernel_277.c,xcu200-fsgd2104-2-e,3.33,0.53027253,208,1,1,1,1,unroll_32,unroll_4,1,1,0.314143295419,False
md_kernel_284.c,xcu200-fsgd2104-2-e,3.33,0.32056245,383,1,1,1,2,unroll_32,unroll_8,1,1.25,0.581822234829,False
md_kernel_240.c,xcu200-fsgd2104-2-e,3.33,0.19543437,32,1,1,1,1,unroll_4,pipeline_1,2,1,0.773278849754,False
md_kernel_273.c,xcu200-fsgd2104-2-e,3.33,0.05392269,80,1,3,1,1,unroll_4,unroll_16,1,1.5,1,True
md_kernel_278.c,xcu200-fsgd2104-2-e,3.33,0.94987917,36,1,1,1,1,unroll_4,unroll_2,1,1,0.100000055622,False
md_kernel_253.c,xcu200-fsgd2104-2-e,3.33,0.53045901,46,1,1,1,1,unroll_4,unroll_4,1,1,0.313954419289,False
md_kernel_271.c,xcu200-fsgd2104-2-e,3.33,0.32074893,54,1,1,1,1,unroll_4,unroll_8,1,1,0.575892944526,False
md_kernel_281.c,xcu200-fsgd2104-2-e,3.33,0.19523457,171.5,1,1,6,5.5,unroll_64,pipeline_1,2,3.375,0.417791358633,False
md_kernel_287.c,xcu200-fsgd2104-2-e,3.33,0.00896769,1243,1,4,7,13,unroll_64,unroll_16,1,6.25,0.102607766848,False
md_kernel_279.c,xcu200-fsgd2104-2-e,3.33,0.94967937,319,1,1,1,1,unroll_64,unroll_2,1,1,0.100000208798,False
md_kernel_261.c,xcu200-fsgd2104-2-e,3.33,0.53025921,548,1,1,2,2,unroll_64,unroll_4,1,1.5,0.315880565809,False
md_kernel_264.c,xcu200-fsgd2104-2-e,3.33,0.32054913,1019,1,1,2,3,unroll_64,unroll_8,1,1.75,0.552857601841,False
md_kernel_246.c,xcu200-fsgd2104-2-e,3.33,0.19532781,39,1,1,1,1,unroll_8,pipeline_1,2,1,0.773455033682,False
md_kernel_274.c,xcu200-fsgd2104-2-e,3.33,0.02738925,137,1,3,2,2,unroll_8,unroll_16,1,2,0.900276317823,False
md_kernel_268.c,xcu200-fsgd2104-2-e,3.33,0.94977261,49,1,1,1,1,unroll_8,unroll_2,1,1,0.100000125149,False
md_kernel_244.c,xcu200-fsgd2104-2-e,3.33,0.53035245,64,1,1,1,1,unroll_8,unroll_4,1,1,0.314062338556,False
