Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,Replicate_Count,Area,Weight,is_pareto
ss_sort_4913.c,xcu200-fsgd2104-2-e,3.33,0.77207715,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,2,1,0.901006883072,False
ss_sort_5040.c,xcu200-fsgd2104-2-e,3.33,0.71751843,30,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,pipeline_1,unroll_2,1,1,0.988375603548,False
ss_sort_5000.c,xcu200-fsgd2104-2-e,3.33,0.71751843,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_4,unroll_4,1,1,0.988375603548,False
ss_sort_4926.c,xcu200-fsgd2104-2-e,3.33,0.71751843,32,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,pipeline_1,pipeline_1,2,1,0.988375603548,False
ss_sort_4912.c,xcu200-fsgd2104-2-e,3.33,0.82663587,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,1,1,0.818159580441,False
ss_sort_4988.c,xcu200-fsgd2104-2-e,3.33,0.71751843,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,1,0.988375603548,False
ss_sort_4957.c,xcu200-fsgd2104-2-e,3.33,0.71751843,30,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_4,pipeline_1,unroll_2,1,1,0.988375603548,False
ss_sort_5165.c,xcu200-fsgd2104-2-e,3.33,0.71751843,28,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_16,unroll_16,pipeline_1,pipeline_1,1,1,0.988375603548,False
ss_sort_5006.c,xcu200-fsgd2104-2-e,3.33,0.71751843,29.5,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,2,1,0.988375603548,False
ss_sort_4856.c,xcu200-fsgd2104-2-e,3.33,0.82663587,29,1,1,1,1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_2,1,1,0.818159580441,False
