Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
stencil3d_4656.c,xcu200-fsgd2104-2-e,3.33,0.07429563,314,1,32,8,12,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_4,unroll_2,unroll_15,1,13.25,0.552302606519,False
stencil3d_4766.c,xcu200-fsgd2104-2-e,3.33,0.07419573,325,1,36,9,13,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_15,1,14.75,0.524820824608,False
stencil3d_4732.c,xcu200-fsgd2104-2-e,3.33,0.07419573,316,1,36,9,13,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,14.75,0.524820824608,False
stencil3d_4635.c,xcu200-fsgd2104-2-e,3.33,0.07429563,373,1,32,8,12,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_4,unroll_2,unroll_15,1,13.25,0.552302606519,False
stencil3d_4800.c,xcu200-fsgd2104-2-e,3.33,0.07419573,383,1,36,9,13,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,14.75,0.524820824608,False
stencil3d_4652.c,xcu200-fsgd2104-2-e,3.33,0.07419573,375,1,36,9,13,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_15,3,14.75,0.524820824608,False
stencil3d_4677.c,xcu200-fsgd2104-2-e,3.33,0.07419573,380,1,36,9,13,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_4,3,14.75,0.524820824608,False
stencil3d_4723.c,xcu200-fsgd2104-2-e,3.33,0.07429563,363,1,17,4,8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_31,unroll_15,1,7.5,0.748896083631,False
stencil3d_4726.c,xcu200-fsgd2104-2-e,3.33,0.07419573,379,1,36,9,13,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_15,1,14.75,0.524820824608,False
stencil3d_4674.c,xcu200-fsgd2104-2-e,3.33,0.07419573,327,1,36,9,13,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_15,1,14.75,0.524820824608,False
