Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
viterbi_4201.c,xcu200-fsgd2104-2-e,3.33,46.90412559,535,1,1,1,6,block_128_1,unroll_32,unroll_32,pipeline_1,unroll_2,unroll_4,unroll_16,unroll_2,1,2.25,0.115062473165,False
viterbi_4127.c,xcu200-fsgd2104-2-e,3.33,42.16305474,192.5,1,1,1,3,block_128_1,unroll_4,unroll_16,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,2,1.5,0.155326228707,False
viterbi_4176.c,xcu200-fsgd2104-2-e,3.33,42.16405374,259,1,1,1,3,block_128_1,unroll_4,unroll_16,unroll_16,unroll_16,unroll_4,pipeline_1,unroll_2,1,1.5,0.15531780477,False
viterbi_4094.c,xcu200-fsgd2104-2-e,3.33,46.84305339,453,1,1,1,5,block_128_1,unroll_4,unroll_32,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,1,2,0.118345183547,False
viterbi_4242.c,xcu200-fsgd2104-2-e,3.33,23.0047056,451,1,1,1,6,block_128_1,unroll_64,unroll_16,unroll_16,pipeline_1,unroll_4,pipeline_1,unroll_4,1,2.25,0.387291455142,False
viterbi_4277.c,xcu200-fsgd2104-2-e,3.33,1.04372856,292,1,1,2,5,block_128_1,unroll_64,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,1,2.25,0.792443425865,False
viterbi_4311.c,xcu200-fsgd2104-2-e,3.33,22.36717044,225,1,1,1,3,block_128_1,unroll_64,unroll_4,unroll_63,pipeline_1,unroll_4,pipeline_1,unroll_4,1,1.5,0.444688626359,False
viterbi_4244.c,xcu200-fsgd2104-2-e,3.33,1.44237285,1226,1,1,4,16,block_128_1,unroll_8,unroll_16,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_4,1,5.5,0.154994634151,False
viterbi_4069.c,xcu200-fsgd2104-2-e,3.33,46.86599376,582,1,1,2,6,block_128_1,unroll_8,unroll_32,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_2,1,2.5,0.113043291619,False
viterbi_4604.c,xcu200-fsgd2104-2-e,3.33,1.0418904,154,1,1,1,3,block_16_2,unroll_64,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,1.5,0.908663254806,False
