Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_204.cpp,xcu200-fsgd2104-2-e,3.33,3.49467516,57.5,1,1,1,1,unroll_17,pipeline_1,2,1,1,True
workload_234.cpp,xcu200-fsgd2104-2-e,3.33,141.63766056,571,1,1,3,6,unroll_17,unroll_16,1,2.75,0.129986771271,False
workload_207.cpp,xcu200-fsgd2104-2-e,3.33,148.29387102,71,1,1,1,1,unroll_17,unroll_2,1,1,0.147778825856,False
workload_212.cpp,xcu200-fsgd2104-2-e,3.33,123.50370267,2374,1,1,5,12,unroll_17,unroll_32,1,4.75,0.1,False
workload_231.cpp,xcu200-fsgd2104-2-e,3.33,146.4934266,110,1,1,1,2,unroll_17,unroll_4,1,1.25,0.151084281382,False
workload_233.cpp,xcu200-fsgd2104-2-e,3.33,145.53863568,198,1,1,1,3,unroll_17,unroll_8,1,1.5,0.151022104273,False
workload_200.cpp,xcu200-fsgd2104-2-e,3.33,3.4949016,36,1,1,1,1,unroll_2,pipeline_1,2,1,0.999997833692,False
workload_206.cpp,xcu200-fsgd2104-2-e,3.33,128.76188256,59,1,1,1,1,unroll_2,unroll_16,1,1,0.200531447329,False
workload_226.cpp,xcu200-fsgd2104-2-e,3.33,148.40302176,34,1,1,1,1,unroll_2,unroll_2,1,1,0.147538531647,False
workload_229.cpp,xcu200-fsgd2104-2-e,3.33,122.2693416,79,1,1,1,1,unroll_2,unroll_32,1,1,0.222362366669,False
workload_201.cpp,xcu200-fsgd2104-2-e,3.33,140.98303584,37,1,1,1,1,unroll_2,unroll_4,1,1,0.165252672666,False
workload_232.cpp,xcu200-fsgd2104-2-e,3.33,121.15088784,183,1,1,1,3,unroll_2,unroll_64,1,1.5,0.220754135899,False
workload_203.cpp,xcu200-fsgd2104-2-e,3.33,136.83657312,47,1,1,1,1,unroll_2,unroll_8,1,1,0.176371049129,False
workload_202.cpp,xcu200-fsgd2104-2-e,3.33,54.12516732,37,1,1,1,1,unroll_4,pipeline_1,2,1,0.58079889933,False
workload_230.cpp,xcu200-fsgd2104-2-e,3.33,136.18182852,91,1,1,1,2,unroll_4,unroll_16,1,1.25,0.177219281136,False
workload_208.cpp,xcu200-fsgd2104-2-e,3.33,148.40300844,41,1,1,1,1,unroll_4,unroll_2,1,1,0.147538560934,False
workload_210.cpp,xcu200-fsgd2104-2-e,3.33,123.005871,180,1,1,1,3,unroll_4,unroll_32,1,1.5,0.214423607452,False
workload_227.cpp,xcu200-fsgd2104-2-e,3.33,144.25654572,46,1,1,1,1,unroll_4,unroll_4,1,1,0.157092558305,False
workload_211.cpp,xcu200-fsgd2104-2-e,3.33,122.22840924,634,1,1,3,6,unroll_4,unroll_64,1,2.75,0.167454415365,False
workload_228.cpp,xcu200-fsgd2104-2-e,3.33,141.96507948,60,1,1,1,1,unroll_4,unroll_8,1,1,0.162747451042,False
workload_165.cpp,xcu200-fsgd2104-2-e,5,5.246525,56.5,1,1,1,1,unroll_17,pipeline_1,2,1,1,True
workload_194.cpp,xcu200-fsgd2104-2-e,5,171.810675,431,1,1,2,6,unroll_17,unroll_16,1,2.5,0.154582846512,False
workload_167.cpp,xcu200-fsgd2104-2-e,5,175.640435,66,1,1,1,1,unroll_17,unroll_2,1,1,0.17416401467,False
workload_172.cpp,xcu200-fsgd2104-2-e,5,171.667315,1657,1,1,5,12,unroll_17,unroll_32,1,4.75,0.1,False
workload_191.cpp,xcu200-fsgd2104-2-e,5,176.787315,95,1,1,1,2,unroll_17,unroll_4,1,1.25,0.170898061374,False
workload_193.cpp,xcu200-fsgd2104-2-e,5,176.336755,169,1,1,1,3,unroll_17,unroll_8,1,1.5,0.169445540712,False
workload_161.cpp,xcu200-fsgd2104-2-e,5,5.2468,37.5,1,1,1,1,unroll_2,pipeline_1,2,1,0.999997928892,False
workload_164.cpp,xcu200-fsgd2104-2-e,5,161.05872,55,1,1,1,1,unroll_2,unroll_16,1,1,0.209039038966,False
workload_185.cpp,xcu200-fsgd2104-2-e,5,175.64048,37,1,1,1,1,unroll_2,unroll_2,1,1,0.174163917382,False
