Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4917.cpp,xcu200-fsgd2104-2-e,3.33,96.42643038,1172,6,7,2,6,block_128_1,block_4_1,complete_1,unroll_2,unroll_2,unroll_8,1,5.25,0.756463600634,False
workload_4637.cpp,xcu200-fsgd2104-2-e,3.33,97.75638243,352,6,3,1,3,block_128_1,block_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,1,3.25,0.783881340462,False
workload_4830.cpp,xcu200-fsgd2104-2-e,3.33,96.42643038,1168,6,7,2,6,block_128_1,cyclic_4_1,complete_1,unroll_2,unroll_2,unroll_8,1,5.25,0.756463600634,False
workload_4273.cpp,xcu200-fsgd2104-2-e,3.33,126.62908083,1534,7,7,2,8,block_128_1,cyclic_64_1,block_2_1,unroll_2,unroll_2,unroll_8,1,6,0.659488379605,False
workload_4435.cpp,xcu200-fsgd2104-2-e,3.33,145.48851585,2732,6,56,19,27,block_16_1,block_2_1,block_4_1,unroll_17,unroll_4,unroll_4,1,27,0.257214270445,False
workload_4414.cpp,xcu200-fsgd2104-2-e,3.33,97.97790402,110,6,7,2,3,block_16_1,block_2_1,complete_1,unroll_4,unroll_2,unroll_4,1,4.5,0.765404689701,False
workload_4251.cpp,xcu200-fsgd2104-2-e,3.33,319.69024974,412,6,1,26,44,block_16_1,cyclic_16_1,complete_1,unroll_2,unroll_32,pipeline_1,1,19.25,0.144543764513,False
workload_4291.cpp,xcu200-fsgd2104-2-e,3.33,306.59615694,631,6,1,27,46,block_16_1,cyclic_32_1,complete_1,unroll_2,unroll_32,pipeline_1,1,20,0.153693350054,False
workload_4222.cpp,xcu200-fsgd2104-2-e,3.33,319.69033299,691,6,1,26,46,block_16_1,cyclic_32_1,cyclic_2_1,unroll_2,unroll_32,pipeline_1,1,19.75,0.142530697387,False
workload_4288.cpp,xcu200-fsgd2104-2-e,3.33,106.27592769,152,5,1,13,21,block_16_1,cyclic_4_1,block_2_1,unroll_17,unroll_2,pipeline_1,1,10,0.642870515931,False
workload_4244.cpp,xcu200-fsgd2104-2-e,3.33,193.06652355,87,5,1,6,11,block_16_1,cyclic_4_1,block_2_1,unroll_2,unroll_8,pipeline_1,1,5.75,0.453881871478,False
workload_4651.cpp,xcu200-fsgd2104-2-e,3.33,4.92713793,1923.5,1,1,12,22,block_2_1,block_128_1,complete_1,unroll_2,pipeline_1,pipeline_1,2,9,0.855371915818,False
workload_4883.cpp,xcu200-fsgd2104-2-e,3.33,4.92713793,2032,1,1,12,22,block_2_1,block_128_1,complete_1,unroll_2,pipeline_1,unroll_64,2,9,0.855371915818,False
workload_4450.cpp,xcu200-fsgd2104-2-e,3.33,126.41084262,93,1,1,1,3,block_2_1,block_16_1,cyclic_4_1,unroll_2,unroll_2,unroll_8,1,1.5,0.674888119547,False
workload_4328.cpp,xcu200-fsgd2104-2-e,3.33,116.6931234,121,1,1,13,22,block_2_1,block_2_1,block_2_1,unroll_17,unroll_2,pipeline_1,1,9.25,0.635491399462,False
workload_4371.cpp,xcu200-fsgd2104-2-e,3.33,97.53814422,60,1,1,1,1,block_2_1,block_2_1,block_4_1,unroll_2,unroll_2,unroll_4,1,1,0.78179912362,False
workload_4570.cpp,xcu200-fsgd2104-2-e,3.33,95.03078742,1081,1,1,13,17,block_2_1,block_2_1,block_4_1,unroll_2,unroll_2,unroll_64,1,8,0.706858558341,False
workload_4418.cpp,xcu200-fsgd2104-2-e,3.33,181.71734742,69,1,1,6,11,block_2_1,block_2_1,block_4_1,unroll_2,unroll_8,pipeline_1,1,4.75,0.490186638709,False
workload_4517.cpp,xcu200-fsgd2104-2-e,3.33,106.05419298,57,1,1,3,6,block_2_1,block_2_1,block_4_1,unroll_4,unroll_2,pipeline_1,1,2.75,0.754181237683,False
workload_4503.cpp,xcu200-fsgd2104-2-e,3.33,4.80984201,1473,1,1,5,14,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,pipeline_1,3,5.25,0.999997901219,False
workload_4922.cpp,xcu200-fsgd2104-2-e,3.33,4.80984201,1662,1,1,5,14,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_32,1,5.25,0.999997901219,False
workload_4542.cpp,xcu200-fsgd2104-2-e,3.33,4.80984201,1668.5,1,1,5,14,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,2,5.25,0.999997901219,False
workload_4834.cpp,xcu200-fsgd2104-2-e,3.33,4.80984201,1591,1,1,5,14,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_64,1,5.25,0.999997901219,False
workload_4751.cpp,xcu200-fsgd2104-2-e,3.33,4.80984201,1506.5,1,1,5,14,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_8,2,5.25,0.999997901219,False
workload_4602.cpp,xcu200-fsgd2104-2-e,3.33,106.05409641,50,1,1,1,3,block_2_1,block_2_1,complete_1,unroll_2,unroll_2,pipeline_1,1,1.5,0.749874711488,False
workload_4866.cpp,xcu200-fsgd2104-2-e,3.33,95.48784657,134,1,1,3,4,block_2_1,block_2_1,complete_1,unroll_2,unroll_2,unroll_16,1,2.25,0.785831580608,False
workload_4808.cpp,xcu200-fsgd2104-2-e,3.33,95.03070417,1175,1,1,13,17,block_2_1,block_2_1,complete_1,unroll_2,unroll_2,unroll_64,1,8,0.706858711322,False
workload_4627.cpp,xcu200-fsgd2104-2-e,3.33,96.20819217,73,1,1,1,2,block_2_1,block_2_1,complete_1,unroll_2,unroll_2,unroll_8,1,1.25,0.786566075233,False
workload_4770.cpp,xcu200-fsgd2104-2-e,3.33,143.61044913,143,1,1,3,5,block_2_1,block_2_1,complete_1,unroll_2,unroll_4,unroll_8,1,2.5,0.614583614946,False
workload_4348.cpp,xcu200-fsgd2104-2-e,3.33,4.80947238,1621,1,1,5,14,block_2_1,block_2_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,3,5.25,0.999999614195,False
workload_4573.cpp,xcu200-fsgd2104-2-e,3.33,4.80947238,1575,1,1,5,14,block_2_1,block_2_1,cyclic_2_1,unroll_2,pipeline_1,unroll_4,1,5.25,0.999999614195,False
workload_4608.cpp,xcu200-fsgd2104-2-e,3.33,4.80947238,1674,1,1,5,14,block_2_1,block_2_1,cyclic_2_1,unroll_2,pipeline_1,unroll_64,1,5.25,0.999999614195,False
workload_4476.cpp,xcu200-fsgd2104-2-e,3.33,111.3736815,43,1,1,1,3,block_2_1,block_2_1,cyclic_2_1,unroll_2,unroll_2,pipeline_1,2,1.5,0.730201724059,False
workload_4477.cpp,xcu200-fsgd2104-2-e,3.33,97.53814422,54,1,1,1,1,block_2_1,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,1,1,0.78179912362,False
workload_4561.cpp,xcu200-fsgd2104-2-e,3.33,96.20827542,83,1,1,1,2,block_2_1,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,1,1.25,0.786565749261,False
workload_4540.cpp,xcu200-fsgd2104-2-e,3.33,4.80992526,1681.5,1,1,5,14,block_2_1,block_2_1,cyclic_4_1,unroll_2,pipeline_1,pipeline_1,2,5.25,0.999997515414,False
workload_4525.cpp,xcu200-fsgd2104-2-e,3.33,116.6931567,47,1,1,1,3,block_2_1,block_2_1,cyclic_4_1,unroll_2,unroll_2,pipeline_1,1,1.5,0.710474555543,False
workload_4564.cpp,xcu200-fsgd2104-2-e,3.33,100.19788182,51,1,1,1,1,block_2_1,block_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,1,1,0.771481075259,False
workload_4441.cpp,xcu200-fsgd2104-2-e,3.33,97.53814422,55,1,1,1,1,block_2_1,block_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_4,1,1,0.78179912362,False
workload_4632.cpp,xcu200-fsgd2104-2-e,3.33,96.20827542,82,1,1,1,2,block_2_1,block_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_8,1,1.25,0.786565749261,False
workload_4687.cpp,xcu200-fsgd2104-2-e,3.33,4.81037814,1783.5,1,1,9,18,block_2_1,block_4_1,block_4_1,unroll_2,pipeline_1,unroll_64,2,7.25,0.921290031564,False
workload_4454.cpp,xcu200-fsgd2104-2-e,3.33,106.0542063,47,1,1,1,3,block_2_1,block_4_1,block_4_1,unroll_2,unroll_2,pipeline_1,1,1.5,0.749874309081,False
workload_4578.cpp,xcu200-fsgd2104-2-e,3.33,4.81029489,1707.5,1,1,9,18,block_2_1,block_4_1,complete_1,unroll_2,pipeline_1,pipeline_1,2,7.25,0.921290031584,False
workload_4921.cpp,xcu200-fsgd2104-2-e,3.33,4.81029489,1610,1,1,9,18,block_2_1,block_4_1,complete_1,unroll_2,pipeline_1,unroll_16,1,7.25,0.921290031584,False
