Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4654.cpp,xcu200-fsgd2104-2-e,3.33,62.25455313,299,4,1,3,6,block_128_1,block_2_2,block_2_2,block_8_1,block_8_1,cyclic_2_1,unroll_32,pipeline_1,unroll_4,pipeline_1,1,3.5,0.807283491704,False
workload_5057.cpp,xcu200-fsgd2104-2-e,3.33,44.52441435,228,5,2,6,5,block_128_1,block_2_2,block_4_2,complete_1,block_2_1,cyclic_2_1,unroll_16,pipeline_1,pipeline_1,unroll_16,1,4.5,0.875427178368,False
workload_4335.cpp,xcu200-fsgd2104-2-e,3.33,49.76255763,366,6,1,3,5,block_128_1,block_32_1,block_2_2,cyclic_4_1,block_8_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_16,1,3.75,0.871772642747,False
workload_4190.cpp,xcu200-fsgd2104-2-e,3.33,49.76233785,434,6,1,3,5,block_128_1,block_32_1,block_2_2,cyclic_4_1,block_8_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,3.75,0.871773617675,False
workload_4492.cpp,xcu200-fsgd2104-2-e,3.33,46.27049652,114,5,1,1,1,block_128_1,block_4_2,block_2_1,complete_1,block_2_1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,2,0.952003187815,False
workload_4954.cpp,xcu200-fsgd2104-2-e,3.33,44.524098,91,5,2,1,2,block_128_1,block_4_2,block_2_2,cyclic_4_1,block_2_1,block_4_1,unroll_2,unroll_16,pipeline_1,unroll_16,1,2.5,0.929335178965,False
workload_4734.cpp,xcu200-fsgd2104-2-e,3.33,46.27114587,343,6,1,5,6,block_128_1,block_4_2,block_4_1,block_8_1,cyclic_2_1,cyclic_2_1,unroll_16,pipeline_1,pipeline_1,unroll_4,1,4.5,0.868109730399,False
workload_4525.cpp,xcu200-fsgd2104-2-e,3.33,49.32572823,217,5,1,1,1,block_128_1,block_4_2,cyclic_2_1,cyclic_8_1,cyclic_2_1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,2,0.935475506358,False
workload_4935.cpp,xcu200-fsgd2104-2-e,3.33,43.65105192,329,6,2,6,7,block_128_1,block_4_2,cyclic_4_2,complete_1,block_2_1,block_2_1,unroll_32,unroll_16,pipeline_1,unroll_4,1,5.25,0.831319301251,False
workload_4977.cpp,xcu200-fsgd2104-2-e,3.33,43.65104526,317,6,2,6,7,block_128_1,block_4_2,cyclic_4_2,complete_1,block_2_1,block_4_1,unroll_32,unroll_16,pipeline_1,unroll_4,1,5.25,0.83131930005,False
workload_4290.cpp,xcu200-fsgd2104-2-e,3.33,188.35298514,2577,3,1,1,5,block_128_1,complete_2,block_16_1,cyclic_8_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_16,unroll_2,1,2.5,0.160442699249,False
workload_4334.cpp,xcu200-fsgd2104-2-e,3.33,49.76327025,754,3,1,5,9,block_128_1,cyclic_16_1,block_2_1,block_8_1,cyclic_4_1,block_8_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,4.5,0.85211084647,False
workload_4361.cpp,xcu200-fsgd2104-2-e,3.33,55.7079363,328,4,1,3,4,block_128_1,cyclic_2_1,cyclic_2_1,block_8_1,cyclic_4_1,block_8_1,unroll_16,unroll_4,unroll_4,pipeline_1,1,3,0.864058324457,False
workload_4446.cpp,xcu200-fsgd2104-2-e,3.33,55.7082027,377,4,1,3,4,block_128_1,cyclic_2_1,cyclic_2_1,complete_1,cyclic_4_1,block_8_1,unroll_16,unroll_4,unroll_4,pipeline_1,1,3,0.864056581827,False
workload_4424.cpp,xcu200-fsgd2104-2-e,3.33,76.84939701,3325,4,1,23,60,block_128_1,cyclic_2_1,cyclic_2_1,complete_1,cyclic_4_1,complete_1,unroll_16,pipeline_1,unroll_8,unroll_4,1,22,0.145504763263,False
workload_4251.cpp,xcu200-fsgd2104-2-e,3.33,46.27152216,320,5,1,4,6,block_128_1,cyclic_4_1,block_2_1,block_8_1,block_8_1,block_2_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,4,0.882041464634,False
workload_4697.cpp,xcu200-fsgd2104-2-e,3.33,55.70810946,162,5,1,1,2,block_128_1,cyclic_4_1,block_2_1,block_8_1,block_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_4,pipeline_1,1,2.25,0.883449574018,False
workload_4377.cpp,xcu200-fsgd2104-2-e,3.33,46.27138563,1245,5,1,2,3,block_128_1,cyclic_4_1,cyclic_2_2,block_8_1,cyclic_2_1,cyclic_2_1,unroll_8,unroll_2,pipeline_1,pipeline_1,1,2.75,0.917925061048,False
workload_5013.cpp,xcu200-fsgd2104-2-e,3.33,76.84905735,834,6,1,6,17,block_128_1,cyclic_4_1,cyclic_4_1,complete_1,block_8_1,complete_1,unroll_2,pipeline_1,unroll_8,unroll_4,1,7.5,0.598937298406,False
workload_4741.cpp,xcu200-fsgd2104-2-e,3.33,49.32464931,705,6,2,1,2,block_128_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,block_4_1,cyclic_4_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,2.75,0.906281337663,False
