Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_1090.cpp,xcu200-fsgd2104-2-e,3.33,403.25309325,97,1,1,3,4,unroll_16,unroll_16,pipeline_1,2,2.25,0.670319925062,False
workload_1277.cpp,xcu200-fsgd2104-2-e,3.33,3482.60138253,175,1,1,1,2,unroll_16,unroll_16,unroll_2,1,1.25,0.169232895204,False
workload_1212.cpp,xcu200-fsgd2104-2-e,3.33,2980.66115853,300,1,1,2,3,unroll_16,unroll_16,unroll_4,1,1.75,0.232589369376,False
workload_1170.cpp,xcu200-fsgd2104-2-e,3.33,403.25309325,98,1,1,3,4,unroll_16,unroll_2,pipeline_1,2,2.25,0.670319925062,False
workload_1093.cpp,xcu200-fsgd2104-2-e,3.33,3482.60138253,171,1,1,1,2,unroll_16,unroll_2,unroll_2,1,1.25,0.169232895204,False
workload_1155.cpp,xcu200-fsgd2104-2-e,3.33,403.25308992,102,1,1,3,4,unroll_16,unroll_32,pipeline_1,2,2.25,0.670319925062,False
workload_1197.cpp,xcu200-fsgd2104-2-e,3.33,3482.6013792,166,1,1,1,2,unroll_16,unroll_32,unroll_2,1,1.25,0.169232895593,False
workload_1218.cpp,xcu200-fsgd2104-2-e,3.33,2980.6611552,283,1,1,2,3,unroll_16,unroll_32,unroll_4,1,1.75,0.232589369904,False
workload_1163.cpp,xcu200-fsgd2104-2-e,3.33,403.25309325,95,1,1,3,4,unroll_16,unroll_4,pipeline_1,2,2.25,0.670319925062,False
workload_1179.cpp,xcu200-fsgd2104-2-e,3.33,3482.60138253,179,1,1,1,2,unroll_16,unroll_4,unroll_2,1,1.25,0.169232895204,False
workload_1139.cpp,xcu200-fsgd2104-2-e,3.33,2980.66115853,289,1,1,2,3,unroll_16,unroll_4,unroll_4,1,1.75,0.232589369376,False
workload_1220.cpp,xcu200-fsgd2104-2-e,3.33,403.25309325,100,1,1,3,4,unroll_16,unroll_8,pipeline_1,2,2.25,0.670319925062,False
workload_1255.cpp,xcu200-fsgd2104-2-e,3.33,3482.60138253,185,1,1,1,2,unroll_16,unroll_8,unroll_2,1,1.25,0.169232895204,False
workload_1231.cpp,xcu200-fsgd2104-2-e,3.33,2980.66115853,279,1,1,2,3,unroll_16,unroll_8,unroll_4,1,1.75,0.232589369376,False
workload_1105.cpp,xcu200-fsgd2104-2-e,3.33,402.91892109,45.5,1,1,1,1,unroll_2,unroll_16,pipeline_1,2,1,0.999999998596,False
workload_1203.cpp,xcu200-fsgd2104-2-e,3.33,1258.39922445,53,1,1,1,1,unroll_2,unroll_16,unroll_2,1,1,0.675398397155,False
workload_1154.cpp,xcu200-fsgd2104-2-e,3.33,4581.67997709,807,1,1,3,4,unroll_2,unroll_16,unroll_32,1,2.25,0.1,False
workload_1243.cpp,xcu200-fsgd2104-2-e,3.33,3402.33868557,66,1,1,1,1,unroll_2,unroll_16,unroll_4,1,1,0.179553961862,False
workload_1118.cpp,xcu200-fsgd2104-2-e,3.33,4076.24799501,98,1,1,1,1,unroll_2,unroll_16,unroll_8,1,1,0.117496602137,False
workload_1126.cpp,xcu200-fsgd2104-2-e,3.33,402.91892109,47,1,1,1,1,unroll_2,unroll_2,pipeline_1,2,1,0.999999998596,False
workload_1103.cpp,xcu200-fsgd2104-2-e,3.33,1258.39922445,51,1,1,1,1,unroll_2,unroll_2,unroll_2,1,1,0.675398397155,False
workload_1198.cpp,xcu200-fsgd2104-2-e,3.33,3402.33868557,64,1,1,1,1,unroll_2,unroll_2,unroll_4,1,1,0.179553961862,False
workload_1252.cpp,xcu200-fsgd2104-2-e,3.33,4076.24799501,100,1,1,1,1,unroll_2,unroll_2,unroll_8,1,1,0.117496602137,False
workload_1216.cpp,xcu200-fsgd2104-2-e,3.33,402.91891776,50.5,1,1,1,1,unroll_2,unroll_32,pipeline_1,2,1,1,True
workload_1270.cpp,xcu200-fsgd2104-2-e,3.33,1258.39922112,52,1,1,1,1,unroll_2,unroll_32,unroll_2,1,1,0.675398398278,False
workload_1269.cpp,xcu200-fsgd2104-2-e,3.33,3402.33868224,63,1,1,1,1,unroll_2,unroll_32,unroll_4,1,1,0.17955396228,False
workload_1281.cpp,xcu200-fsgd2104-2-e,3.33,4076.24799168,97,1,1,1,1,unroll_2,unroll_32,unroll_8,1,1,0.117496602333,False
workload_1098.cpp,xcu200-fsgd2104-2-e,3.33,402.91892109,46.5,1,1,1,1,unroll_2,unroll_4,pipeline_1,2,1,0.999999998596,False
workload_1137.cpp,xcu200-fsgd2104-2-e,3.33,1258.39922445,49,1,1,1,1,unroll_2,unroll_4,unroll_2,1,1,0.675398397155,False
workload_1182.cpp,xcu200-fsgd2104-2-e,3.33,3402.33868557,62,1,1,1,1,unroll_2,unroll_4,unroll_4,1,1,0.179553961862,False
workload_1261.cpp,xcu200-fsgd2104-2-e,3.33,4076.24799501,97,1,1,1,1,unroll_2,unroll_4,unroll_8,1,1,0.117496602137,False
workload_1169.cpp,xcu200-fsgd2104-2-e,3.33,402.91892109,46,1,1,1,1,unroll_2,unroll_8,pipeline_1,2,1,0.999999998596,False
workload_1108.cpp,xcu200-fsgd2104-2-e,3.33,1258.39922445,52,1,1,1,1,unroll_2,unroll_8,unroll_2,1,1,0.675398397155,False
workload_1230.cpp,xcu200-fsgd2104-2-e,3.33,4581.67997709,801,1,1,3,4,unroll_2,unroll_8,unroll_32,1,2.25,0.1,False
workload_1210.cpp,xcu200-fsgd2104-2-e,3.33,3402.33868557,67,1,1,1,1,unroll_2,unroll_8,unroll_4,1,1,0.179553961862,False
workload_1250.cpp,xcu200-fsgd2104-2-e,3.33,4076.24799501,102,1,1,1,1,unroll_2,unroll_8,unroll_8,1,1,0.117496602137,False
workload_1123.cpp,xcu200-fsgd2104-2-e,3.33,403.27696269,195,1,1,6,7,unroll_32,unroll_16,pipeline_1,1,3.75,0.373539149264,False
workload_1168.cpp,xcu200-fsgd2104-2-e,3.33,3641.47296525,525,1,1,3,5,unroll_32,unroll_16,unroll_2,1,2.5,0.137010938949,False
workload_1202.cpp,xcu200-fsgd2104-2-e,3.33,403.27696269,198,1,1,6,7,unroll_32,unroll_2,pipeline_1,1,3.75,0.373539149264,False
workload_1221.cpp,xcu200-fsgd2104-2-e,3.33,403.27695936,189,1,1,6,7,unroll_32,unroll_32,pipeline_1,1,3.75,0.373539149264,False
workload_1200.cpp,xcu200-fsgd2104-2-e,3.33,3641.47296192,505,1,1,3,5,unroll_32,unroll_32,unroll_2,1,2.5,0.13701093922,False
workload_1224.cpp,xcu200-fsgd2104-2-e,3.33,403.27696269,193,1,1,6,7,unroll_32,unroll_4,pipeline_1,2,3.75,0.373539149264,False
workload_1193.cpp,xcu200-fsgd2104-2-e,3.33,403.27696269,194.5,1,1,6,7,unroll_32,unroll_8,pipeline_1,2,3.75,0.373539149264,False
workload_1211.cpp,xcu200-fsgd2104-2-e,3.33,2950.54133517,1114,1,1,4,6,unroll_32,unroll_8,unroll_4,1,3,0.192027468552,False
workload_1174.cpp,xcu200-fsgd2104-2-e,3.33,403.10987661,54.5,1,1,1,1,unroll_4,unroll_16,pipeline_1,2,1,0.999919475313,False
workload_1242.cpp,xcu200-fsgd2104-2-e,3.33,2529.37188621,69,1,1,1,1,unroll_4,unroll_16,unroll_2,1,1,0.32664516708,False
workload_1273.cpp,xcu200-fsgd2104-2-e,3.33,3161.38009869,82,1,1,1,1,unroll_4,unroll_16,unroll_4,1,1,0.212631990472,False
workload_1272.cpp,xcu200-fsgd2104-2-e,3.33,2855.85126669,131,1,1,1,2,unroll_4,unroll_16,unroll_8,1,1.25,0.261716510043,False
workload_1099.cpp,xcu200-fsgd2104-2-e,3.33,403.10987661,53,1,1,1,1,unroll_4,unroll_2,pipeline_1,2,1,0.999919475313,False
workload_1219.cpp,xcu200-fsgd2104-2-e,3.33,2529.37188621,64,1,1,1,1,unroll_4,unroll_2,unroll_2,1,1,0.32664516708,False
workload_1249.cpp,xcu200-fsgd2104-2-e,3.33,3161.38009869,87,1,1,1,1,unroll_4,unroll_2,unroll_4,1,1,0.212631990472,False
workload_1275.cpp,xcu200-fsgd2104-2-e,3.33,2855.85126669,130,1,1,1,2,unroll_4,unroll_2,unroll_8,1,1.25,0.261716510043,False
workload_1185.cpp,xcu200-fsgd2104-2-e,3.33,403.10987328,53.5,1,1,1,1,unroll_4,unroll_32,pipeline_1,2,1,0.999919476717,False
workload_1286.cpp,xcu200-fsgd2104-2-e,3.33,2703.08684736,311,1,1,2,3,unroll_4,unroll_32,unroll_16,1,1.75,0.280156030728,False
workload_1244.cpp,xcu200-fsgd2104-2-e,3.33,2529.37188288,66,1,1,1,1,unroll_4,unroll_32,unroll_2,1,1,0.326645167785,False
workload_1214.cpp,xcu200-fsgd2104-2-e,3.33,2621.46700224,1269,1,1,4,5,unroll_4,unroll_32,unroll_32,1,2.75,0.249069980989,False
workload_1251.cpp,xcu200-fsgd2104-2-e,3.33,3161.38009536,88,1,1,1,1,unroll_4,unroll_32,unroll_4,1,1,0.212631990968,False
workload_1276.cpp,xcu200-fsgd2104-2-e,3.33,2855.85126336,133,1,1,1,2,unroll_4,unroll_32,unroll_8,1,1.25,0.261716510637,False
workload_1209.cpp,xcu200-fsgd2104-2-e,3.33,403.10987661,57,1,1,1,1,unroll_4,unroll_4,pipeline_1,2,1,0.999919475313,False
workload_1085.cpp,xcu200-fsgd2104-2-e,3.33,2529.37188621,62,1,1,1,1,unroll_4,unroll_4,unroll_2,1,1,0.32664516708,False
workload_1239.cpp,xcu200-fsgd2104-2-e,3.33,3161.38009869,89,1,1,1,1,unroll_4,unroll_4,unroll_4,1,1,0.212631990472,False
workload_1268.cpp,xcu200-fsgd2104-2-e,3.33,2855.85126669,125,1,1,1,2,unroll_4,unroll_4,unroll_8,1,1.25,0.261716510043,False
workload_1156.cpp,xcu200-fsgd2104-2-e,3.33,403.10987661,56,1,1,1,1,unroll_4,unroll_8,pipeline_1,2,1,0.999919475313,False
workload_1102.cpp,xcu200-fsgd2104-2-e,3.33,2529.37188621,64,1,1,1,1,unroll_4,unroll_8,unroll_2,1,1,0.32664516708,False
workload_1199.cpp,xcu200-fsgd2104-2-e,3.33,3161.38009869,83,1,1,1,1,unroll_4,unroll_8,unroll_4,1,1,0.212631990472,False
workload_1265.cpp,xcu200-fsgd2104-2-e,3.33,2855.85126669,126,1,1,1,2,unroll_4,unroll_8,unroll_8,1,1.25,0.261716510043,False
workload_1132.cpp,xcu200-fsgd2104-2-e,3.33,3720.90875661,2313,1,1,6,9,unroll_64,unroll_16,unroll_2,1,4.25,0.103135832206,False
workload_1232.cpp,xcu200-fsgd2104-2-e,3.33,403.28889741,633,1,1,12,14,unroll_64,unroll_8,pipeline_1,1,7,0.100397640334,False
workload_1094.cpp,xcu200-fsgd2104-2-e,3.33,403.20535437,67,1,1,1,2,unroll_8,unroll_16,pipeline_1,2,1.25,0.928073877377,False
workload_1189.cpp,xcu200-fsgd2104-2-e,3.33,3164.85821709,89,1,1,1,1,unroll_8,unroll_16,unroll_2,1,1,0.212113724729,False
workload_1195.cpp,xcu200-fsgd2104-2-e,3.33,1641.36051981,2741,1,1,5,7,unroll_8,unroll_16,unroll_32,1,3.5,0.324489023695,False
workload_1245.cpp,xcu200-fsgd2104-2-e,3.33,3040.90080525,132,1,1,1,2,unroll_8,unroll_16,unroll_4,1,1.25,0.230399056497,False
workload_1164.cpp,xcu200-fsgd2104-2-e,3.33,2245.65290253,228,1,1,2,3,unroll_8,unroll_16,unroll_8,1,1.75,0.373522704353,False
workload_1127.cpp,xcu200-fsgd2104-2-e,3.33,403.20535437,67,1,1,1,2,unroll_8,unroll_2,pipeline_1,2,1.25,0.928073877377,False
workload_1238.cpp,xcu200-fsgd2104-2-e,3.33,3164.85821709,99,1,1,1,1,unroll_8,unroll_2,unroll_2,1,1,0.212113724729,False
workload_1113.cpp,xcu200-fsgd2104-2-e,3.33,1641.36051981,2929,1,1,5,7,unroll_8,unroll_2,unroll_32,1,3.5,0.324489023695,False
workload_1260.cpp,xcu200-fsgd2104-2-e,3.33,3040.90080525,125,1,1,1,2,unroll_8,unroll_2,unroll_4,1,1.25,0.230399056497,False
workload_1208.cpp,xcu200-fsgd2104-2-e,3.33,403.20535104,68.5,1,1,1,2,unroll_8,unroll_32,pipeline_1,2,1.25,0.92807387738,False
workload_1217.cpp,xcu200-fsgd2104-2-e,3.33,1848.02894784,610,1,1,3,4,unroll_8,unroll_32,unroll_16,1,2.25,0.429159550804,False
workload_1237.cpp,xcu200-fsgd2104-2-e,3.33,3164.85821376,100,1,1,1,1,unroll_8,unroll_32,unroll_2,1,1,0.212113725225,False
