Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Replicate_Count,Area,Weight,is_pareto
workload_4961.cpp,xcu200-fsgd2104-2-e,3.33,630.95849325,928,5,1,1,7,block_128_1,block_4_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_2,1,3.5,0.585035181604,False
workload_5119.cpp,xcu200-fsgd2104-2-e,3.33,630.95828013,1167,5,1,1,7,block_128_1,block_4_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_4,1,3.5,0.585035183304,False
workload_5000.cpp,xcu200-fsgd2104-2-e,3.33,630.95854653,940,3,1,1,7,block_128_1,block_8_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_8,1,3,0.657731089114,False
workload_4999.cpp,xcu200-fsgd2104-2-e,3.33,630.95886621,593,3,1,1,6,block_128_1,block_8_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_2,2,2.75,0.695967452611,False
workload_5032.cpp,xcu200-fsgd2104-2-e,3.33,630.95849325,935,3,1,1,7,block_128_1,block_8_1,block_2_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_2,1,3,0.657731089683,False
workload_4994.cpp,xcu200-fsgd2104-2-e,3.33,686.82720861,500,3,1,1,5,block_128_1,block_8_1,block_8_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,1,2.5,0.734220055146,False
workload_5058.cpp,xcu200-fsgd2104-2-e,3.33,686.82699549,630,3,1,1,6,block_128_1,block_8_1,block_8_1,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_2,1,2.75,0.69494113921,False
workload_5039.cpp,xcu200-fsgd2104-2-e,3.33,686.82662253,986,3,1,1,7,block_128_1,block_8_1,block_8_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_2,1,3,0.656861650727,False
workload_4897.cpp,xcu200-fsgd2104-2-e,3.33,687.20890653,997,3,1,2,9,block_128_1,block_8_1,block_8_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_2,1,3.75,0.550007878726,False
workload_4977.cpp,xcu200-fsgd2104-2-e,3.33,687.20837373,1591,3,1,2,10,block_128_1,block_8_1,block_8_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_8,1,4,0.516887970694,False
workload_5155.cpp,xcu200-fsgd2104-2-e,3.33,630.95796045,1721,5,1,1,8,block_128_1,cyclic_2_1,block_4_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_8,1,3.75,0.550582063838,False
workload_4543.cpp,xcu200-fsgd2104-2-e,3.33,630.30437469,356,2,1,6,9,block_16_1,block_64_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_2,1,4.5,0.454824479467,False
workload_4546.cpp,xcu200-fsgd2104-2-e,3.33,572.41757277,209,3,1,5,5,block_2_1,block_16_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_2,1,3.5,0.585277772661,False
workload_4455.cpp,xcu200-fsgd2104-2-e,3.33,572.41735965,225,3,1,5,5,block_2_1,block_16_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,1,3.5,0.585277772727,False
workload_4664.cpp,xcu200-fsgd2104-2-e,3.33,572.41682685,268,3,1,5,6,block_2_1,block_16_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_8,1,3.75,0.550794632016,False
workload_4632.cpp,xcu200-fsgd2104-2-e,3.33,572.39008029,378,3,1,10,9,block_2_1,block_16_1,block_2_1,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_2,1,5.75,0.320675527276,False
workload_4548.cpp,xcu200-fsgd2104-2-e,3.33,572.38970733,396,3,1,10,10,block_2_1,block_16_1,block_2_1,unroll_32,unroll_2,pipeline_1,unroll_8,unroll_2,1,6,0.297628901566,False
workload_4680.cpp,xcu200-fsgd2104-2-e,3.33,572.58098919,440,3,1,3,7,block_2_1,block_16_1,block_2_1,unroll_4,unroll_16,pipeline_1,unroll_4,unroll_2,1,3.5,0.585277720615,False
workload_4616.cpp,xcu200-fsgd2104-2-e,3.33,572.58071613,145,3,1,1,2,block_2_1,block_16_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_8,1,1.75,0.862239075811,False
workload_4555.cpp,xcu200-fsgd2104-2-e,3.33,572.58103581,124,3,1,1,2,block_2_1,block_16_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_2,1,1.75,0.862239075372,False
workload_4590.cpp,xcu200-fsgd2104-2-e,3.33,572.58050301,159,3,1,1,2,block_2_1,block_16_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_8,1,1.75,0.862239076104,False
