Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_5120.cpp,xcu200-fsgd2104-2-e,3.33,7611.25286493,219,3,1,1,3,block_16_1,block_16_1,block_4_1,block_16_2,cyclic_8_1,block_8_1,complete_1,complete_1,cyclic_8_1,cyclic_2_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_8,unroll_8,unroll_4,unroll_4,pipeline_1,1,2,0.458688130671,False
workload_5537.cpp,xcu200-fsgd2104-2-e,3.33,4248.68898141,207,1,1,1,2,block_16_1,block_2_1,block_2_1,cyclic_8_1,complete_1,cyclic_4_1,complete_1,block_4_1,block_2_1,complete_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_8,unroll_8,unroll_4,unroll_8,pipeline_1,1,1.25,0.716872078446,False
workload_5091.cpp,xcu200-fsgd2104-2-e,3.33,796.33375245,1589,3,1,2,5,block_16_1,block_32_1,block_4_1,cyclic_4_1,cyclic_8_1,complete_1,complete_1,block_4_1,cyclic_4_1,block_8_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_8,unroll_2,unroll_64,1,2.75,0.942246357679,False
workload_5061.cpp,xcu200-fsgd2104-2-e,3.33,796.33465821,1592,3,1,2,4,block_16_1,block_32_1,block_4_1,cyclic_4_1,cyclic_8_1,complete_1,complete_1,block_4_1,cyclic_8_1,block_4_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_64,1,2.5,0.956336079752,False
workload_5013.cpp,xcu200-fsgd2104-2-e,3.33,796.33465821,1490,3,1,2,4,block_16_1,block_32_1,cyclic_4_1,cyclic_4_1,block_4_1,complete_1,complete_1,block_4_1,cyclic_8_1,block_4_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_64,1,2.5,0.956336079752,False
workload_4959.cpp,xcu200-fsgd2104-2-e,3.33,796.33465821,1528,3,1,2,4,block_16_1,block_32_1,cyclic_4_1,cyclic_4_1,block_4_1,complete_1,complete_1,block_4_1,cyclic_8_1,block_8_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_64,1,2.5,0.956336079752,False
workload_5089.cpp,xcu200-fsgd2104-2-e,3.33,796.33465821,1449,3,1,2,4,block_16_1,block_32_1,cyclic_4_1,cyclic_4_1,block_4_1,complete_1,complete_1,cyclic_8_1,cyclic_8_1,block_8_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_4,unroll_2,unroll_64,1,2.5,0.956336079752,False
workload_5126.cpp,xcu200-fsgd2104-2-e,3.33,6856.21601757,1691,3,1,26,43,block_16_1,block_4_1,cyclic_4_1,block_16_2,block_4_1,complete_1,block_8_1,complete_1,cyclic_8_1,block_4_1,unroll_64,unroll_8,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_4,unroll_2,unroll_64,1,18.25,0.193482469871,False
workload_5648.cpp,xcu200-fsgd2104-2-e,3.33,1947.62253789,165,3,1,1,2,block_16_1,block_4_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,block_8_1,complete_1,block_4_1,cyclic_8_1,complete_1,unroll_8,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_8,unroll_4,unroll_2,pipeline_1,1,1.75,0.90669260214,False
workload_5363.cpp,xcu200-fsgd2104-2-e,3.33,5879.34085725,155,3,1,1,2,block_16_1,block_4_1,cyclic_4_1,cyclic_8_1,complete_1,block_8_1,complete_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_4,unroll_4,pipeline_1,1,1.75,0.582944092141,False
