Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_673.cpp,xcu200-fsgd2104-2-e,3.33,278.25095052,86.5,0,0,1,1,pipeline_1,pipeline_1,pipeline_1,8,0.5,0.964720770343,False
workload_674.cpp,xcu200-fsgd2104-2-e,3.33,278.25095052,89,0,0,1,1,pipeline_1,pipeline_1,unroll_16,4,0.5,0.964720770343,False
workload_641.cpp,xcu200-fsgd2104-2-e,3.33,278.25093387,87.5,0,0,1,1,pipeline_1,pipeline_1,unroll_2,4,0.5,0.964720776613,False
workload_642.cpp,xcu200-fsgd2104-2-e,3.33,278.25093387,88,0,0,1,2,pipeline_1,pipeline_1,unroll_34,4,0.75,0.935635976935,False
workload_656.cpp,xcu200-fsgd2104-2-e,3.33,278.25095052,87,0,0,1,1,pipeline_1,pipeline_1,unroll_4,4,0.5,0.964720770343,False
workload_658.cpp,xcu200-fsgd2104-2-e,3.33,278.25095052,87.5,0,0,1,1,pipeline_1,pipeline_1,unroll_8,4,0.5,0.964720770343,False
workload_639.cpp,xcu200-fsgd2104-2-e,3.33,46.37630394,79,0,0,1,2,pipeline_1,unroll_5,pipeline_1,4,0.75,1,True
workload_671.cpp,xcu200-fsgd2104-2-e,3.33,46.37630394,81.5,0,0,1,2,pipeline_1,unroll_5,unroll_16,2,0.75,1,True
workload_660.cpp,xcu200-fsgd2104-2-e,3.33,46.37630394,82,0,0,1,2,pipeline_1,unroll_5,unroll_2,2,0.75,1,True
workload_712.cpp,xcu200-fsgd2104-2-e,3.33,185.50150947,81,0,0,1,1,pipeline_1,unroll_5,unroll_34,2,0.5,1,True
workload_640.cpp,xcu200-fsgd2104-2-e,3.33,46.37630394,83,0,0,1,2,pipeline_1,unroll_5,unroll_4,2,0.75,1,True
workload_654.cpp,xcu200-fsgd2104-2-e,3.33,46.37630394,80,0,0,1,2,pipeline_1,unroll_5,unroll_8,2,0.75,1,True
workload_691.cpp,xcu200-fsgd2104-2-e,3.33,609.77894733,151,0,0,4,3,unroll_16,pipeline_1,pipeline_1,3,1.75,0.713178378848,False
workload_655.cpp,xcu200-fsgd2104-2-e,3.33,609.77894733,161,0,0,4,3,unroll_16,pipeline_1,unroll_16,2,1.75,0.713178378848,False
workload_652.cpp,xcu200-fsgd2104-2-e,3.33,609.77894733,152,0,0,4,3,unroll_16,pipeline_1,unroll_2,1,1.75,0.713178378848,False
workload_661.cpp,xcu200-fsgd2104-2-e,3.33,1456.80307533,145.5,0,0,1,4,unroll_16,unroll_5,pipeline_1,2,1.25,0.589767714135,False
workload_662.cpp,xcu200-fsgd2104-2-e,3.33,4199.82797133,159,0,0,1,3,unroll_16,unroll_5,unroll_2,1,1,0.129686665124,False
workload_759.cpp,xcu200-fsgd2104-2-e,3.33,529.39010331,1958,0,0,3,2,unroll_16,unroll_5,unroll_34,1,1.25,0.800976944018,False
workload_665.cpp,xcu200-fsgd2104-2-e,3.33,2904.05837133,1154,0,0,6,10,unroll_16,unroll_5,unroll_8,1,4,0.177136992356,False
workload_668.cpp,xcu200-fsgd2104-2-e,3.33,610.37568333,62,0,0,0,0,unroll_2,pipeline_1,pipeline_1,4,0,0.902526639523,False
workload_650.cpp,xcu200-fsgd2104-2-e,3.33,610.37568333,61.5,0,0,0,0,unroll_2,pipeline_1,unroll_16,2,0,0.902526639523,False
workload_648.cpp,xcu200-fsgd2104-2-e,3.33,610.37568333,61,0,0,0,0,unroll_2,pipeline_1,unroll_2,2,0,0.902526639523,False
workload_681.cpp,xcu200-fsgd2104-2-e,3.33,600.82790733,63,0,0,0,0,unroll_2,pipeline_1,unroll_34,2,0,1,True
workload_633.cpp,xcu200-fsgd2104-2-e,3.33,610.37568333,61,0,0,0,0,unroll_2,pipeline_1,unroll_4,2,0,0.902526639523,False
workload_649.cpp,xcu200-fsgd2104-2-e,3.33,610.37568333,60.5,0,0,0,0,unroll_2,pipeline_1,unroll_8,2,0,0.902526639523,False
workload_723.cpp,xcu200-fsgd2104-2-e,3.33,1457.39981133,57.5,0,0,0,0,unroll_2,unroll_5,pipeline_1,2,0,0.632861893564,False
workload_677.cpp,xcu200-fsgd2104-2-e,3.33,2345.34297933,99,0,0,1,2,unroll_2,unroll_5,unroll_16,1,0.75,0.399922496585,False
workload_682.cpp,xcu200-fsgd2104-2-e,3.33,4200.33945933,58,0,0,0,0,unroll_2,unroll_5,unroll_2,1,0,0.131252270874,False
workload_731.cpp,xcu200-fsgd2104-2-e,3.33,386.68610349,120,0,0,1,0,unroll_2,unroll_5,unroll_34,1,0.25,1,True
workload_669.cpp,xcu200-fsgd2104-2-e,3.33,4023.02361933,65,0,0,0,1,unroll_2,unroll_5,unroll_4,1,0.25,0.145430834852,False
workload_635.cpp,xcu200-fsgd2104-2-e,3.33,2904.56985933,74,0,0,0,1,unroll_2,unroll_5,unroll_8,1,0.25,0.293027092812,False
workload_663.cpp,xcu200-fsgd2104-2-e,3.33,609.73632333,317,0,0,8,6,unroll_32,pipeline_1,pipeline_1,1,3.5,0.460046740336,False
workload_700.cpp,xcu200-fsgd2104-2-e,3.33,609.73632333,317.5,0,0,8,6,unroll_32,pipeline_1,unroll_16,2,3.5,0.460046740336,False
workload_699.cpp,xcu200-fsgd2104-2-e,3.33,609.73632333,325,0,0,8,6,unroll_32,pipeline_1,unroll_4,1,3.5,0.460046740336,False
workload_698.cpp,xcu200-fsgd2104-2-e,3.33,609.73632333,326,0,0,8,6,unroll_32,pipeline_1,unroll_8,1,3.5,0.460046740336,False
workload_697.cpp,xcu200-fsgd2104-2-e,3.33,1456.76045133,318,0,0,3,8.5,unroll_32,unroll_5,pipeline_1,2,2.875,0.428655541018,False
workload_689.cpp,xcu200-fsgd2104-2-e,3.33,610.03469133,71,0,0,1,1,unroll_4,pipeline_1,pipeline_1,4,0.5,0.87236328737,False
workload_711.cpp,xcu200-fsgd2104-2-e,3.33,610.03469133,70.5,0,0,1,1,unroll_4,pipeline_1,unroll_16,2,0.5,0.87236328737,False
workload_637.cpp,xcu200-fsgd2104-2-e,3.33,610.03469133,69,0,0,1,1,unroll_4,pipeline_1,unroll_2,2,0.5,0.87236328737,False
workload_685.cpp,xcu200-fsgd2104-2-e,3.33,600.48691533,70.5,0,0,1,1,unroll_4,pipeline_1,unroll_34,2,0.5,0.875486379362,False
workload_636.cpp,xcu200-fsgd2104-2-e,3.33,610.03469133,69,0,0,1,1,unroll_4,pipeline_1,unroll_4,2,0.5,0.87236328737,False
workload_638.cpp,xcu200-fsgd2104-2-e,3.33,610.03469133,69,0,0,1,1,unroll_4,pipeline_1,unroll_8,2,0.5,0.87236328737,False
workload_634.cpp,xcu200-fsgd2104-2-e,3.33,1457.05881933,72,0,0,0,1,unroll_4,unroll_5,pipeline_1,2,0.25,0.634726543473,False
