Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4844.cpp,xcu200-fsgd2104-2-e,3.33,3863.44903032,1118,6,36,18,29,block_16_1,block_16_1,block_32_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_8,unroll_8,unroll_8,pipeline_1,pipeline_1,1,22.25,0.302243000266,False
workload_4773.cpp,xcu200-fsgd2104-2-e,3.33,3627.56275605,2851,6,39,22,51,block_16_1,block_16_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.5,0.239168292147,False
workload_4800.cpp,xcu200-fsgd2104-2-e,3.33,66.99185775,162,6,2,4,6,block_16_1,block_2_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.9411340415,False
workload_4900.cpp,xcu200-fsgd2104-2-e,3.33,70.05559428,184,5,2,4,7,block_16_1,block_32_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_4,unroll_34,pipeline_1,unroll_34,1,4.5,0.940943173343,False
workload_4845.cpp,xcu200-fsgd2104-2-e,3.33,70.05539448,203,5,2,4,8,block_16_1,block_64_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_16,unroll_8,pipeline_1,unroll_34,1,4.75,0.932802097024,False
workload_4810.cpp,xcu200-fsgd2104-2-e,3.33,3624.5884833,2688,5,39,22,51,block_16_1,cyclic_128_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_64,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.25,0.24200774311,False
workload_4871.cpp,xcu200-fsgd2104-2-e,3.33,3624.5884833,2561,6,39,22,51,block_16_1,cyclic_16_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_64,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.5,0.239314295763,False
workload_4757.cpp,xcu200-fsgd2104-2-e,3.33,94.36172382,299,5,2,4,8,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,4.75,0.931579144065,False
workload_4856.cpp,xcu200-fsgd2104-2-e,3.33,462.32077644,153,5,1,2,5,block_16_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,3.25,0.909836540754,False
workload_4909.cpp,xcu200-fsgd2104-2-e,3.33,3090.82614993,354,1,8,11,15,block_2_1,block_16_1,block_32_1,pipeline_1,unroll_16,pipeline_1,unroll_64,unroll_8,unroll_8,unroll_8,pipeline_1,pipeline_1,1,8.75,0.487706932345,False
workload_4918.cpp,xcu200-fsgd2104-2-e,3.33,66.99170124,89,1,1,3,5,block_2_1,block_2_1,block_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,2.5,0.978674498055,False
workload_5025.cpp,xcu200-fsgd2104-2-e,3.33,560.94162687,1508,1,1,37,54,block_2_1,cyclic_128_1,block_128_1,pipeline_1,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_34,1,23.25,0.487679268038,False
workload_4859.cpp,xcu200-fsgd2104-2-e,3.33,530.88659199,1321,1,1,37,52,block_2_1,cyclic_4_1,block_128_1,pipeline_1,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_34,1,22.75,0.500099237723,False
workload_4774.cpp,xcu200-fsgd2104-2-e,3.33,3453.48845793,1746,1,1,48,72,block_2_1,cyclic_4_1,block_128_1,unroll_5,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_4,unroll_8,pipeline_1,unroll_34,1,30.5,0.236552414832,False
workload_4804.cpp,xcu200-fsgd2104-2-e,3.33,3453.49899072,1488,1,1,48,72,block_2_1,cyclic_4_1,block_128_1,unroll_5,unroll_16,unroll_64,unroll_64,unroll_8,unroll_4,unroll_8,pipeline_1,unroll_34,1,30.5,0.236551929989,False
workload_4874.cpp,xcu200-fsgd2104-2-e,3.33,3111.00245343,3124,1,14,34,57,block_2_1,cyclic_4_1,block_64_1,pipeline_1,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_4,unroll_8,unroll_5,unroll_34,1,26.5,0.302633659662,False
workload_4964.cpp,xcu200-fsgd2104-2-e,3.33,89.69076945,102,1,8,6,8,block_2_1,cyclic_8_1,block_32_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_8,unroll_16,pipeline_1,pipeline_1,unroll_34,1,5.75,0.917850928905,False
workload_5047.cpp,xcu200-fsgd2104-2-e,3.33,44.62359507,405,11,2,4,7,block_32_1,block_4_1,cyclic_2_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_2,unroll_2,pipeline_1,unroll_8,1,6,0.919368810143,False
workload_5078.cpp,xcu200-fsgd2104-2-e,3.33,44.62359507,404,11,2,4,7,block_32_1,cyclic_8_1,cyclic_2_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_2,unroll_2,pipeline_1,unroll_8,1,6,0.919368810143,False
workload_4861.cpp,xcu200-fsgd2104-2-e,3.33,1296.22556691,328,1,9,6,16,block_4_1,block_32_1,block_8_1,pipeline_1,unroll_16,pipeline_1,unroll_8,unroll_32,unroll_8,unroll_2,pipeline_1,pipeline_1,1,8,0.732161615833,False
workload_4881.cpp,xcu200-fsgd2104-2-e,3.33,66.96313983,145,1,2,4,7,block_4_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_4,pipeline_1,unroll_2,1,3.5,0.958646377905,False
workload_4824.cpp,xcu200-fsgd2104-2-e,3.33,67.00084209,166,1,3,5,9,block_4_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_2,1,4.5,0.94113349783,False
