Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4843.cpp,xcu200-fsgd2104-2-e,3.33,3863.44903032,1310,6,36,18,29,block_16_1,block_16_1,block_32_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_8,unroll_8,unroll_8,pipeline_1,pipeline_1,1,22.25,0.226005559532,False
workload_4772.cpp,xcu200-fsgd2104-2-e,3.33,3627.56275605,3074,6,39,22,51,block_16_1,block_16_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.5,0.143851173056,False
workload_4799.cpp,xcu200-fsgd2104-2-e,3.33,66.99185775,186,6,2,4,6,block_16_1,block_2_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.91602001334,False
workload_4899.cpp,xcu200-fsgd2104-2-e,3.33,70.05559428,201,5,2,4,7,block_16_1,block_32_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_4,unroll_34,pipeline_1,unroll_34,1,4.5,0.915877024203,False
workload_4844.cpp,xcu200-fsgd2104-2-e,3.33,70.05539448,231,5,2,4,8,block_16_1,block_64_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_16,unroll_8,pipeline_1,unroll_34,1,4.75,0.903873331259,False
workload_4809.cpp,xcu200-fsgd2104-2-e,3.33,3624.5884833,3015,5,39,22,51,block_16_1,cyclic_128_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_64,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.25,0.146427222883,False
workload_4871.cpp,xcu200-fsgd2104-2-e,3.33,3624.5884833,2911,6,39,22,51,block_16_1,cyclic_16_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_64,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.5,0.143915474003,False
workload_4756.cpp,xcu200-fsgd2104-2-e,3.33,94.36172382,320,5,2,4,8,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,4.75,0.903000039493,False
workload_4855.cpp,xcu200-fsgd2104-2-e,3.33,462.32077644,175,5,1,2,5,block_16_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,3.25,0.898020929835,False
workload_4907.cpp,xcu200-fsgd2104-2-e,3.33,3090.82614993,408,1,8,11,15,block_2_1,block_16_1,block_32_1,pipeline_1,unroll_16,pipeline_1,unroll_64,unroll_8,unroll_8,unroll_8,pipeline_1,pipeline_1,1,8.75,0.469847207977,False
workload_4918.cpp,xcu200-fsgd2104-2-e,3.33,66.99170124,97,1,1,3,5,block_2_1,block_2_1,block_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,2.5,0.970707724134,False
workload_5024.cpp,xcu200-fsgd2104-2-e,3.33,560.94162687,1743,1,1,37,54,block_2_1,cyclic_128_1,block_128_1,pipeline_1,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_34,1,23.25,0.329540897055,False
workload_4857.cpp,xcu200-fsgd2104-2-e,3.33,530.88659199,1497,1,1,37,52,block_2_1,cyclic_4_1,block_128_1,pipeline_1,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_34,1,22.75,0.343226767802,False
workload_4773.cpp,xcu200-fsgd2104-2-e,3.33,3453.48845793,1911,1,1,48,72,block_2_1,cyclic_4_1,block_128_1,unroll_5,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_4,unroll_8,pipeline_1,unroll_34,1,30.5,0.137687450203,False
workload_4803.cpp,xcu200-fsgd2104-2-e,3.33,3453.49899072,1693,1,1,48,72,block_2_1,cyclic_4_1,block_128_1,unroll_5,unroll_16,unroll_64,unroll_64,unroll_8,unroll_4,unroll_8,pipeline_1,unroll_34,1,30.5,0.137687253391,False
workload_4873.cpp,xcu200-fsgd2104-2-e,3.33,3111.00245343,3340,1,14,34,57,block_2_1,cyclic_4_1,block_64_1,pipeline_1,unroll_16,unroll_64,pipeline_1,unroll_8,unroll_4,unroll_8,unroll_5,unroll_34,1,26.5,0.194257224486,False
workload_4963.cpp,xcu200-fsgd2104-2-e,3.33,89.69076945,114,1,8,6,8,block_2_1,cyclic_8_1,block_32_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_8,unroll_16,pipeline_1,pipeline_1,unroll_34,1,5.75,0.883873287589,False
workload_5046.cpp,xcu200-fsgd2104-2-e,3.33,44.62359507,475,11,2,4,7,block_32_1,block_4_1,cyclic_2_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_2,unroll_2,pipeline_1,unroll_8,1,6,0.884735484787,False
workload_5077.cpp,xcu200-fsgd2104-2-e,3.33,44.62359507,466,11,2,4,7,block_32_1,cyclic_8_1,cyclic_2_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_2,unroll_2,pipeline_1,unroll_8,1,6,0.884735484787,False
