Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4836.cpp,xcu200-fsgd2104-2-e,3.33,66.98930031,443,5,2,4,7,block_16_1,block_16_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.843632068461,False
workload_4864.cpp,xcu200-fsgd2104-2-e,3.33,70.41829122,362,6,2,4,6,block_16_1,block_2_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,pipeline_1,pipeline_1,unroll_5,unroll_4,1,4.5,0.843432463202,False
workload_4892.cpp,xcu200-fsgd2104-2-e,3.33,66.99697263,383,6,2,4,6,block_16_1,block_2_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_16,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.843631643602,False
workload_4776.cpp,xcu200-fsgd2104-2-e,3.33,66.99185775,380,6,2,4,6,block_16_1,block_2_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.843631926852,False
workload_4826.cpp,xcu200-fsgd2104-2-e,3.33,66.96531099,439,6,2,4,7,block_16_1,block_2_1,cyclic_128_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_4,pipeline_1,pipeline_1,unroll_34,1,4.75,0.824745912593,False
workload_4847.cpp,xcu200-fsgd2104-2-e,3.33,66.99170124,443,5,2,4,7,block_16_1,block_32_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_32,pipeline_1,unroll_4,unroll_5,unroll_4,1,4.5,0.843631935519,False
workload_4777.cpp,xcu200-fsgd2104-2-e,3.33,67.00345947,574,5,3,5,10,block_16_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_8,unroll_2,pipeline_1,pipeline_1,1,5.75,0.801150912369,False
workload_4829.cpp,xcu200-fsgd2104-2-e,3.33,432.73345005,1097,5,5,6,15,block_16_1,block_64_1,cyclic_128_1,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,7.75,0.673220589927,False
workload_4794.cpp,xcu200-fsgd2104-2-e,3.33,3633.44486805,2035,5,33,13,24,block_16_1,block_64_1,cyclic_128_1,pipeline_1,unroll_16,unroll_4,unroll_2,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,18.75,0.110921717741,False
workload_4727.cpp,xcu200-fsgd2104-2-e,3.33,94.36172382,644,5,2,4,8,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,4.75,0.823655243655,False
