Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_121.cpp,xcu200-fsgd2104-2-e,3.33,13.96716885,45,1,1,1,1,pipeline_1,pipeline_1,4,1,0.927228731202,False
workload_122.cpp,xcu200-fsgd2104-2-e,3.33,6.98364936,46.5,1,1,1,1,pipeline_1,unroll_2,2,1,1,True
workload_128.cpp,xcu200-fsgd2104-2-e,3.33,125.92152909,60.5,1,1,1,1,unroll_16,pipeline_1,2,1,0.179357196443,False
workload_135.cpp,xcu200-fsgd2104-2-e,3.33,13.53061251,49,1,1,1,1,unroll_16,unroll_2,1,1,0.931687955258,False
workload_125.cpp,xcu200-fsgd2104-2-e,3.33,127.44917325,48,1,1,1,1,unroll_2,pipeline_1,2,1,0.174604027825,False
workload_120.cpp,xcu200-fsgd2104-2-e,3.33,52.37642115,47,1,1,1,1,unroll_2,unroll_2,1,1,0.581816395499,False
workload_129.cpp,xcu200-fsgd2104-2-e,3.33,125.81241165,81.5,1,1,1,3,unroll_32,pipeline_1,2,1.5,0.162825140526,False
workload_140.cpp,xcu200-fsgd2104-2-e,3.33,10.69355907,53,1,1,1,1,unroll_32,unroll_2,1,1,0.960959227583,False
workload_126.cpp,xcu200-fsgd2104-2-e,3.33,126.57623373,48,1,1,1,1,unroll_4,pipeline_1,2,1,0.17730215146,False
workload_124.cpp,xcu200-fsgd2104-2-e,3.33,29.67999363,48,1,1,1,1,unroll_4,unroll_2,1,1,0.774709230206,False
workload_142.cpp,xcu200-fsgd2104-2-e,3.33,125.75785293,162,1,1,2,6.5,unroll_64,pipeline_1,2,2.625,0.1,False
workload_136.cpp,xcu200-fsgd2104-2-e,3.33,9.87517827,63,1,1,1,1,unroll_64,unroll_2,1,1,0.96949693978,False
workload_127.cpp,xcu200-fsgd2104-2-e,3.33,126.13976397,51.5,1,1,1,1,unroll_8,pipeline_1,2,1,0.178669185996,False
workload_123.cpp,xcu200-fsgd2104-2-e,3.33,18.33177987,48,1,1,1,1,unroll_8,unroll_2,1,1,0.883305205386,False
workload_106.cpp,xcu200-fsgd2104-2-e,5,20.971685,45,1,1,1,1,pipeline_1,pipeline_1,4,1,0.917838763707,False
workload_110.cpp,xcu200-fsgd2104-2-e,5,10.48593,46.5,1,1,1,1,pipeline_1,unroll_2,2,1,1,True
workload_104.cpp,xcu200-fsgd2104-2-e,5,168.099845,60,1,1,1,1.5,unroll_16,pipeline_1,2,1.125,0.1786615343,False
