Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4498.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,610,0,0,1,3,block_128_1,block_2_1,complete_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,1,0.814859835433,False
workload_3853.cpp,xcu200-fsgd2104-2-e,3.33,26.484886935,95.5,0,0,0,1,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_2,2,0.25,0.8163464604,False
workload_3937.cpp,xcu200-fsgd2104-2-e,3.33,14.28078825,160,0,0,0,2,block_128_1,block_4_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,1,0.5,0.894301137298,False
workload_3886.cpp,xcu200-fsgd2104-2-e,3.33,14.50072809,133.5,0,0,0,2,block_128_1,block_4_1,complete_1,pipeline_1,pipeline_1,unroll_32,unroll_4,pipeline_1,2,0.5,0.892837172368,False
workload_3978.cpp,xcu200-fsgd2104-2-e,3.33,15.33273858,118,0,0,0,3,block_128_1,block_4_1,complete_1,unroll_8,pipeline_1,unroll_8,unroll_4,pipeline_1,1,0.75,0.846716722844,False
workload_4396.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,510,0,0,1,3,block_128_1,block_8_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,1,0.814859835433,False
workload_3910.cpp,xcu200-fsgd2104-2-e,3.33,80.87992578,98,0,0,0,2,block_128_1,cyclic_4_1,complete_1,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,1,0.5,0.356349165528,False
workload_4021.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,576,0,0,1,3,block_128_1,cyclic_4_1,complete_1,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,1,0.815605938553,False
workload_4072.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,565,0,0,0,2,block_16_1,block_128_1,complete_1,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,0.5,0.91629327575,False
workload_3967.cpp,xcu200-fsgd2104-2-e,3.33,8.75671785,627,0,0,0,2,block_16_1,block_16_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,0.5,0.916293270921,False
workload_3950.cpp,xcu200-fsgd2104-2-e,3.33,80.89804098,101,0,0,0,2,block_16_1,block_16_1,complete_1,unroll_8,unroll_16,pipeline_1,unroll_64,pipeline_1,1,0.5,0.356235372111,False
workload_4085.cpp,xcu200-fsgd2104-2-e,3.33,8.75671785,540,0,0,0,2,block_16_1,block_2_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,0.5,0.916293270921,False
workload_4034.cpp,xcu200-fsgd2104-2-e,3.33,14.46684201,72,0,0,0,0,block_16_1,block_2_1,complete_1,unroll_8,pipeline_1,unroll_2,unroll_32,pipeline_1,1,0,0.957183482741,False
workload_3920.cpp,xcu200-fsgd2104-2-e,3.33,77.41310274,119,0,0,0,2,block_16_1,block_32_1,complete_1,pipeline_1,unroll_16,pipeline_1,unroll_64,pipeline_1,1,0.5,0.378581245042,False
workload_3997.cpp,xcu200-fsgd2104-2-e,3.33,10.78220034,548,0,4,2,5,block_16_1,block_32_1,complete_1,unroll_64,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,2.75,0.51193234434,False
workload_3999.cpp,xcu200-fsgd2104-2-e,3.33,11.09591298,576,0,3,3,5,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,unroll_16,pipeline_1,pipeline_1,1,2.75,0.511830879482,False
workload_3927.cpp,xcu200-fsgd2104-2-e,3.33,11.09591298,553,0,3,3,5,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,unroll_32,pipeline_1,pipeline_1,1,2.75,0.511830879482,False
workload_3952.cpp,xcu200-fsgd2104-2-e,3.33,11.09591298,715,0,3,3,5,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,unroll_64,pipeline_1,pipeline_1,1,2.75,0.511830879482,False
workload_3888.cpp,xcu200-fsgd2104-2-e,3.33,11.05501059,1109,0,3,3,5,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,unroll_8,pipeline_1,pipeline_1,1,2.75,0.511845020874,False
workload_3896.cpp,xcu200-fsgd2104-2-e,3.33,80.65338921,106,0,0,0,3,block_16_1,block_4_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_32,pipeline_1,1,0.75,0.352920109009,False
workload_3861.cpp,xcu200-fsgd2104-2-e,3.33,80.58423177,119,0,0,0,3,block_16_1,block_4_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_64,pipeline_1,1,0.75,0.353347161589,False
workload_4110.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,656,0,0,0,2,block_16_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,0.5,0.91629327575,False
workload_3914.cpp,xcu200-fsgd2104-2-e,3.33,80.63037225,300,0,0,2,8,block_16_1,block_64_1,complete_1,unroll_8,unroll_64,unroll_32,unroll_32,pipeline_1,1,2.5,0.279122467076,False
workload_4048.cpp,xcu200-fsgd2104-2-e,3.33,8.75671785,540,0,0,0,2,block_16_1,block_8_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,0.5,0.916293270921,False
workload_4202.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,523,0,0,0,2,block_16_1,cyclic_128_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,0.5,0.915191305622,False
workload_4005.cpp,xcu200-fsgd2104-2-e,3.33,11.04136425,593,0,3,3,6,block_16_1,cyclic_128_1,complete_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_2,1,3,0.475293596645,False
workload_4009.cpp,xcu200-fsgd2104-2-e,3.33,11.06183043,1195,0,3,3,6,block_16_1,cyclic_128_1,complete_1,unroll_64,unroll_16,unroll_8,pipeline_1,pipeline_1,1,3,0.475287519468,False
workload_3921.cpp,xcu200-fsgd2104-2-e,3.33,80.68301289,136,0,0,1,6,block_16_1,cyclic_16_1,complete_1,unroll_4,unroll_64,pipeline_1,unroll_16,pipeline_1,1,1.75,0.317190412375,False
workload_3863.cpp,xcu200-fsgd2104-2-e,3.33,80.70986601,139,0,0,1,6,block_16_1,cyclic_16_1,complete_1,unroll_4,unroll_64,unroll_16,unroll_16,pipeline_1,1,1.75,0.317048505799,False
workload_3904.cpp,xcu200-fsgd2104-2-e,3.33,80.58519081,139,0,0,1,6,block_16_1,cyclic_16_1,complete_1,unroll_4,unroll_64,unroll_16,unroll_32,pipeline_1,1,1.75,0.317707667105,False
workload_3968.cpp,xcu200-fsgd2104-2-e,3.33,11.10275946,1442,0,3,3,5,block_16_1,cyclic_16_1,complete_1,unroll_64,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,2.75,0.511828485699,False
workload_4198.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,496,0,0,0,2,block_16_1,cyclic_32_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,0.5,0.915191305622,False
workload_4217.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,542,0,0,0,2,block_16_1,cyclic_32_1,complete_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,0.5,0.915191305622,False
workload_4155.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,519,0,0,0,2,block_16_1,cyclic_32_1,complete_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,0.5,0.915191305622,False
workload_4185.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,494,0,0,0,2,block_16_1,cyclic_32_1,complete_1,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,0.5,0.915191305622,False
workload_3984.cpp,xcu200-fsgd2104-2-e,3.33,11.14365186,552,0,3,3,5,block_16_1,cyclic_32_1,complete_1,unroll_32,unroll_16,unroll_64,pipeline_1,pipeline_1,1,2.75,0.5118140287,False
workload_4135.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,475,0,0,0,2,block_16_1,cyclic_4_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,0.5,0.915191305622,False
workload_4115.cpp,xcu200-fsgd2104-2-e,3.33,10.87298946,61,0,0,0,0,block_16_1,cyclic_4_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,1,0,0.999339571694,False
workload_4171.cpp,xcu200-fsgd2104-2-e,3.33,10.81736514,63,0,0,0,0,block_16_1,cyclic_4_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_2,1,0,1,True
workload_4056.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,566,0,0,0,2,block_16_1,cyclic_4_1,complete_1,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,0.5,0.91629327575,False
workload_4233.cpp,xcu200-fsgd2104-2-e,3.33,14.30230338,67,0,0,0,0,block_16_1,cyclic_4_1,complete_1,unroll_4,pipeline_1,pipeline_1,unroll_64,unroll_2,1,0,0.959091426823,False
workload_4137.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,523,0,0,0,2,block_16_1,cyclic_64_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,0.5,0.915191305622,False
workload_4227.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,531,0,0,0,2,block_16_1,cyclic_64_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,0.5,0.915191305622,False
workload_3883.cpp,xcu200-fsgd2104-2-e,3.33,8.756712855,577.5,0,0,0,2,block_16_1,cyclic_64_1,complete_1,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,2,0.5,0.916293273336,False
workload_3939.cpp,xcu200-fsgd2104-2-e,3.33,28.23758082,67,0,0,0,0,block_16_1,cyclic_64_1,complete_1,unroll_2,pipeline_1,unroll_8,unroll_2,pipeline_1,1,0,0.805018957982,False
workload_4094.cpp,xcu200-fsgd2104-2-e,3.33,7.28363241,551,0,0,0,2,block_16_1,cyclic_64_1,complete_1,unroll_4,pipeline_1,unroll_2,pipeline_1,unroll_2,1,0.5,0.915191325624,False
workload_4199.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,549,0,0,0,2,block_16_1,cyclic_64_1,complete_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,0.5,0.91629327575,False
workload_4004.cpp,xcu200-fsgd2104-2-e,3.33,7.28363241,540,0,0,0,2,block_16_1,cyclic_64_1,complete_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,0.5,0.915191325624,False
workload_4150.cpp,xcu200-fsgd2104-2-e,3.33,7.28363241,522,0,0,0,2,block_16_1,cyclic_64_1,complete_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,0.5,0.915191325624,False
workload_4041.cpp,xcu200-fsgd2104-2-e,3.33,14.35793769,92,0,0,0,1,block_16_1,cyclic_64_1,complete_1,unroll_8,pipeline_1,pipeline_1,unroll_32,pipeline_1,1,0.25,0.931813362083,False
workload_4071.cpp,xcu200-fsgd2104-2-e,3.33,7.28363241,534,0,0,0,2,block_16_1,cyclic_64_1,complete_1,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_2,1,0.5,0.915191325624,False
workload_4129.cpp,xcu200-fsgd2104-2-e,3.33,8.75671785,523,0,0,0,2,block_16_1,cyclic_64_1,complete_1,unroll_8,unroll_2,unroll_2,pipeline_1,pipeline_1,1,0.5,0.916293270921,False
workload_4203.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,478,0,0,0,2,block_16_1,cyclic_8_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,0.5,0.915191305622,False
workload_4006.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,541,0,0,0,2,block_2_1,block_16_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,0.5,0.91629327575,False
workload_4008.cpp,xcu200-fsgd2104-2-e,3.33,14.08982274,1867,0,0,1,3,block_2_1,block_16_1,complete_1,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_2,1,1,0.806834163224,False
workload_4087.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,554,0,0,0,2,block_2_1,block_64_1,complete_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,0.5,0.91629327575,False
workload_3885.cpp,xcu200-fsgd2104-2-e,3.33,79.168150935,79,0,0,0,1,block_2_1,block_64_1,complete_1,pipeline_1,unroll_4,unroll_8,unroll_8,pipeline_1,2,0.25,0.370292464371,False
workload_3970.cpp,xcu200-fsgd2104-2-e,3.33,14.08982274,1999,0,0,1,4,block_2_1,cyclic_128_1,complete_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_2,1,1.25,0.760751747717,False
workload_3907.cpp,xcu200-fsgd2104-2-e,3.33,84.88189314,125,0,0,0,1,block_2_1,cyclic_128_1,complete_1,unroll_2,unroll_8,pipeline_1,unroll_32,pipeline_1,1,0.25,0.334461374265,False
workload_3854.cpp,xcu200-fsgd2104-2-e,3.33,81.49903938,128.5,0,0,0,1,block_2_1,cyclic_128_1,complete_1,unroll_8,unroll_8,unroll_8,unroll_32,pipeline_1,2,0.25,0.355369327551,False
workload_3894.cpp,xcu200-fsgd2104-2-e,3.33,80.78275305,67,0,0,0,1,block_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_16,unroll_64,unroll_4,pipeline_1,1,0.25,0.359910370496,False
workload_4387.cpp,xcu200-fsgd2104-2-e,3.33,10.81736514,56,0,0,0,0,block_2_1,cyclic_4_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_2,1,0,1,True
workload_3884.cpp,xcu200-fsgd2104-2-e,3.33,84.16367874,64,0,0,0,1,block_2_1,cyclic_4_1,complete_1,unroll_32,unroll_16,pipeline_1,unroll_8,pipeline_1,1,0.25,0.338826018644,False
workload_4088.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,549,0,0,0,2,block_2_1,cyclic_64_1,complete_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,0.5,0.91629327575,False
workload_4038.cpp,xcu200-fsgd2104-2-e,3.33,12.48035049,577,0,7,4,7,block_2_1,cyclic_8_1,complete_1,unroll_64,pipeline_1,unroll_64,pipeline_1,pipeline_1,1,4.5,0.291269185104,False
workload_4090.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,532,0,0,0,2,block_32_1,block_16_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,0.5,0.91629327575,False
workload_3936.cpp,xcu200-fsgd2104-2-e,3.33,16.02836226,83,0,0,0,1,block_32_1,block_32_1,complete_1,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,1,0.25,0.918873945701,False
workload_3868.cpp,xcu200-fsgd2104-2-e,3.33,10.81896354,130,0,0,1,2,block_32_1,block_32_1,complete_1,pipeline_1,pipeline_1,unroll_64,unroll_64,unroll_2,1,0.75,0.863337054743,False
workload_3913.cpp,xcu200-fsgd2104-2-e,3.33,77.41470114,162,0,0,1,3,block_32_1,block_32_1,complete_1,pipeline_1,unroll_16,unroll_64,unroll_64,pipeline_1,1,1,0.366075440921,False
workload_3919.cpp,xcu200-fsgd2104-2-e,3.33,80.49631977,188,0,0,1,7,block_32_1,block_4_1,complete_1,pipeline_1,unroll_64,pipeline_1,unroll_4,pipeline_1,1,2,0.306122580882,False
workload_3865.cpp,xcu200-fsgd2104-2-e,3.33,80.72819433,196,0,0,1,7,block_32_1,block_4_1,complete_1,pipeline_1,unroll_64,unroll_32,unroll_4,pipeline_1,1,2,0.30496205884,False
workload_4050.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,524,0,0,0,2,block_32_1,block_64_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,0.5,0.91629327575,False
workload_3974.cpp,xcu200-fsgd2104-2-e,3.33,10.82109474,146,0,0,1,1,block_32_1,block_64_1,complete_1,pipeline_1,pipeline_1,unroll_16,unroll_64,unroll_2,1,0.5,0.912126239795,False
workload_4058.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,581,0,0,0,2,block_32_1,block_64_1,complete_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,0.5,0.91629327575,False
workload_4047.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,556,0,0,0,2,block_32_1,block_64_1,complete_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,1,0.5,0.91629327575,False
workload_4082.cpp,xcu200-fsgd2104-2-e,3.33,8.75670786,564,0,0,0,2,block_32_1,block_64_1,complete_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,0.5,0.91629327575,False
workload_3866.cpp,xcu200-fsgd2104-2-e,3.33,80.62632297,366,0,0,1,8,block_32_1,block_64_1,complete_1,unroll_8,unroll_64,pipeline_1,unroll_32,pipeline_1,1,2.25,0.29261877421,False
workload_3925.cpp,xcu200-fsgd2104-2-e,3.33,80.63378217,359,0,0,2,8,block_32_1,block_64_1,complete_1,unroll_8,unroll_64,unroll_16,unroll_32,pipeline_1,1,2.5,0.279107445231,False
workload_4102.cpp,xcu200-fsgd2104-2-e,3.33,7.28362242,599,0,0,0,2,block_32_1,cyclic_128_1,complete_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,1,0.5,0.915191305622,False
workload_4211.cpp,xcu200-fsgd2104-2-e,3.33,10.87182729,197,0,0,0,1,block_32_1,cyclic_128_1,complete_1,pipeline_1,pipeline_1,unroll_4,unroll_64,unroll_2,1,0.25,0.951671299601,False
