Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4087.cpp,xcu200-fsgd2104-2-e,3.33,24.65031834,78,1,1,1,1,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,1,1,0.809050060745,False
workload_3998.cpp,xcu200-fsgd2104-2-e,3.33,22.9044393,107,1,1,1,1,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_2,1,1,0.827312398174,False
workload_4047.cpp,xcu200-fsgd2104-2-e,3.33,10.78249338,199,1,1,1,1,block_128_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,unroll_64,unroll_2,1,1,0.960514101614,False
workload_4031.cpp,xcu200-fsgd2104-2-e,3.33,14.29610625,138,1,1,1,2,block_128_1,block_4_1,complete_1,pipeline_1,pipeline_1,unroll_32,unroll_4,pipeline_1,1,1.25,0.904236221106,False
workload_4080.cpp,xcu200-fsgd2104-2-e,3.33,81.24136065,114,1,1,1,3,block_128_1,cyclic_16_1,complete_1,unroll_16,unroll_4,pipeline_1,unroll_2,pipeline_1,1,1.5,0.339122464987,False
workload_4084.cpp,xcu200-fsgd2104-2-e,3.33,21.27280257,138,1,1,1,2,block_128_1,cyclic_32_1,complete_1,unroll_2,pipeline_1,unroll_32,unroll_4,pipeline_1,1,1.25,0.836136681933,False
workload_4107.cpp,xcu200-fsgd2104-2-e,3.33,15.05480346,79,1,1,1,1,block_128_1,cyclic_8_1,complete_1,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,1,1,0.9122905475,False
workload_4043.cpp,xcu200-fsgd2104-2-e,3.33,14.24325249,87,1,1,1,1,block_128_1,cyclic_8_1,complete_1,pipeline_1,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1,0.921343923201,False
workload_4303.cpp,xcu200-fsgd2104-2-e,3.33,3.76455834,485,1,1,1,7,block_16_1,block_128_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,1,2.5,0.789248115479,False
workload_4164.cpp,xcu200-fsgd2104-2-e,3.33,4.63067802,496,1,1,1,6,block_16_1,block_2_1,complete_1,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,1,2.25,0.838851261818,False
workload_4175.cpp,xcu200-fsgd2104-2-e,3.33,12.87245466,59,1,1,1,1,block_16_1,block_2_1,complete_1,unroll_32,pipeline_1,unroll_8,unroll_2,pipeline_1,1,1,0.936750006838,False
workload_4089.cpp,xcu200-fsgd2104-2-e,3.33,5.55817626,434,1,9,5,12,block_16_1,block_32_1,complete_1,unroll_64,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,6.75,0.209077352248,False
workload_4118.cpp,xcu200-fsgd2104-2-e,3.33,10.81051866,87,1,1,1,1,block_16_1,block_32_1,complete_1,unroll_64,pipeline_1,pipeline_1,unroll_32,pipeline_1,1,1,0.960193236553,False
workload_4097.cpp,xcu200-fsgd2104-2-e,3.33,5.55817626,437.5,1,9,5,12,block_16_1,block_32_1,complete_1,unroll_64,pipeline_1,unroll_8,pipeline_1,pipeline_1,2,6.75,0.209077352248,False
workload_4074.cpp,xcu200-fsgd2104-2-e,3.33,5.8036905,1080,1,3,3,9,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,4,0.527714353486,False
workload_4144.cpp,xcu200-fsgd2104-2-e,3.33,5.8036905,692,1,3,3,9,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,unroll_16,pipeline_1,pipeline_1,1,4,0.527714353486,False
workload_4033.cpp,xcu200-fsgd2104-2-e,3.33,5.8036905,1097,1,3,3,9,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,unroll_8,pipeline_1,pipeline_1,1,4,0.527714353486,False
workload_4154.cpp,xcu200-fsgd2104-2-e,3.33,5.8036905,1460,1,3,3,8,block_16_1,block_32_1,complete_1,unroll_8,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,3.75,0.567048289049,False
workload_4233.cpp,xcu200-fsgd2104-2-e,3.33,5.4967977,523,1,1,2,6,block_16_1,block_4_1,complete_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,pipeline_1,1,2.5,0.789195220343,False
