Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4566.cpp,xcu200-fsgd2104-2-e,3.33,60.16720257,598,1,1,1,5,block_128_1,cyclic_2_1,complete_1,unroll_64,unroll_2,unroll_8,unroll_8,pipeline_1,pipeline_1,1,2,0.250321782802,False
workload_4660.cpp,xcu200-fsgd2104-2-e,3.33,59.43236481,1534,1,1,1,18,block_128_1,cyclic_64_1,complete_1,unroll_32,unroll_64,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,5.25,0.213975569755,False
workload_4572.cpp,xcu200-fsgd2104-2-e,3.33,59.64014682,82,1,1,1,1,block_16_1,block_8_1,complete_1,pipeline_1,unroll_16,unroll_16,unroll_32,pipeline_1,unroll_2,1,1,0.257411870027,False
workload_4736.cpp,xcu200-fsgd2104-2-e,3.33,5.929862535,600.5,1,3,3,9,block_16_1,cyclic_8_1,complete_1,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,2,4,0.696991507415,False
workload_4594.cpp,xcu200-fsgd2104-2-e,3.33,8.85898881,766,1,1,1,6,block_2_1,block_16_1,complete_1,pipeline_1,unroll_32,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,2.25,0.862594377449,False
workload_4692.cpp,xcu200-fsgd2104-2-e,3.33,8.85898881,711,1,1,1,6,block_2_1,block_16_1,complete_1,pipeline_1,unroll_32,unroll_8,pipeline_1,unroll_2,pipeline_1,1,2.25,0.862594377449,False
workload_4638.cpp,xcu200-fsgd2104-2-e,3.33,8.85898881,745,1,1,1,6,block_2_1,block_16_1,complete_1,unroll_4,unroll_32,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,2.25,0.862594377449,False
workload_4671.cpp,xcu200-fsgd2104-2-e,3.33,8.85898881,726,1,1,1,6,block_2_1,block_16_1,complete_1,unroll_4,unroll_32,pipeline_1,pipeline_1,unroll_2,unroll_2,1,2.25,0.862594377449,False
workload_4676.cpp,xcu200-fsgd2104-2-e,3.33,8.85898881,696,1,1,1,6,block_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_32,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,2.25,0.862594377449,False
workload_4570.cpp,xcu200-fsgd2104-2-e,3.33,67.75170714,75,1,1,1,1,block_2_1,cyclic_4_1,complete_1,unroll_8,unroll_32,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,1,0.198510744043,False
