Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5077.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,74,1,6,3,3,block_16_1,block_8_1,cyclic_4_1,block_8_1,complete_1,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_8,pipeline_1,1,3.25,0.924516601458,False
workload_5416.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,75,1,1,2,29,block_16_1,block_8_1,cyclic_4_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_2,1,8.25,0.768610399474,False
workload_4843.cpp,xcu200-fsgd2104-2-e,3.33,0.23894748,968,1,52,32,32,block_16_1,cyclic_8_1,cyclic_4_1,complete_1,complete_1,unroll_32,unroll_2,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,29.25,0.125927173253,False
workload_4861.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,100,1,2,7,29,block_16_1,cyclic_8_1,cyclic_4_1,complete_1,complete_1,unroll_32,unroll_2,unroll_16,unroll_32,pipeline_1,unroll_4,pipeline_1,1,9.75,0.725021660692,False
workload_4752.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,97,1,2,7,29,block_16_1,cyclic_8_1,cyclic_4_1,complete_1,complete_1,unroll_32,unroll_2,unroll_16,unroll_8,pipeline_1,unroll_4,pipeline_1,1,9.75,0.725021660692,False
workload_4815.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,96,1,2,7,29,block_16_1,cyclic_8_1,cyclic_4_1,complete_1,complete_1,unroll_32,unroll_2,unroll_32,unroll_4,pipeline_1,unroll_4,pipeline_1,1,9.75,0.725021660692,False
workload_5169.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,84,1,1,2,27,block_2_1,block_2_1,block_16_1,cyclic_4_1,complete_1,unroll_32,unroll_2,unroll_2,unroll_4,pipeline_1,unroll_2,pipeline_1,1,7.75,0.7834664531,False
workload_5455.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,71,1,2,1,2,block_2_1,block_2_1,cyclic_16_1,block_4_1,complete_1,unroll_32,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_16,unroll_2,1,1.5,0.982940246657,False
workload_5325.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,68,1,1,1,2,block_2_1,block_2_1,cyclic_16_1,cyclic_16_1,complete_1,unroll_32,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_16,unroll_2,1,1.25,0.991449718701,False
workload_5574.cpp,xcu200-fsgd2104-2-e,3.33,0.0204795,64,1,1,1,2,block_2_1,block_2_1,cyclic_16_1,cyclic_16_1,complete_1,unroll_32,unroll_2,unroll_16,unroll_8,unroll_2,unroll_16,unroll_2,1,1.25,0.991449701226,False
workload_5260.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,79,1,1,2,27,block_2_1,block_2_1,cyclic_16_1,cyclic_4_1,complete_1,unroll_64,unroll_2,unroll_2,unroll_4,pipeline_1,unroll_2,pipeline_1,1,7.75,0.7834664531,False
workload_5553.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,70,1,1,1,22,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_2,pipeline_1,1,6.25,0.829014036074,False
workload_5245.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,73,1,1,2,27,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_2,pipeline_1,1,7.75,0.7834664531,False
workload_5516.cpp,xcu200-fsgd2104-2-e,3.33,0.02048616,69,1,1,1,22,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,unroll_2,pipeline_1,1,6.25,0.829014029301,False
workload_5450.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,66,1,1,1,14,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,4.25,0.892029464932,False
workload_5624.cpp,xcu200-fsgd2104-2-e,3.33,0.02047617,65,1,1,1,14,block_2_1,block_2_1,cyclic_2_1,cyclic_4_1,complete_1,unroll_32,unroll_2,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,1,4.25,0.892029464932,False
