Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_162.cpp,xcu200-fsgd2104-2-e,3.33,0.08607717,137.5,1,1,1,2,pipeline_1,pipeline_1,4,1.25,1,True
workload_165.cpp,xcu200-fsgd2104-2-e,3.33,0.09629028,143.5,1,1,1,2,pipeline_1,unroll_2,2,1.25,0.983382159786,False
workload_172.cpp,xcu200-fsgd2104-2-e,3.33,0.09629028,145,1,1,1,2,pipeline_1,unroll_4,2,1.25,0.983382159786,False
workload_186.cpp,xcu200-fsgd2104-2-e,3.33,0.99122778,484.5,1,1,5,7,unroll_16,pipeline_1,2,3.5,0.301689464639,False
workload_178.cpp,xcu200-fsgd2104-2-e,3.33,0.92281626,970,1,1,4,5,unroll_16,unroll_2,1,2.75,0.36955595329,False
workload_161.cpp,xcu200-fsgd2104-2-e,3.33,0.9445545,121,1,1,1,1,unroll_2,pipeline_1,2,1,0.397006715033,False
workload_173.cpp,xcu200-fsgd2104-2-e,3.33,0.86612634,150,1,1,1,1,unroll_2,unroll_2,1,1,1,True
workload_160.cpp,xcu200-fsgd2104-2-e,3.33,0.72972954,238,1,1,1,2,unroll_2,unroll_4,1,1.25,0.474569398998,False
workload_163.cpp,xcu200-fsgd2104-2-e,3.33,1.00028538,1065,1,1,10.5,14,unroll_32,pipeline_1,2,6.625,0.196079893004,False
workload_181.cpp,xcu200-fsgd2104-2-e,3.33,0.92175066,3194,1,1,7,9,unroll_32,unroll_2,1,4.5,0.30070006941,False
workload_174.cpp,xcu200-fsgd2104-2-e,3.33,0.93517722,166,1,1,1,2.5,unroll_4,pipeline_1,2,1.375,0.402971009304,False
workload_176.cpp,xcu200-fsgd2104-2-e,3.33,0.87124122,247,1,1,1,2,unroll_4,unroll_2,1,1.25,0.461826303322,False
workload_187.cpp,xcu200-fsgd2104-2-e,3.33,0.7229097,483,1,1,2,2,unroll_4,unroll_4,1,1.5,0.472265605681,False
workload_169.cpp,xcu200-fsgd2104-2-e,3.33,0.9996993,3241,1,1,20.5,27,unroll_64,pipeline_1,2,12.375,0.1,False
workload_164.cpp,xcu200-fsgd2104-2-e,3.33,0.93048858,260,1,1,2.5,4,unroll_8,pipeline_1,2,2.125,0.387145821617,False
workload_177.cpp,xcu200-fsgd2104-2-e,3.33,0.87720858,466,1,1,2,3,unroll_8,unroll_2,1,1.75,0.437607522544,False
workload_190.cpp,xcu200-fsgd2104-2-e,3.33,0.80986266,1065,1,1,3,4,unroll_8,unroll_4,1,2.25,0.442662521672,False
workload_130.cpp,xcu200-fsgd2104-2-e,5,0.128955,131.5,1,1,1,2,pipeline_1,pipeline_1,4,1.25,1,True
workload_133.cpp,xcu200-fsgd2104-2-e,5,0.128985,137.5,1,1,1,2,pipeline_1,unroll_2,2,1.25,0.999959069233,False
workload_142.cpp,xcu200-fsgd2104-2-e,5,0.128985,140,1,1,1,2,pipeline_1,unroll_4,2,1.25,0.999959069233,False
workload_155.cpp,xcu200-fsgd2104-2-e,5,1.21441,453.5,1,1,5,7.5,unroll_16,pipeline_1,2,3.625,0.30140319401,False
workload_147.cpp,xcu200-fsgd2104-2-e,5,1.13473,796,1,1,3,5,unroll_16,unroll_2,1,2.5,0.38105181944,False
workload_159.cpp,xcu200-fsgd2104-2-e,5,0.98689,3057,1,1,6,8,unroll_16,unroll_4,1,4,0.367655462721,False
workload_129.cpp,xcu200-fsgd2104-2-e,5,1.15201,119,1,1,1,1.5,unroll_2,pipeline_1,2,1.125,0.409706632254,False
workload_138.cpp,xcu200-fsgd2104-2-e,5,1.08545,144,1,1,1,1,unroll_2,unroll_2,1,1,1,True
workload_128.cpp,xcu200-fsgd2104-2-e,5,0.90113,212,1,1,1,2,unroll_2,unroll_4,1,1.25,0.465092883551,False
workload_131.cpp,xcu200-fsgd2104-2-e,5,1.22545,993,1,1,10.5,14.5,unroll_32,pipeline_1,2,6.75,0.195007113661,False
workload_149.cpp,xcu200-fsgd2104-2-e,5,1.13313,2483,1,1,7,9,unroll_32,unroll_2,1,4.5,0.302170641314,False
workload_143.cpp,xcu200-fsgd2104-2-e,5,1.13793,157,1,1,1,2.5,unroll_4,pipeline_1,2,1.375,0.417030744551,False
workload_144.cpp,xcu200-fsgd2104-2-e,5,1.07265,219,1,1,1,2,unroll_4,unroll_2,1,1.25,0.459586509717,False
workload_154.cpp,xcu200-fsgd2104-2-e,5,0.89601,409,1,1,2,2,unroll_4,unroll_4,1,1.5,0.463035440634,False
workload_134.cpp,xcu200-fsgd2104-2-e,5,1.22457,2976.5,1,1,20,28,unroll_64,pipeline_1,2,12.5,0.1,False
workload_132.cpp,xcu200-fsgd2104-2-e,5,1.13089,249,1,1,2.5,4,unroll_8,pipeline_1,2,2.125,0.397365239022,False
workload_145.cpp,xcu200-fsgd2104-2-e,5,1.08161,391,1,1,2,3,unroll_8,unroll_2,1,1.75,0.43638239895,False
workload_158.cpp,xcu200-fsgd2104-2-e,5,0.99073,870,1,1,3,4,unroll_8,unroll_4,1,2.25,0.43896808771,False
workload_110.cpp,xcu200-fsgd2104-2-e,10,0.25726,121,1,1,1,2,pipeline_1,pipeline_1,4,1.25,1,True
workload_101.cpp,xcu200-fsgd2104-2-e,10,0.26754,128,1,1,1,2,pipeline_1,unroll_2,2,1.25,0.988190995042,False
workload_111.cpp,xcu200-fsgd2104-2-e,10,0.26754,127,1,1,1,2,pipeline_1,unroll_4,2,1.25,0.988190995042,False
workload_121.cpp,xcu200-fsgd2104-2-e,10,1.48162,404,1,1,5,8,unroll_16,pipeline_1,2,3.75,0.320893636614,False
workload_108.cpp,xcu200-fsgd2104-2-e,10,1.59362,581,1,1,4,5,unroll_16,unroll_2,1,2.75,0.326530202874,False
workload_127.cpp,xcu200-fsgd2104-2-e,10,1.32866,2001,1,1,6,8,unroll_16,unroll_4,1,4,0.355832985669,False
workload_104.cpp,xcu200-fsgd2104-2-e,10,1.39266,111,1,1,1,1.5,unroll_2,pipeline_1,2,1.125,1,True
workload_103.cpp,xcu200-fsgd2104-2-e,10,1.54626,123,1,1,1,1,unroll_2,unroll_2,1,1,1,True
workload_96.cpp,xcu200-fsgd2104-2-e,10,1.26978,172,1,1,1,2,unroll_2,unroll_4,1,1.25,0.464311191064,False
workload_116.cpp,xcu200-fsgd2104-2-e,10,1.49346,862.5,1,1,10,15,unroll_32,pipeline_1,2,6.75,0.205717488454,False
workload_117.cpp,xcu200-fsgd2104-2-e,10,1.59042,1659,1,1,7,9,unroll_32,unroll_2,1,4.5,0.262885898534,False
workload_113.cpp,xcu200-fsgd2104-2-e,10,1.3645,143.5,1,1,1,2.5,unroll_4,pipeline_1,2,1.375,0.460092797777,False
workload_114.cpp,xcu200-fsgd2104-2-e,10,1.52066,176,1,1,1,2,unroll_4,unroll_2,1,1.25,0.406036380772,False
workload_119.cpp,xcu200-fsgd2104-2-e,10,1.25954,303,1,1,2,2,unroll_4,unroll_4,1,1.5,0.461925958195,False
workload_102.cpp,xcu200-fsgd2104-2-e,10,1.4917,2485,1,1,19.5,28.5,unroll_64,pipeline_1,2,12.5,0.1,False
workload_100.cpp,xcu200-fsgd2104-2-e,10,1.35042,222,1,1,2.5,4.5,unroll_8,pipeline_1,2,2.25,0.428413561803,False
