Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
workload_3605.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,146,1,1,1,1,block_128_1,block_16_1,cyclic_2_1,pipeline_1,1,1,0.935500217464,False
workload_3555.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,142,1,1,1,1,block_128_1,block_2_1,block_4_1,pipeline_1,1,1,0.935500217464,False
workload_3575.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,154,1,1,1,2,block_128_1,block_32_1,block_2_1,pipeline_1,1,1.25,0.928990441639,False
workload_3598.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,151,1,1,1,2,block_128_1,block_32_1,block_4_1,pipeline_1,1,1.25,0.928990441639,False
workload_3520.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,157,1,1,1,2,block_128_1,block_64_1,cyclic_2_1,pipeline_1,1,1.25,0.928990441639,False
workload_3442.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,142,1,1,1,1,block_128_1,block_8_1,block_2_1,pipeline_1,1,1,0.935500217464,False
workload_3457.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,144,1,1,1,1,block_128_1,block_8_1,cyclic_2_1,pipeline_1,1,1,0.935500217464,False
workload_3518.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,139,1,1,1,1,block_128_1,cyclic_4_1,cyclic_2_1,pipeline_1,1,1,0.935500217464,False
workload_3528.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,145,1,1,1,1,block_128_1,cyclic_8_1,cyclic_2_1,pipeline_1,1,1,0.935500217464,False
workload_3449.cpp,xcu200-fsgd2104-2-e,3.33,0.09253071,80,1,1,1,1,block_16_1,cyclic_16_1,cyclic_4_1,pipeline_1,1,1,0.935500217464,False
workload_3207.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,121,1,1,1,1,block_2_1,block_128_1,cyclic_64_1,pipeline_1,1,1,0.986732976951,False
workload_3326.cpp,xcu200-fsgd2104-2-e,3.33,0.07548444,69.5,1,1,1,1,block_2_1,block_16_1,cyclic_2_1,pipeline_1,2,1,0.999782552279,False
workload_3414.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,87,1,1,1,1,block_2_1,block_16_1,cyclic_64_1,pipeline_1,1,1,0.986732976951,False
workload_3311.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,99,1,1,1,1,block_2_1,block_64_1,cyclic_64_1,pipeline_1,1,1,0.986732976951,False
workload_3208.cpp,xcu200-fsgd2104-2-e,3.33,0.51114168,154,1,1,1,1,block_2_1,block_8_1,cyclic_128_1,unroll_8,1,1,0.104427864767,False
workload_3217.cpp,xcu200-fsgd2104-2-e,3.33,0.10035288,215,1,7,4,6,block_2_1,block_8_1,cyclic_32_1,unroll_32,1,4.5,0.61472997318,False
workload_3253.cpp,xcu200-fsgd2104-2-e,3.33,0.10035288,230,1,7,4,6,block_2_1,block_8_1,cyclic_64_1,unroll_32,1,4.5,0.61472997318,False
workload_3411.cpp,xcu200-fsgd2104-2-e,3.33,0.07548444,68,1,1,1,1,block_2_1,cyclic_16_1,cyclic_2_1,pipeline_1,1,1,0.999782552279,False
workload_3363.cpp,xcu200-fsgd2104-2-e,3.33,0.09331992,201,1,8,4,5,block_2_1,cyclic_16_1,cyclic_2_1,unroll_32,1,4.5,0.618589221259,False
workload_3314.cpp,xcu200-fsgd2104-2-e,3.33,0.09811512,213,1,8,4,6,block_2_1,cyclic_16_1,cyclic_32_1,unroll_32,1,4.75,0.593614707341,False
workload_3387.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,86,1,1,1,1,block_2_1,cyclic_16_1,cyclic_64_1,pipeline_1,1,1,0.986732976951,False
workload_3433.cpp,xcu200-fsgd2104-2-e,3.33,0.07889436,70,1,1,1,1,block_2_1,cyclic_2_1,block_16_1,pipeline_1,1,1,0.986732976951,False
