Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
workload_2938.cpp,xcu200-fsgd2104-2-e,3.33,0.09255735,148,1,1,1,1,block_128_1,block_2_1,block_4_1,complete_1,complete_1,complete_1,pipeline_1,1,1,0.937056397027,False
workload_3006.cpp,xcu200-fsgd2104-2-e,3.33,0.09255735,149,1,1,1,1,block_128_1,block_2_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,1,1,0.937056397027,False
workload_3000.cpp,xcu200-fsgd2104-2-e,3.33,0.09255735,150,1,1,1,1,block_128_1,block_4_1,cyclic_2_1,complete_1,complete_1,complete_1,pipeline_1,1,1,0.937056397027,False
workload_2956.cpp,xcu200-fsgd2104-2-e,3.33,0.09255735,148.5,1,1,1,1,block_128_1,block_4_1,cyclic_4_1,complete_1,complete_1,complete_1,pipeline_1,2,1,0.937056397027,False
workload_2657.cpp,xcu200-fsgd2104-2-e,3.33,0.5550444,330,1,1,1,5,block_128_1,block_64_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_4,1,2,0.100000012079,False
workload_2599.cpp,xcu200-fsgd2104-2-e,3.33,0.5550444,287,1,1,1,4,block_128_1,block_64_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_4,1,1.75,0.100000560374,False
workload_2963.cpp,xcu200-fsgd2104-2-e,3.33,0.09255735,150,1,1,1,1,block_128_1,block_8_1,block_4_1,complete_1,complete_1,complete_1,pipeline_1,1,1,0.937056397027,False
workload_2925.cpp,xcu200-fsgd2104-2-e,3.33,0.09255735,166,1,1,1,2,block_128_1,cyclic_64_1,block_4_1,complete_1,complete_1,complete_1,pipeline_1,1,1.25,0.932540706475,False
workload_2683.cpp,xcu200-fsgd2104-2-e,3.33,0.09596727,155,1,1,1,2,block_16_1,block_128_1,block_128_1,complete_1,complete_1,complete_1,pipeline_1,1,1.25,0.921001946251,False
workload_2615.cpp,xcu200-fsgd2104-2-e,3.33,0.36664632,161,1,1,1,2,block_16_1,cyclic_128_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,2,1.25,0.239484192998,False
workload_2709.cpp,xcu200-fsgd2104-2-e,3.33,0.25752888,154,1,1,1,2,block_16_1,cyclic_128_1,block_64_1,complete_1,complete_1,complete_1,unroll_4,1,1.25,0.446773888022,False
workload_2702.cpp,xcu200-fsgd2104-2-e,3.33,0.36664632,123,1,1,1,1,block_16_1,cyclic_2_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,1,1,0.239596581211,False
workload_2663.cpp,xcu200-fsgd2104-2-e,3.33,0.36664632,101,1,1,1,1,block_16_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,unroll_2,1,1,0.239596581211,False
workload_2697.cpp,xcu200-fsgd2104-2-e,3.33,0.36664632,132,1,1,1,1,block_16_1,cyclic_32_1,block_128_1,complete_1,complete_1,complete_1,unroll_2,1,1,0.239596581211,False
workload_2604.cpp,xcu200-fsgd2104-2-e,3.33,0.09596727,112,1,1,1,1,block_16_1,cyclic_64_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,1,1,0.92477968621,False
workload_2645.cpp,xcu200-fsgd2104-2-e,3.33,0.09596727,97,1,1,1,1,block_16_1,cyclic_64_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,1,1,0.92477968621,False
workload_2661.cpp,xcu200-fsgd2104-2-e,3.33,0.1522476,213,1,4,2,3,block_16_1,cyclic_8_1,block_32_1,complete_1,complete_1,complete_1,unroll_16,1,2.5,0.704849152914,False
workload_2649.cpp,xcu200-fsgd2104-2-e,3.33,0.13232088,313,1,10,4,7,block_16_1,cyclic_8_1,block_4_1,complete_1,complete_1,complete_1,unroll_32,1,5.5,0.571450955254,False
workload_2624.cpp,xcu200-fsgd2104-2-e,3.33,0.1522476,180,1,4,2,3,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,complete_1,complete_1,unroll_16,1,2.5,0.704849152914,False
workload_2595.cpp,xcu200-fsgd2104-2-e,3.33,0.5422572,131,1,1,1,1,block_2_1,block_128_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_2,1,1,0.100719475129,False
workload_2664.cpp,xcu200-fsgd2104-2-e,3.33,0.1184814,308,1,7,5,9,block_2_1,block_16_1,block_128_1,complete_1,complete_1,complete_1,unroll_32,1,5.5,0.585976423497,False
workload_2681.cpp,xcu200-fsgd2104-2-e,3.33,0.11505816,213,1,7,4,6,block_2_1,block_16_1,block_4_1,complete_1,complete_1,complete_1,unroll_32,1,4.5,0.660406306089,False
