Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4427.cpp,xcu200-fsgd2104-2-e,3.33,0.11900088,1003,1,22,12,15,block_16_1,block_4_1,block_64_1,block_4_1,cyclic_4_1,block_2_1,unroll_4,unroll_16,1,12.5,0.102203931551,False
workload_4466.cpp,xcu200-fsgd2104-2-e,3.33,0.09363627,507,1,2,4,6,block_16_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,unroll_2,1,3.25,0.724603440649,False
workload_4489.cpp,xcu200-fsgd2104-2-e,3.33,0.0936063,423,1,2,3,5,block_16_1,cyclic_2_1,cyclic_16_1,block_8_1,complete_1,block_8_1,pipeline_1,unroll_4,1,2.75,0.785269429133,False
workload_4426.cpp,xcu200-fsgd2104-2-e,3.33,0.0936063,425,1,2,3,5,block_16_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,pipeline_1,unroll_2,1,2.75,0.785269429133,False
workload_4340.cpp,xcu200-fsgd2104-2-e,3.33,0.09363294,525,1,2,4,6,block_16_1,cyclic_64_1,block_64_1,complete_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,1,3.25,0.724607109115,False
workload_4373.cpp,xcu200-fsgd2104-2-e,3.33,0.09360297,441,1,2,3,5,block_16_1,cyclic_64_1,cyclic_8_1,complete_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,1,2.75,0.785274559588,False
workload_4380.cpp,xcu200-fsgd2104-2-e,3.33,0.45490464,817,1,7,1,7,block_16_1,cyclic_8_1,cyclic_4_1,complete_1,block_2_1,block_8_1,unroll_8,unroll_4,1,4,0.10296183286,False
workload_4403.cpp,xcu200-fsgd2104-2-e,3.33,0.12709944,261,1,2,1,4,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_2_1,block_8_1,unroll_2,pipeline_1,1,2,0.760824879089,False
workload_4417.cpp,xcu200-fsgd2104-2-e,3.33,0.11998656,1593,1,1,9,10,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_2_1,block_8_1,unroll_64,pipeline_1,1,5.25,0.482910241666,False
workload_4351.cpp,xcu200-fsgd2104-2-e,3.33,0.45831456,821,1,7,1,8,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_2_1,block_8_1,unroll_8,unroll_4,1,4.25,0.101761049064,False
