Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4763.cpp,xcu200-fsgd2104-2-e,3.33,0.08828829,1851,1,1,8,9,block_16_1,block_128_1,cyclic_8_1,cyclic_128_1,cyclic_128_1,block_32_1,block_8_1,cyclic_128_1,block_16_1,block_4_1,block_16_1,cyclic_64_1,complete_1,complete_1,block_2_1,unroll_64,unroll_4,pipeline_1,1,4.75,0.489606825762,False
workload_4747.cpp,xcu200-fsgd2104-2-e,3.33,0.07803189,1419,1,1,8,6,block_16_1,block_128_1,cyclic_8_1,cyclic_16_1,block_16_1,block_16_1,block_8_1,cyclic_128_1,block_16_1,cyclic_16_1,block_16_1,block_4_1,complete_1,complete_1,block_8_1,unroll_64,unroll_4,pipeline_1,1,4,0.56953503852,False
workload_4768.cpp,xcu200-fsgd2104-2-e,3.33,0.0629037,439,1,2,3,5,block_16_1,block_64_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_2_1,cyclic_16_1,block_128_1,cyclic_4_1,block_32_1,block_4_1,block_8_1,cyclic_8_1,complete_1,block_8_1,pipeline_1,unroll_4,pipeline_1,1,2.75,0.709978158508,False
workload_4801.cpp,xcu200-fsgd2104-2-e,3.33,0.0629037,437,1,2,3,5,block_16_1,block_64_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,block_8_1,cyclic_8_1,cyclic_2_1,block_8_1,pipeline_1,unroll_4,pipeline_1,1,2.75,0.709978158508,False
workload_4750.cpp,xcu200-fsgd2104-2-e,3.33,0.09453537,953,1,9,1,9,block_16_1,block_64_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_8_1,cyclic_16_1,block_128_1,cyclic_4_1,block_32_1,block_4_1,cyclic_4_1,cyclic_8_1,complete_1,block_8_1,unroll_8,unroll_4,pipeline_1,1,5,0.461129866215,False
workload_4792.cpp,xcu200-fsgd2104-2-e,3.33,0.09456201,1060,1,9,1,10,block_16_1,cyclic_128_1,block_32_1,block_2_1,cyclic_32_1,block_64_1,cyclic_16_1,cyclic_128_1,block_32_1,cyclic_128_1,block_128_1,cyclic_4_1,block_4_1,cyclic_8_1,cyclic_8_1,unroll_8,unroll_4,pipeline_1,1,5.25,0.440649151048,False
workload_4680.cpp,xcu200-fsgd2104-2-e,3.33,0.0843156,1099,1,9,1,10,block_16_1,cyclic_4_1,block_32_1,block_2_1,cyclic_32_1,block_64_1,cyclic_16_1,block_128_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_4_1,block_2_1,cyclic_8_1,cyclic_8_1,unroll_8,unroll_4,pipeline_1,1,5.25,0.451421492783,False
workload_4676.cpp,xcu200-fsgd2104-2-e,3.33,0.07803189,1565,1,1,8,9,block_16_1,cyclic_4_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_8_1,cyclic_16_1,block_128_1,block_64_1,cyclic_128_1,cyclic_32_1,block_4_1,complete_1,complete_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,4.75,0.50167659212,False
workload_4761.cpp,xcu200-fsgd2104-2-e,3.33,0.07864128,1744,1,1,8,10,block_16_1,cyclic_4_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_8_1,cyclic_32_1,block_128_1,block_64_1,cyclic_128_1,block_8_1,block_4_1,complete_1,cyclic_4_1,cyclic_8_1,unroll_64,unroll_4,pipeline_1,1,5,0.478827747006,False
workload_4848.cpp,xcu200-fsgd2104-2-e,3.33,4.329e-05,1048,1,1,5,9,block_2_1,block_2_1,cyclic_128_1,block_32_1,cyclic_32_1,cyclic_8_1,block_8_1,block_4_1,block_2_1,cyclic_32_1,cyclic_4_1,block_128_1,cyclic_2_1,block_2_1,cyclic_8_1,pipeline_1,unroll_2,pipeline_1,1,4,0.63193638229,False
