Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_2326.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,332,1,1,2,4,block_2_1,unroll_16,pipeline_1,unroll_5,pipeline_1,1,2,0.819400200466,False
workload_2036.cpp,xcu200-fsgd2104-2-e,3.33,94.63573287,2222,1,1,6,15,block_2_1,unroll_16,unroll_4,unroll_5,pipeline_1,1,5.75,0.111083964835,False
workload_2269.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,130,1,1,1,1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,1,0.999593728522,False
workload_2067.cpp,xcu200-fsgd2104-2-e,3.33,12.11454333,127,1,1,1,1,block_2_1,unroll_2,pipeline_1,unroll_5,pipeline_1,4,1,0.999984372478,False
workload_2170.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,128,1,1,1,1,block_2_1,unroll_2,pipeline_1,unroll_5,unroll_5,1,1,0.999593728522,False
workload_2042.cpp,xcu200-fsgd2104-2-e,3.33,59.53651389,813,1,1,5,11.5,block_2_1,unroll_2,unroll_32,pipeline_1,unroll_5,2,4.625,0.247561989493,False
workload_2008.cpp,xcu200-fsgd2104-2-e,3.33,50.08762557,253,1,1,1,3,block_2_1,unroll_2,unroll_8,pipeline_1,pipeline_1,1,1.5,0.459678384237,False
workload_2294.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,568,1,1,4,9,block_2_1,unroll_32,pipeline_1,unroll_5,pipeline_1,1,3.75,0.551966390912,False
workload_2220.cpp,xcu200-fsgd2104-2-e,3.33,12.13628157,159.5,1,1,1,1,block_2_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2,1,0.999609352652,False
workload_2229.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,156.5,1,1,1,1,block_2_1,unroll_4,pipeline_1,unroll_5,pipeline_1,4,1,1,True
workload_2311.cpp,xcu200-fsgd2104-2-e,3.33,12.13628157,155,1,1,1,1,block_2_1,unroll_4,pipeline_1,unroll_5,unroll_5,1,1,0.999609352652,False
workload_2384.cpp,xcu200-fsgd2104-2-e,3.33,95.07083733,220,1,1,1,2,block_2_1,unroll_4,unroll_2,unroll_5,pipeline_1,1,1.25,0.137597068675,False
workload_2019.cpp,xcu200-fsgd2104-2-e,3.33,73.27462869,1777,1,1,11,23,block_2_1,unroll_4,unroll_32,pipeline_1,pipeline_1,1,9,0.131771598449,False
workload_2061.cpp,xcu200-fsgd2104-2-e,3.33,73.27462869,414,1,1,2,6,block_2_1,unroll_4,unroll_8,pipeline_1,pipeline_1,1,2.5,0.238717704323,False
workload_2317.cpp,xcu200-fsgd2104-2-e,3.33,11.41326531,1244.5,1,1,9,23,block_2_1,unroll_64,pipeline_1,pipeline_1,pipeline_1,2,8.5,0.412703244032,False
workload_2296.cpp,xcu200-fsgd2104-2-e,3.33,11.41326531,1223.5,1,1,9,22,block_2_1,unroll_64,pipeline_1,pipeline_1,unroll_5,2,8.25,1,True
workload_2242.cpp,xcu200-fsgd2104-2-e,3.33,11.40128064,1186,1,1,10,25,block_2_1,unroll_64,pipeline_1,unroll_5,pipeline_1,4,9.25,1,True
workload_2211.cpp,xcu200-fsgd2104-2-e,3.33,11.41326531,1211,1,1,10,25,block_2_1,unroll_64,pipeline_1,unroll_5,unroll_5,1,9.25,0.385175562274,False
workload_2161.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,211,1,1,1,2,block_2_1,unroll_8,pipeline_1,unroll_5,pipeline_1,3,1.25,0.952955926494,False
workload_2302.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,329,1,1,2,4,block_4_1,unroll_16,pipeline_1,unroll_5,pipeline_1,1,2,0.819400200466,False
workload_2098.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,129,1,1,1,1,block_4_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,3,1,0.999593728522,False
workload_2057.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,131,1,1,1,1,block_4_1,unroll_2,pipeline_1,pipeline_1,unroll_5,3,1,0.999593728522,False
workload_2185.cpp,xcu200-fsgd2104-2-e,3.33,12.11454333,129,1,1,1,1,block_4_1,unroll_2,pipeline_1,unroll_5,pipeline_1,4,1,0.999984372478,False
workload_2293.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,130,1,1,1,1,block_4_1,unroll_2,pipeline_1,unroll_5,unroll_5,2,1,0.999593728522,False
workload_2075.cpp,xcu200-fsgd2104-2-e,3.33,50.08762557,508,1,1,3,7,block_4_1,unroll_2,unroll_16,pipeline_1,pipeline_1,1,3,0.401534557335,False
workload_2084.cpp,xcu200-fsgd2104-2-e,3.33,69.27524541,499,1,1,2,6,block_4_1,unroll_2,unroll_16,pipeline_1,unroll_5,1,2.5,0.266028460165,False
workload_2083.cpp,xcu200-fsgd2104-2-e,3.33,73.73883069,150,1,1,1,1,block_4_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1,1,0.250776160139,False
workload_2279.cpp,xcu200-fsgd2104-2-e,3.33,116.40374973,161,1,1,1,1,block_4_1,unroll_2,unroll_2,unroll_5,pipeline_1,2,1,0.100000108046,False
workload_2010.cpp,xcu200-fsgd2104-2-e,3.33,61.68135357,985.5,1,1,5.5,13.5,block_4_1,unroll_2,unroll_32,pipeline_1,pipeline_1,2,5.25,0.23277684768,False
workload_2109.cpp,xcu200-fsgd2104-2-e,3.33,50.08762557,302,1,1,1,3,block_4_1,unroll_2,unroll_8,pipeline_1,pipeline_1,1,1.5,0.459678384237,False
workload_2374.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,584,1,1,4,9,block_4_1,unroll_32,pipeline_1,unroll_5,pipeline_1,1,3.75,0.551966390912,False
workload_2172.cpp,xcu200-fsgd2104-2-e,3.33,12.13628157,159.5,1,1,1,1,block_4_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2,1,0.999609352652,False
workload_2213.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,156,1,1,1,1,block_4_1,unroll_4,pipeline_1,unroll_5,pipeline_1,4,1,1,True
workload_2323.cpp,xcu200-fsgd2104-2-e,3.33,12.13628157,158,1,1,1,1,block_4_1,unroll_4,pipeline_1,unroll_5,unroll_5,1,1,0.999609352652,False
workload_2132.cpp,xcu200-fsgd2104-2-e,3.33,50.08717269,972,1,1,6,14,block_4_1,unroll_4,unroll_16,pipeline_1,pipeline_1,1,5.5,0.294054534097,False
