Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_4926.cpp,xcu200-fsgd2104-2-e,3.33,19.93144194,1208,2,1,3,8,block_16_1,block_32_1,complete_1,unroll_2,unroll_4,unroll_4,unroll_4,pipeline_1,unroll_16,unroll_64,pipeline_1,pipeline_1,1,3.5,0.766326034146,False
workload_4972.cpp,xcu200-fsgd2104-2-e,3.33,19.82573442,655,1,1,2,5,block_16_1,block_4_1,cyclic_4_1,unroll_2,unroll_4,unroll_4,unroll_4,pipeline_1,unroll_16,unroll_64,pipeline_1,pipeline_1,1,2.25,0.797400926003,False
workload_4780.cpp,xcu200-fsgd2104-2-e,3.33,19.93144194,2658,3,1,3,11,block_16_1,block_64_1,complete_1,unroll_2,unroll_4,unroll_4,unroll_4,pipeline_1,unroll_16,unroll_64,pipeline_1,pipeline_1,1,4.5,0.732993637254,False
workload_4810.cpp,xcu200-fsgd2104-2-e,3.33,113.17399938,3184,3,3,30,52,block_16_1,block_64_1,complete_1,unroll_2,unroll_4,unroll_4,unroll_4,unroll_16,unroll_16,unroll_64,pipeline_1,pipeline_1,1,22,0.1,False
workload_4916.cpp,xcu200-fsgd2104-2-e,3.33,96.98380911,3062,1,31,25,31,block_16_1,cyclic_128_1,cyclic_4_1,unroll_16,unroll_16,pipeline_1,unroll_17,pipeline_1,unroll_8,unroll_64,pipeline_1,pipeline_1,1,22,0.104457538126,False
workload_4985.cpp,xcu200-fsgd2104-2-e,3.33,82.75175874,814,2,3,7,14,block_16_1,cyclic_32_1,complete_1,unroll_4,unroll_4,pipeline_1,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,unroll_5,1,6.5,0.285499095844,False
workload_4938.cpp,xcu200-fsgd2104-2-e,3.33,19.9163637,2814,1,2,5,8,block_16_1,cyclic_4_1,complete_1,unroll_4,unroll_4,pipeline_1,unroll_4,pipeline_1,unroll_32,pipeline_1,pipeline_1,unroll_5,1,4,0.750513384381,False
workload_4838.cpp,xcu200-fsgd2104-2-e,3.33,112.85858178,923,3,2,29,44,block_16_1,cyclic_64_1,complete_1,unroll_2,unroll_4,unroll_4,unroll_4,unroll_16,unroll_8,unroll_64,pipeline_1,pipeline_1,1,19.5,0.103150505461,False
workload_4868.cpp,xcu200-fsgd2104-2-e,3.33,23.75354601,919,1,1,9,8,block_2_1,block_16_1,block_8_1,unroll_32,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1,4.75,0.697925454461,False
workload_4934.cpp,xcu200-fsgd2104-2-e,3.33,20.94404166,588,1,1,5,7,block_32_1,block_4_1,cyclic_4_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,1,3.5,0.758093153409,False
workload_4961.cpp,xcu200-fsgd2104-2-e,3.33,20.94404166,1269,3,1,5,11,block_32_1,block_64_1,complete_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,pipeline_1,1,5,0.708099853604,False
workload_4845.cpp,xcu200-fsgd2104-2-e,3.33,86.42327355,1330,2,2,33,50,block_32_1,block_8_1,block_2_1,unroll_2,unroll_4,unroll_16,unroll_17,unroll_16,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,21.75,0.112852349867,False
workload_5114.cpp,xcu200-fsgd2104-2-e,3.33,2.17252863,429,1,1,3,5,block_4_1,block_4_1,block_8_1,unroll_4,unroll_4,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_5,1,2.5,0.918314319181,False
workload_5065.cpp,xcu200-fsgd2104-2-e,3.33,2.17303812,384,1,1,2,3,block_4_1,block_4_1,cyclic_4_1,unroll_2,unroll_2,pipeline_1,unroll_17,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_5,1,1.75,0.962352828117,False
workload_4960.cpp,xcu200-fsgd2104-2-e,3.33,20.3176287,185,1,1,2,2,block_4_1,block_4_1,cyclic_4_1,unroll_2,unroll_2,unroll_16,unroll_17,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,1.5,0.801155720588,False
workload_4962.cpp,xcu200-fsgd2104-2-e,3.33,20.30189112,679,1,1,16,14,block_4_1,block_4_1,cyclic_4_1,unroll_32,unroll_2,unroll_16,unroll_17,pipeline_1,unroll_4,unroll_2,unroll_5,pipeline_1,1,8,0.593055410185,False
workload_4869.cpp,xcu200-fsgd2104-2-e,3.33,20.31808158,316,1,1,7,7,block_4_1,block_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_16,unroll_17,pipeline_1,unroll_4,unroll_2,pipeline_1,pipeline_1,1,4,0.747516969347,False
workload_4924.cpp,xcu200-fsgd2104-2-e,3.33,20.08439217,276,2,1,2,3,block_4_1,block_8_1,block_2_1,unroll_2,unroll_4,unroll_16,unroll_17,pipeline_1,unroll_8,unroll_8,pipeline_1,pipeline_1,1,2,0.798682790865,False
workload_4910.cpp,xcu200-fsgd2104-2-e,3.33,20.04957036,2867,1,1,17,23,block_4_1,cyclic_128_1,cyclic_4_1,unroll_32,unroll_2,pipeline_1,unroll_17,pipeline_1,unroll_8,unroll_64,pipeline_1,unroll_5,1,10.5,0.495727658408,False
workload_4771.cpp,xcu200-fsgd2104-2-e,3.33,20.04906087,2881,1,1,17,23,block_4_1,cyclic_128_1,cyclic_4_1,unroll_32,unroll_4,pipeline_1,unroll_17,pipeline_1,unroll_8,unroll_8,pipeline_1,unroll_5,1,10.5,0.495728981568,False
